Data,País,Visualizações
2026-03-05,AO,0
2026-03-06,AO,17
2026-03-07,AO,14
2026-03-08,AO,0
2026-03-09,AO,0
2026-03-10,AO,18
2026-03-11,AO,0
2026-03-12,AO,15
2026-03-13,AO,16
2026-03-14,AO,0
2026-03-15,AO,0
2026-03-16,AO,0
2026-03-17,AO,0
2026-03-18,AO,19
2026-03-19,AO,16
2026-03-20,AO,0
2026-03-21,AO,0
2026-03-22,AO,0
2026-03-23,AO,17
2026-03-24,AO,0
2026-03-25,AO,18
2026-03-26,AO,0
2026-03-27,AO,22
2026-03-28,AO,17
2026-03-29,AO,0
2026-03-30,AO,0
2026-03-31,AO,0
2026-04-01,AO,51
2026-04-02,AO,0
2026-04-03,AO,0
2026-04-04,AO,0
2026-04-05,AO,0
2026-04-06,AO,0
2026-04-07,AO,0
2026-04-08,AO,0
2026-04-09,AO,0
2026-04-10,AO,0
2026-04-11,AO,0
2026-04-12,AO,0
2025-04-13,AR,0
2025-04-14,AR,0
2025-04-15,AR,0
2025-04-16,AR,0
2025-04-17,AR,0
2025-04-18,AR,0
2025-04-19,AR,0
2025-04-20,AR,0
2025-04-21,AR,0
2025-04-22,AR,0
2025-04-23,AR,0
2025-04-24,AR,0
2025-04-25,AR,0
2025-04-26,AR,0
2025-04-27,AR,0
2025-04-28,AR,0
2025-04-29,AR,0
2025-04-30,AR,0
2025-05-01,AR,0
2025-05-02,AR,0
2025-05-03,AR,0
2025-05-04,AR,0
2025-05-05,AR,0
2025-05-06,AR,0
2025-05-07,AR,0
2025-05-08,AR,0
2025-05-09,AR,0
2025-05-10,AR,0
2025-05-11,AR,0
2025-05-12,AR,0
2025-05-13,AR,0
2025-05-14,AR,0
2025-05-15,AR,0
2025-05-16,AR,0
2025-05-17,AR,0
2025-05-18,AR,0
2025-05-19,AR,0
2025-05-20,AR,0
2025-05-21,AR,0
2025-05-22,AR,0
2025-05-23,AR,0
2025-05-24,AR,0
2025-05-25,AR,0
2025-05-26,AR,0
2025-05-27,AR,0
2025-05-28,AR,0
2025-05-29,AR,0
2025-05-30,AR,0
2025-05-31,AR,0
2025-06-01,AR,0
2025-06-02,AR,0
2025-06-03,AR,0
2025-06-04,AR,0
2025-06-05,AR,0
2025-06-06,AR,0
2025-06-07,AR,0
2025-06-08,AR,0
2025-06-09,AR,0
2025-06-10,AR,0
2025-06-11,AR,0
2025-06-12,AR,0
2025-06-13,AR,0
2025-06-14,AR,0
2025-06-15,AR,0
2025-06-16,AR,0
2025-06-17,AR,0
2025-06-18,AR,0
2025-06-19,AR,0
2025-06-20,AR,0
2025-06-21,AR,0
2025-06-22,AR,0
2025-06-23,AR,0
2025-06-24,AR,0
2025-06-25,AR,0
2025-06-26,AR,33
2025-06-27,AR,0
2025-06-28,AR,0
2025-06-29,AR,0
2025-06-30,AR,0
2025-07-01,AR,0
2025-07-02,AR,0
2025-07-03,AR,0
2025-07-04,AR,0
2025-07-05,AR,0
2025-07-06,AR,0
2025-07-07,AR,0
2025-07-08,AR,0
2025-07-09,AR,0
2025-07-10,AR,0
2025-07-11,AR,0
2025-07-12,AR,0
2025-07-13,AR,0
2025-07-14,AR,0
2025-07-15,AR,0
2025-07-16,AR,0
2025-07-17,AR,49
2025-07-18,AR,0
2025-07-19,AR,0
2025-07-20,AR,0
2025-07-21,AR,0
2025-07-22,AR,0
2025-07-23,AR,0
2025-07-24,AR,0
2025-07-25,AR,0
2025-07-26,AR,0
2025-07-27,AR,0
2025-07-28,AR,0
2025-07-29,AR,0
2025-07-30,AR,0
2025-07-31,AR,0
2025-08-01,AR,0
2025-08-02,AR,0
2025-08-03,AR,0
2025-08-04,AR,0
2025-08-05,AR,0
2025-08-06,AR,0
2025-08-07,AR,0
2025-08-08,AR,0
2025-08-09,AR,0
2025-08-10,AR,0
2025-08-11,AR,0
2025-08-12,AR,0
2025-08-13,AR,0
2025-08-14,AR,0
2025-08-15,AR,0
2025-08-16,AR,0
2025-08-17,AR,0
2025-08-18,AR,0
2025-08-19,AR,0
2025-08-20,AR,0
2025-08-21,AR,0
2025-08-22,AR,0
2025-08-23,AR,0
2025-08-24,AR,0
2025-08-25,AR,0
2025-08-26,AR,0
2025-08-27,AR,0
2025-08-28,AR,0
2025-08-29,AR,0
2025-08-30,AR,0
2025-08-31,AR,0
2025-09-01,AR,0
2025-09-02,AR,0
2025-09-03,AR,0
2025-09-04,AR,0
2025-09-05,AR,0
2025-09-06,AR,0
2025-09-07,AR,0
2025-09-08,AR,0
2025-09-09,AR,0
2025-09-10,AR,0
2025-09-11,AR,0
2025-09-12,AR,0
2025-09-13,AR,0
2025-09-14,AR,0
2025-09-15,AR,0
2025-09-16,AR,0
2025-09-17,AR,56
2025-09-18,AR,0
2025-09-19,AR,0
2025-09-20,AR,0
2025-09-21,AR,0
2025-09-22,AR,0
2025-09-23,AR,0
2025-09-24,AR,0
2025-09-25,AR,0
2025-09-26,AR,0
2025-09-27,AR,0
2025-09-28,AR,0
2025-09-29,AR,0
2025-09-30,AR,0
2025-10-01,AR,0
2025-10-02,AR,0
2025-10-03,AR,0
2025-10-04,AR,0
2025-10-05,AR,0
2025-10-06,AR,0
2025-10-07,AR,0
2025-10-08,AR,0
2025-10-09,AR,0
2025-10-10,AR,0
2025-10-11,AR,0
2025-10-12,AR,0
2025-10-13,AR,0
2025-10-14,AR,0
2025-10-15,AR,0
2025-10-16,AR,0
2025-10-17,AR,0
2025-10-18,AR,0
2025-10-19,AR,0
2025-10-20,AR,0
2025-10-21,AR,0
2025-10-22,AR,0
2025-10-23,AR,0
2025-10-24,AR,0
2025-10-25,AR,0
2025-10-26,AR,0
2025-10-27,AR,0
2025-10-28,AR,0
2025-10-29,AR,0
2025-10-30,AR,0
2025-10-31,AR,0
2025-11-01,AR,0
2025-11-02,AR,0
2025-11-03,AR,0
2025-11-04,AR,0
2025-11-05,AR,0
2025-11-06,AR,0
2025-11-07,AR,0
2025-11-08,AR,0
2025-11-09,AR,0
2025-11-10,AR,0
2025-11-11,AR,0
2025-11-12,AR,0
2025-11-13,AR,0
2025-11-14,AR,47
2025-11-15,AR,0
2025-11-16,AR,0
2025-11-17,AR,0
2025-11-18,AR,0
2025-11-19,AR,0
2025-11-20,AR,0
2025-11-21,AR,0
2025-11-22,AR,0
2025-11-23,AR,0
2025-11-24,AR,0
2025-11-25,AR,0
2025-11-26,AR,0
2025-11-27,AR,0
2025-11-28,AR,0
2025-11-29,AR,0
2025-11-30,AR,0
2025-12-01,AR,0
2025-12-02,AR,0
2025-12-03,AR,0
2025-12-04,AR,0
2025-12-05,AR,0
2025-12-06,AR,0
2025-12-07,AR,0
2025-12-08,AR,0
2025-12-09,AR,0
2025-12-10,AR,0
2025-12-11,AR,44
2025-12-12,AR,0
2025-12-13,AR,0
2025-12-14,AR,0
2025-12-15,AR,0
2025-12-16,AR,0
2025-12-17,AR,0
2025-12-18,AR,0
2025-12-19,AR,0
2025-12-20,AR,0
2025-12-21,AR,0
2025-12-22,AR,0
2025-12-23,AR,0
2025-12-24,AR,0
2025-12-25,AR,0
2025-12-26,AR,0
2025-12-27,AR,0
2025-12-28,AR,0
2025-12-29,AR,0
2025-12-30,AR,0
2025-12-31,AR,0
2026-01-01,AR,0
2026-01-02,AR,0
2026-01-03,AR,0
2026-01-04,AR,0
2026-01-05,AR,0
2026-01-06,AR,0
2026-01-07,AR,0
2026-01-08,AR,0
2026-01-09,AR,0
2026-01-10,AR,0
2026-01-11,AR,0
2026-01-12,AR,0
2026-01-13,AR,0
2026-01-14,AR,0
2026-01-15,AR,0
2026-01-16,AR,0
2026-01-17,AR,0
2026-01-18,AR,0
2026-01-19,AR,0
2026-01-20,AR,0
2026-01-21,AR,0
2026-01-22,AR,0
2026-01-23,AR,0
2026-01-24,AR,0
2026-01-25,AR,0
2026-01-26,AR,0
2026-01-27,AR,0
2026-01-28,AR,0
2026-01-29,AR,166
2026-01-30,AR,0
2026-01-31,AR,0
2026-02-01,AR,0
2026-02-02,AR,0
2026-02-03,AR,0
2026-02-04,AR,0
2026-02-05,AR,0
2026-02-06,AR,0
2026-02-07,AR,0
2026-02-08,AR,0
2026-02-09,AR,0
2026-02-10,AR,0
2026-02-11,AR,0
2026-02-12,AR,0
2026-02-13,AR,0
2026-02-14,AR,0
2026-02-15,AR,0
2026-02-16,AR,0
2026-02-17,AR,0
2026-02-18,AR,24
2026-02-19,AR,0
2026-02-20,AR,0
2026-02-21,AR,0
2026-02-22,AR,0
2026-02-23,AR,0
2026-02-24,AR,0
2026-02-25,AR,0
2026-02-26,AR,0
2026-02-27,AR,0
2026-02-28,AR,0
2026-03-01,AR,0
2026-03-02,AR,0
2026-03-03,AR,0
2026-03-04,AR,0
2026-03-05,AR,0
2026-03-06,AR,0
2026-03-07,AR,0
2026-03-08,AR,0
2026-03-09,AR,0
2026-03-10,AR,0
2026-03-11,AR,0
2026-03-12,AR,0
2026-03-13,AR,0
2026-03-14,AR,0
2026-03-15,AR,0
2026-03-16,AR,0
2026-03-17,AR,0
2026-03-18,AR,0
2026-03-19,AR,0
2026-03-20,AR,0
2026-03-21,AR,0
2026-03-22,AR,0
2026-03-23,AR,0
2026-03-24,AR,0
2026-03-25,AR,0
2026-03-26,AR,0
2026-03-27,AR,0
2026-03-28,AR,0
2026-03-29,AR,0
2026-03-30,AR,0
2026-03-31,AR,0
2026-04-01,AR,0
2026-04-02,AR,0
2026-04-03,AR,0
2026-04-04,AR,0
2026-04-05,AR,0
2026-04-06,AR,0
2026-04-07,AR,0
2026-04-08,AR,0
2026-04-09,AR,0
2026-04-10,AR,0
2026-04-11,AR,0
2026-04-12,AR,0
2025-04-13,BD,0
2025-04-14,BD,0
2025-04-15,BD,0
2025-04-16,BD,0
2025-04-17,BD,0
2025-04-18,BD,0
2025-04-19,BD,0
2025-04-20,BD,0
2025-04-21,BD,0
2025-04-22,BD,0
2025-04-23,BD,0
2025-04-24,BD,0
2025-04-25,BD,0
2025-04-26,BD,0
2025-04-27,BD,0
2025-04-28,BD,0
2025-04-29,BD,0
2025-04-30,BD,0
2025-05-01,BD,0
2025-05-02,BD,0
2025-05-03,BD,0
2025-05-04,BD,0
2025-05-05,BD,0
2025-05-06,BD,0
2025-05-07,BD,0
2025-05-08,BD,0
2025-05-09,BD,0
2025-05-10,BD,0
2025-05-11,BD,0
2025-05-12,BD,0
2025-05-13,BD,0
2025-05-14,BD,0
2025-05-15,BD,0
2025-05-16,BD,0
2025-05-17,BD,0
2025-05-18,BD,0
2025-05-19,BD,0
2025-05-20,BD,0
2025-05-21,BD,0
2025-05-22,BD,0
2025-05-23,BD,0
2025-05-24,BD,0
2025-05-25,BD,0
2025-05-26,BD,0
2025-05-27,BD,0
2025-05-28,BD,0
2025-05-29,BD,0
2025-05-30,BD,0
2025-05-31,BD,0
2025-06-01,BD,0
2025-06-02,BD,0
2025-06-03,BD,0
2025-06-04,BD,0
2025-06-05,BD,0
2025-06-06,BD,0
2025-06-07,BD,0
2025-06-08,BD,0
2025-06-09,BD,0
2025-06-10,BD,0
2025-06-11,BD,0
2025-06-12,BD,0
2025-06-13,BD,0
2025-06-14,BD,0
2025-06-15,BD,0
2025-06-16,BD,0
2025-06-17,BD,0
2025-06-18,BD,0
2025-06-19,BD,0
2025-06-20,BD,0
2025-06-21,BD,0
2025-06-22,BD,0
2025-06-23,BD,0
2025-06-24,BD,0
2025-06-25,BD,0
2025-06-26,BD,0
2025-06-27,BD,0
2025-06-28,BD,0
2025-06-29,BD,0
2025-06-30,BD,0
2025-07-01,BD,0
2025-07-02,BD,0
2025-07-03,BD,0
2025-07-04,BD,0
2025-07-05,BD,0
2025-07-06,BD,0
2025-07-07,BD,0
2025-07-08,BD,0
2025-07-09,BD,0
2025-07-10,BD,0
2025-07-11,BD,0
2025-07-12,BD,0
2025-07-13,BD,0
2025-07-14,BD,0
2025-07-15,BD,0
2025-07-16,BD,0
2025-07-17,BD,0
2025-07-18,BD,0
2025-07-19,BD,0
2025-07-20,BD,0
2025-07-21,BD,0
2025-07-22,BD,0
2025-07-23,BD,0
2025-07-24,BD,0
2025-07-25,BD,0
2025-07-26,BD,0
2025-07-27,BD,0
2025-07-28,BD,0
2025-07-29,BD,0
2025-07-30,BD,0
2025-07-31,BD,0
2025-08-01,BD,0
2025-08-02,BD,0
2025-08-03,BD,0
2025-08-04,BD,0
2025-08-05,BD,0
2025-08-06,BD,0
2025-08-07,BD,0
2025-08-08,BD,0
2025-08-09,BD,0
2025-08-10,BD,0
2025-08-11,BD,0
2025-08-12,BD,0
2025-08-13,BD,0
2025-08-14,BD,0
2025-08-15,BD,0
2025-08-16,BD,0
2025-08-17,BD,0
2025-08-18,BD,0
2025-08-19,BD,0
2025-08-20,BD,0
2025-08-21,BD,0
2025-08-22,BD,0
2025-08-23,BD,0
2025-08-24,BD,0
2025-08-25,BD,0
2025-08-26,BD,0
2025-08-27,BD,0
2025-08-28,BD,0
2025-08-29,BD,0
2025-08-30,BD,0
2025-08-31,BD,0
2025-09-01,BD,0
2025-09-02,BD,31
2025-09-03,BD,0
2025-09-04,BD,0
2025-09-05,BD,0
2025-09-06,BD,0
2025-09-07,BD,0
2025-09-08,BD,0
2025-09-09,BD,0
2025-09-10,BD,0
2025-09-11,BD,0
2025-09-12,BD,0
2025-09-13,BD,0
2025-09-14,BD,0
2025-09-15,BD,0
2025-09-16,BD,0
2025-09-17,BD,0
2025-09-18,BD,0
2025-09-19,BD,0
2025-09-20,BD,0
2025-09-21,BD,0
2025-09-22,BD,0
2025-09-23,BD,0
2025-09-24,BD,0
2025-09-25,BD,0
2025-09-26,BD,0
2025-09-27,BD,0
2025-09-28,BD,0
2025-09-29,BD,0
2025-09-30,BD,0
2025-10-01,BD,0
2025-10-02,BD,0
2025-10-03,BD,0
2025-10-04,BD,0
2025-10-05,BD,0
2025-10-06,BD,0
2025-10-07,BD,0
2025-10-08,BD,0
2025-10-09,BD,0
2025-10-10,BD,0
2025-10-11,BD,0
2025-10-12,BD,0
2025-10-13,BD,0
2025-10-14,BD,0
2025-10-15,BD,0
2025-10-16,BD,0
2025-10-17,BD,0
2025-10-18,BD,0
2025-10-19,BD,0
2025-10-20,BD,0
2025-10-21,BD,0
2025-10-22,BD,0
2025-10-23,BD,0
2025-10-24,BD,0
2025-10-25,BD,0
2025-10-26,BD,0
2025-10-27,BD,0
2025-10-28,BD,0
2025-10-29,BD,0
2025-10-30,BD,0
2025-10-31,BD,0
2025-11-01,BD,0
2025-11-02,BD,0
2025-11-03,BD,0
2025-11-04,BD,0
2025-11-05,BD,0
2025-11-06,BD,0
2025-11-07,BD,0
2025-11-08,BD,0
2025-11-09,BD,0
2025-11-10,BD,0
2025-11-11,BD,0
2025-11-12,BD,0
2025-11-13,BD,0
2025-11-14,BD,0
2025-11-15,BD,0
2025-11-16,BD,0
2025-11-17,BD,0
2025-11-18,BD,0
2025-11-19,BD,0
2025-11-20,BD,0
2025-11-21,BD,0
2025-11-22,BD,0
2025-11-23,BD,0
2025-11-24,BD,0
2025-11-25,BD,0
2025-11-26,BD,0
2025-11-27,BD,0
2025-11-28,BD,0
2025-11-29,BD,0
2025-11-30,BD,0
2025-12-01,BD,0
2025-12-02,BD,0
2025-12-03,BD,0
2025-12-04,BD,0
2025-12-05,BD,0
2025-12-06,BD,0
2025-12-07,BD,0
2025-12-08,BD,0
2025-12-09,BD,0
2025-12-10,BD,0
2025-12-11,BD,0
2025-12-12,BD,0
2025-12-13,BD,0
2025-12-14,BD,0
2025-12-15,BD,0
2025-12-16,BD,0
2025-12-17,BD,0
2025-12-18,BD,0
2025-12-19,BD,0
2025-12-20,BD,0
2025-12-21,BD,0
2025-12-22,BD,0
2025-12-23,BD,0
2025-12-24,BD,0
2025-12-25,BD,0
2025-12-26,BD,0
2025-12-27,BD,0
2025-12-28,BD,0
2025-12-29,BD,0
2025-12-30,BD,0
2025-12-31,BD,0
2026-01-01,BD,0
2026-01-02,BD,0
2026-01-03,BD,0
2026-01-04,BD,0
2026-01-05,BD,0
2026-01-06,BD,0
2026-01-07,BD,0
2026-01-08,BD,0
2026-01-09,BD,0
2026-01-10,BD,0
2026-01-11,BD,0
2026-01-12,BD,0
2026-01-13,BD,0
2026-01-14,BD,0
2026-01-15,BD,0
2026-01-16,BD,0
2026-01-17,BD,0
2026-01-18,BD,0
2026-01-19,BD,0
2026-01-20,BD,0
2026-01-21,BD,0
2026-01-22,BD,0
2026-01-23,BD,0
2026-01-24,BD,0
2026-01-25,BD,0
2026-01-26,BD,0
2026-01-27,BD,0
2026-01-28,BD,0
2026-01-29,BD,0
2026-01-30,BD,0
2026-01-31,BD,0
2026-02-01,BD,0
2026-02-02,BD,0
2026-02-03,BD,0
2026-02-04,BD,0
2026-02-05,BD,0
2026-02-06,BD,0
2026-02-07,BD,0
2026-02-08,BD,0
2026-02-09,BD,0
2026-02-10,BD,0
2026-02-11,BD,0
2026-02-12,BD,0
2026-02-13,BD,0
2026-02-14,BD,0
2026-02-15,BD,0
2026-02-16,BD,0
2026-02-17,BD,0
2026-02-18,BD,0
2026-02-19,BD,0
2026-02-20,BD,0
2026-02-21,BD,0
2026-02-22,BD,0
2026-02-23,BD,0
2026-02-24,BD,0
2026-02-25,BD,0
2026-02-26,BD,0
2026-02-27,BD,0
2026-02-28,BD,0
2026-03-01,BD,0
2026-03-02,BD,0
2026-03-03,BD,0
2026-03-04,BD,0
2026-03-05,BD,0
2026-03-06,BD,0
2026-03-07,BD,0
2026-03-08,BD,0
2026-03-09,BD,0
2026-03-10,BD,0
2026-03-11,BD,0
2026-03-12,BD,0
2026-03-13,BD,0
2026-03-14,BD,0
2026-03-15,BD,0
2026-03-16,BD,0
2026-03-17,BD,0
2026-03-18,BD,0
2026-03-19,BD,0
2026-03-20,BD,0
2026-03-21,BD,0
2026-03-22,BD,0
2026-03-23,BD,0
2026-03-24,BD,0
2026-03-25,BD,0
2026-03-26,BD,0
2026-03-27,BD,0
2026-03-28,BD,0
2026-03-29,BD,0
2026-03-30,BD,0
2026-03-31,BD,0
2026-04-01,BD,0
2026-04-02,BD,0
2026-04-03,BD,0
2026-04-04,BD,0
2026-04-05,BD,0
2026-04-06,BD,0
2026-04-07,BD,0
2026-04-08,BD,0
2026-04-09,BD,0
2026-04-10,BD,0
2026-04-11,BD,0
2026-04-12,BD,0
2025-04-13,BR,2416
2025-04-14,BR,242
2025-04-15,BR,2735
2025-04-16,BR,17251
2025-04-17,BR,507
2025-04-18,BR,648
2025-04-19,BR,2647
2025-04-20,BR,262
2025-04-21,BR,1110
2025-04-22,BR,866
2025-04-23,BR,675
2025-04-24,BR,273
2025-04-25,BR,6546
2025-04-26,BR,397
2025-04-27,BR,1828
2025-04-28,BR,523
2025-04-29,BR,401
2025-04-30,BR,769
2025-05-01,BR,788
2025-05-02,BR,381
2025-05-03,BR,4477
2025-05-04,BR,2431
2025-05-05,BR,315
2025-05-06,BR,615
2025-05-07,BR,1072
2025-05-08,BR,397
2025-05-09,BR,13336
2025-05-10,BR,1244
2025-05-11,BR,351
2025-05-12,BR,275
2025-05-13,BR,295
2025-05-14,BR,301
2025-05-15,BR,508
2025-05-16,BR,225
2025-05-17,BR,256
2025-05-18,BR,253
2025-05-19,BR,394
2025-05-20,BR,310
2025-05-21,BR,287
2025-05-22,BR,1155
2025-05-23,BR,334
2025-05-24,BR,2134
2025-05-25,BR,175
2025-05-26,BR,295
2025-05-27,BR,1250
2025-05-28,BR,936
2025-05-29,BR,487
2025-05-30,BR,213
2025-05-31,BR,1082
2025-06-01,BR,433
2025-06-02,BR,343
2025-06-03,BR,1753
2025-06-04,BR,1487
2025-06-05,BR,885
2025-06-06,BR,248
2025-06-07,BR,680
2025-06-08,BR,189
2025-06-09,BR,134
2025-06-10,BR,1226
2025-06-11,BR,5349
2025-06-12,BR,2374
2025-06-13,BR,452
2025-06-14,BR,459
2025-06-15,BR,1399
2025-06-16,BR,87
2025-06-17,BR,248
2025-06-18,BR,682
