Data,Visualizações
2026-03-22,4143
2026-03-23,6712
2026-03-24,10850
2026-03-25,11496
2026-03-26,25714
2026-03-27,16777
2026-03-28,26678
2026-03-29,25958
2026-03-30,29322
2026-03-31,51569
2026-04-01,62535
2026-04-02,63414
2026-04-03,26694
2026-04-04,23604
2026-04-05,27427
2026-04-06,16036
2026-04-07,18744
2026-04-08,8120
2026-04-09,6287
2026-04-10,7524
2026-04-11,8707
2026-04-12,4852
