Data,Espectadores novos e recorrentes,Visualizações
2025-09-30,Desconhecido,0
2025-10-01,Desconhecido,0
2025-10-02,Desconhecido,0
2025-10-03,Desconhecido,0
2025-10-04,Desconhecido,0
2025-10-05,Desconhecido,0
2025-10-06,Desconhecido,0
2025-10-07,Desconhecido,0
2025-10-08,Desconhecido,0
2025-10-09,Desconhecido,0
2025-10-10,Desconhecido,0
2025-10-11,Desconhecido,0
2025-10-12,Desconhecido,0
2025-10-13,Desconhecido,0
2025-10-14,Desconhecido,0
2025-10-15,Desconhecido,0
2025-10-16,Desconhecido,0
2025-10-17,Desconhecido,0
2025-10-18,Desconhecido,0
2025-10-19,Desconhecido,0
2025-10-20,Desconhecido,0
2025-10-21,Desconhecido,0
2025-10-22,Desconhecido,0
2025-10-23,Desconhecido,0
2025-10-24,Desconhecido,0
2025-10-25,Desconhecido,0
2025-10-26,Desconhecido,0
2025-10-27,Desconhecido,0
2025-10-28,Desconhecido,0
2025-10-29,Desconhecido,0
2025-10-30,Desconhecido,0
2025-10-31,Desconhecido,0
2025-11-01,Desconhecido,0
2025-11-02,Desconhecido,0
2025-11-03,Desconhecido,0
2025-11-04,Desconhecido,0
2025-11-05,Desconhecido,0
2025-11-06,Desconhecido,0
2025-11-07,Desconhecido,0
2025-11-08,Desconhecido,0
2025-11-09,Desconhecido,0
2025-11-10,Desconhecido,0
2025-11-11,Desconhecido,0
2025-11-12,Desconhecido,0
2025-11-13,Desconhecido,0
2025-11-14,Desconhecido,0
2025-11-15,Desconhecido,0
2025-11-16,Desconhecido,0
2025-11-17,Desconhecido,0
2025-11-18,Desconhecido,0
2025-11-19,Desconhecido,0
2025-11-20,Desconhecido,0
2025-11-21,Desconhecido,0
2025-11-22,Desconhecido,0
2025-11-23,Desconhecido,0
2025-11-24,Desconhecido,0
2025-11-25,Desconhecido,0
2025-11-26,Desconhecido,0
2025-11-27,Desconhecido,0
2025-11-28,Desconhecido,0
2025-11-29,Desconhecido,0
2025-11-30,Desconhecido,0
2025-12-01,Desconhecido,0
2025-12-02,Desconhecido,0
2025-12-03,Desconhecido,0
2025-12-04,Desconhecido,0
2025-12-05,Desconhecido,0
2025-12-06,Desconhecido,0
2025-12-07,Desconhecido,0
2025-12-08,Desconhecido,0
2025-12-09,Desconhecido,0
2025-12-10,Desconhecido,0
2025-12-11,Desconhecido,0
2025-12-12,Desconhecido,0
2025-12-13,Desconhecido,0
2025-12-14,Desconhecido,0
2025-12-15,Desconhecido,0
2025-12-16,Desconhecido,0
2025-12-17,Desconhecido,0
2025-12-18,Desconhecido,0
2025-12-19,Desconhecido,0
2025-12-20,Desconhecido,0
2025-12-21,Desconhecido,0
2025-12-22,Desconhecido,0
2025-12-23,Desconhecido,0
2025-12-24,Desconhecido,0
2025-12-25,Desconhecido,0
2025-12-26,Desconhecido,0
2025-12-27,Desconhecido,0
2025-12-28,Desconhecido,0
2025-12-29,Desconhecido,0
2025-12-30,Desconhecido,0
2025-12-31,Desconhecido,0
2026-01-01,Desconhecido,0
2026-01-02,Desconhecido,0
2026-01-03,Desconhecido,0
2026-01-04,Desconhecido,0
2026-01-05,Desconhecido,0
2026-01-06,Desconhecido,0
2026-01-07,Desconhecido,0
2026-01-08,Desconhecido,0
2026-01-09,Desconhecido,0
2026-01-10,Desconhecido,0
2026-01-11,Desconhecido,0
2026-01-12,Desconhecido,0
2026-01-13,Desconhecido,0
2026-01-14,Desconhecido,0
2026-01-15,Desconhecido,0
2026-01-16,Desconhecido,0
2026-01-17,Desconhecido,0
2026-01-18,Desconhecido,0
2026-01-19,Desconhecido,0
2026-01-20,Desconhecido,0
2026-01-21,Desconhecido,0
2026-01-22,Desconhecido,0
2026-01-23,Desconhecido,0
2026-01-24,Desconhecido,0
2026-01-25,Desconhecido,0
2026-01-26,Desconhecido,0
2026-01-27,Desconhecido,0
2026-01-28,Desconhecido,0
2026-01-29,Desconhecido,0
2026-01-30,Desconhecido,0
2026-01-31,Desconhecido,0
2026-02-01,Desconhecido,0
2026-02-02,Desconhecido,0
2026-02-03,Desconhecido,0
2026-02-04,Desconhecido,0
2026-02-05,Desconhecido,0
2026-02-06,Desconhecido,0
2026-02-07,Desconhecido,0
2026-02-08,Desconhecido,0
2026-02-09,Desconhecido,0
2026-02-10,Desconhecido,0
2026-02-11,Desconhecido,0
2026-02-12,Desconhecido,0
2026-02-13,Desconhecido,0
2026-02-14,Desconhecido,0
2026-02-15,Desconhecido,0
2026-02-16,Desconhecido,0
2026-02-17,Desconhecido,0
2026-02-18,Desconhecido,0
2026-02-19,Desconhecido,0
2026-02-20,Desconhecido,0
2026-02-21,Desconhecido,0
2026-02-22,Desconhecido,0
2026-02-23,Desconhecido,0
2026-02-24,Desconhecido,0
2026-02-25,Desconhecido,0
2026-02-26,Desconhecido,0
2026-02-27,Desconhecido,0
2026-02-28,Desconhecido,0
2026-03-01,Desconhecido,0
2026-03-02,Desconhecido,0
2026-03-03,Desconhecido,0
2026-03-04,Desconhecido,0
2026-03-05,Desconhecido,0
2026-03-06,Desconhecido,0
2026-03-07,Desconhecido,0
2026-03-08,Desconhecido,0
2026-03-09,Desconhecido,0
2026-03-10,Desconhecido,0
2026-03-11,Desconhecido,0
2026-03-12,Desconhecido,0
2026-03-13,Desconhecido,0
2026-03-14,Desconhecido,0
2026-03-15,Desconhecido,0
2026-03-16,Desconhecido,0
2026-03-17,Desconhecido,1
2026-03-18,Desconhecido,0
2026-03-19,Desconhecido,0
2026-03-20,Desconhecido,0
2026-03-21,Desconhecido,0
2026-03-22,Desconhecido,0
2026-03-23,Desconhecido,0
2026-03-24,Desconhecido,0
2026-03-25,Desconhecido,0
2026-03-26,Desconhecido,0
2026-03-27,Desconhecido,0
2026-03-28,Desconhecido,0
2026-03-29,Desconhecido,0
2026-03-30,Desconhecido,0
2026-03-31,Desconhecido,0
2026-04-01,Desconhecido,0
2026-04-02,Desconhecido,0
2026-04-03,Desconhecido,0
2026-04-04,Desconhecido,0
2026-04-05,Desconhecido,0
2026-04-06,Desconhecido,0
2026-04-07,Desconhecido,0
2026-04-08,Desconhecido,0
2026-04-09,Desconhecido,0
2026-04-10,Desconhecido,0
2026-04-11,Desconhecido,0
2026-04-12,Desconhecido,0
2025-04-13,Novos espectadores,2681
2025-04-14,Novos espectadores,280
2025-04-15,Novos espectadores,1812
2025-04-16,Novos espectadores,29727
2025-04-17,Novos espectadores,1919
2025-04-18,Novos espectadores,3477
2025-04-19,Novos espectadores,3534
2025-04-20,Novos espectadores,2270
2025-04-21,Novos espectadores,1488
2025-04-22,Novos espectadores,990
2025-04-23,Novos espectadores,1601
2025-04-24,Novos espectadores,1104
2025-04-25,Novos espectadores,2465
2025-04-26,Novos espectadores,480
2025-04-27,Novos espectadores,1461
2025-04-28,Novos espectadores,532
2025-04-29,Novos espectadores,288
2025-04-30,Novos espectadores,1121
2025-05-01,Novos espectadores,1320
2025-05-02,Novos espectadores,260
2025-05-03,Novos espectadores,303
2025-05-04,Novos espectadores,2342
2025-05-05,Novos espectadores,430
2025-05-06,Novos espectadores,505
2025-05-07,Novos espectadores,559
2025-05-08,Novos espectadores,790
2025-05-09,Novos espectadores,223
2025-05-10,Novos espectadores,709
2025-05-11,Novos espectadores,228
2025-05-12,Novos espectadores,207
2025-05-13,Novos espectadores,185
2025-05-14,Novos espectadores,725
2025-05-15,Novos espectadores,856
2025-05-16,Novos espectadores,1933
2025-05-17,Novos espectadores,164
2025-05-18,Novos espectadores,149
2025-05-19,Novos espectadores,173
2025-05-20,Novos espectadores,461
2025-05-21,Novos espectadores,363
2025-05-22,Novos espectadores,1242
2025-05-23,Novos espectadores,3535
2025-05-24,Novos espectadores,1448
2025-05-25,Novos espectadores,190
2025-05-26,Novos espectadores,504
2025-05-27,Novos espectadores,2676
2025-05-28,Novos espectadores,669
2025-05-29,Novos espectadores,308
2025-05-30,Novos espectadores,1742
2025-05-31,Novos espectadores,455
2025-06-01,Novos espectadores,225
2025-06-02,Novos espectadores,278
2025-06-03,Novos espectadores,1040
2025-06-04,Novos espectadores,1079
2025-06-05,Novos espectadores,785
2025-06-06,Novos espectadores,654
2025-06-07,Novos espectadores,907
2025-06-08,Novos espectadores,193
2025-06-09,Novos espectadores,1026
2025-06-10,Novos espectadores,25540
2025-06-11,Novos espectadores,8448
2025-06-12,Novos espectadores,1345
2025-06-13,Novos espectadores,1282
2025-06-14,Novos espectadores,1854
2025-06-15,Novos espectadores,1064
2025-06-16,Novos espectadores,651
2025-06-17,Novos espectadores,1047
2025-06-18,Novos espectadores,431
2025-06-19,Novos espectadores,824
2025-06-20,Novos espectadores,1827
2025-06-21,Novos espectadores,1120
2025-06-22,Novos espectadores,197
2025-06-23,Novos espectadores,182
2025-06-24,Novos espectadores,1198
2025-06-25,Novos espectadores,856
2025-06-26,Novos espectadores,332
2025-06-27,Novos espectadores,982
2025-06-28,Novos espectadores,951
2025-06-29,Novos espectadores,258
2025-06-30,Novos espectadores,1511
2025-07-01,Novos espectadores,678
2025-07-02,Novos espectadores,153
2025-07-03,Novos espectadores,158
2025-07-04,Novos espectadores,197
2025-07-05,Novos espectadores,192
2025-07-06,Novos espectadores,164
2025-07-07,Novos espectadores,206
2025-07-08,Novos espectadores,1028
2025-07-09,Novos espectadores,301
2025-07-10,Novos espectadores,151
2025-07-11,Novos espectadores,451
2025-07-12,Novos espectadores,238
2025-07-13,Novos espectadores,200
2025-07-14,Novos espectadores,426
2025-07-15,Novos espectadores,737
2025-07-16,Novos espectadores,563
2025-07-17,Novos espectadores,1077
2025-07-18,Novos espectadores,310
2025-07-19,Novos espectadores,1134
2025-07-20,Novos espectadores,204
2025-07-21,Novos espectadores,390
2025-07-22,Novos espectadores,173
2025-07-23,Novos espectadores,1007
2025-07-24,Novos espectadores,388
2025-07-25,Novos espectadores,350
2025-07-26,Novos espectadores,202
2025-07-27,Novos espectadores,168
2025-07-28,Novos espectadores,237
2025-07-29,Novos espectadores,514
2025-07-30,Novos espectadores,1138
2025-07-31,Novos espectadores,265
2025-08-01,Novos espectadores,186
2025-08-02,Novos espectadores,1064
2025-08-03,Novos espectadores,188
2025-08-04,Novos espectadores,217
2025-08-05,Novos espectadores,288
2025-08-06,Novos espectadores,215
2025-08-07,Novos espectadores,1541
2025-08-08,Novos espectadores,529
2025-08-09,Novos espectadores,226
2025-08-10,Novos espectadores,225
2025-08-11,Novos espectadores,183
2025-08-12,Novos espectadores,206
2025-08-13,Novos espectadores,4357
2025-08-14,Novos espectadores,385
2025-08-15,Novos espectadores,335
2025-08-16,Novos espectadores,276
2025-08-17,Novos espectadores,195
2025-08-18,Novos espectadores,363
2025-08-19,Novos espectadores,207
2025-08-20,Novos espectadores,233
2025-08-21,Novos espectadores,682
2025-08-22,Novos espectadores,352
2025-08-23,Novos espectadores,326
2025-08-24,Novos espectadores,309
2025-08-25,Novos espectadores,491
2025-08-26,Novos espectadores,2290
2025-08-27,Novos espectadores,680
2025-08-28,Novos espectadores,326
2025-08-29,Novos espectadores,525
2025-08-30,Novos espectadores,250
2025-08-31,Novos espectadores,2099
2025-09-01,Novos espectadores,1696
2025-09-02,Novos espectadores,571
2025-09-03,Novos espectadores,1197
2025-09-04,Novos espectadores,4708
2025-09-05,Novos espectadores,3682
2025-09-06,Novos espectadores,1712
2025-09-07,Novos espectadores,988
2025-09-08,Novos espectadores,1026
2025-09-09,Novos espectadores,5815
2025-09-10,Novos espectadores,3359
2025-09-11,Novos espectadores,1126
2025-09-12,Novos espectadores,1018
2025-09-13,Novos espectadores,1274
2025-09-14,Novos espectadores,1105
2025-09-15,Novos espectadores,990
2025-09-16,Novos espectadores,845
2025-09-17,Novos espectadores,718
2025-09-18,Novos espectadores,720
2025-09-19,Novos espectadores,843
2025-09-20,Novos espectadores,1580
2025-09-21,Novos espectadores,2523
2025-09-22,Novos espectadores,920
2025-09-23,Novos espectadores,1075
2025-09-24,Novos espectadores,741
2025-09-25,Novos espectadores,1062
2025-09-26,Novos espectadores,716
2025-09-27,Novos espectadores,750
2025-09-28,Novos espectadores,1186
2025-09-29,Novos espectadores,608
2025-09-30,Novos espectadores,1431
2025-10-01,Novos espectadores,1061
2025-10-02,Novos espectadores,475
2025-10-03,Novos espectadores,528
2025-10-04,Novos espectadores,543
2025-10-05,Novos espectadores,635
2025-10-06,Novos espectadores,2007
2025-10-07,Novos espectadores,934
2025-10-08,Novos espectadores,845
2025-10-09,Novos espectadores,2511
2025-10-10,Novos espectadores,1191
2025-10-11,Novos espectadores,726
2025-10-12,Novos espectadores,623
2025-10-13,Novos espectadores,490
2025-10-14,Novos espectadores,1437
2025-10-15,Novos espectadores,578
2025-10-16,Novos espectadores,563
2025-10-17,Novos espectadores,606
2025-10-18,Novos espectadores,626
2025-10-19,Novos espectadores,566
2025-10-20,Novos espectadores,1043
2025-10-21,Novos espectadores,1460
2025-10-22,Novos espectadores,593
2025-10-23,Novos espectadores,986
2025-10-24,Novos espectadores,638
2025-10-25,Novos espectadores,661
2025-10-26,Novos espectadores,557
2025-10-27,Novos espectadores,694
2025-10-28,Novos espectadores,630
2025-10-29,Novos espectadores,2357
2025-10-30,Novos espectadores,1790
2025-10-31,Novos espectadores,1470
2025-11-01,Novos espectadores,721
2025-11-02,Novos espectadores,796
2025-11-03,Novos espectadores,747
2025-11-04,Novos espectadores,1095
2025-11-05,Novos espectadores,1755
2025-11-06,Novos espectadores,1200
2025-11-07,Novos espectadores,551
2025-11-08,Novos espectadores,583
2025-11-09,Novos espectadores,642
2025-11-10,Novos espectadores,621
2025-11-11,Novos espectadores,1685
2025-11-12,Novos espectadores,766
2025-11-13,Novos espectadores,578
2025-11-14,Novos espectadores,779
2025-11-15,Novos espectadores,862
2025-11-16,Novos espectadores,826
2025-11-17,Novos espectadores,620
2025-11-18,Novos espectadores,1487
2025-11-19,Novos espectadores,1083
2025-11-20,Novos espectadores,708
2025-11-21,Novos espectadores,726
2025-11-22,Novos espectadores,745
2025-11-23,Novos espectadores,720
2025-11-24,Novos espectadores,775
2025-11-25,Novos espectadores,615
2025-11-26,Novos espectadores,685
2025-11-27,Novos espectadores,665
2025-11-28,Novos espectadores,691
2025-11-29,Novos espectadores,700
2025-11-30,Novos espectadores,687
2025-12-01,Novos espectadores,673
2025-12-02,Novos espectadores,1570
2025-12-03,Novos espectadores,1186
2025-12-04,Novos espectadores,570
2025-12-05,Novos espectadores,688
2025-12-06,Novos espectadores,633
2025-12-07,Novos espectadores,649
2025-12-08,Novos espectadores,672
2025-12-09,Novos espectadores,1590
2025-12-10,Novos espectadores,2016
2025-12-11,Novos espectadores,1827
2025-12-12,Novos espectadores,2458
2025-12-13,Novos espectadores,1481
2025-12-14,Novos espectadores,1960
2025-12-15,Novos espectadores,2850
2025-12-16,Novos espectadores,2786
2025-12-17,Novos espectadores,1898
2025-12-18,Novos espectadores,769
2025-12-19,Novos espectadores,2438
2025-12-20,Novos espectadores,2234
2025-12-21,Novos espectadores,1152
2025-12-22,Novos espectadores,837
2025-12-23,Novos espectadores,1779
2025-12-24,Novos espectadores,1714
2025-12-25,Novos espectadores,626
2025-12-26,Novos espectadores,1327
2025-12-27,Novos espectadores,1708
2025-12-28,Novos espectadores,3347
2025-12-29,Novos espectadores,1899
2025-12-30,Novos espectadores,1340
2025-12-31,Novos espectadores,1291
2026-01-01,Novos espectadores,616
2026-01-02,Novos espectadores,710
2026-01-03,Novos espectadores,2577
2026-01-04,Novos espectadores,1497
2026-01-05,Novos espectadores,1736
2026-01-06,Novos espectadores,4032
2026-01-07,Novos espectadores,1554
2026-01-08,Novos espectadores,2833
2026-01-09,Novos espectadores,1201
2026-01-10,Novos espectadores,1318
2026-01-11,Novos espectadores,908
2026-01-12,Novos espectadores,2246
2026-01-13,Novos espectadores,1195
2026-01-14,Novos espectadores,2314
2026-01-15,Novos espectadores,1833
2026-01-16,Novos espectadores,843
2026-01-17,Novos espectadores,2953
2026-01-18,Novos espectadores,1765
2026-01-19,Novos espectadores,586
2026-01-20,Novos espectadores,985
2026-01-21,Novos espectadores,1895
2026-01-22,Novos espectadores,610
2026-01-23,Novos espectadores,1792
2026-01-24,Novos espectadores,807
2026-01-25,Novos espectadores,629
2026-01-26,Novos espectadores,1031
2026-01-27,Novos espectadores,1658
2026-01-28,Novos espectadores,1276
2026-01-29,Novos espectadores,567
2026-01-30,Novos espectadores,2732
2026-01-31,Novos espectadores,2432
2026-02-01,Novos espectadores,1880
2026-02-02,Novos espectadores,1666
2026-02-03,Novos espectadores,706
2026-02-04,Novos espectadores,877
2026-02-05,Novos espectadores,1362
2026-02-06,Novos espectadores,2277
2026-02-07,Novos espectadores,790
2026-02-08,Novos espectadores,675
2026-02-09,Novos espectadores,946
2026-02-10,Novos espectadores,808
2026-02-11,Novos espectadores,993
2026-02-12,Novos espectadores,2016
2026-02-13,Novos espectadores,1385
2026-02-14,Novos espectadores,646
2026-02-15,Novos espectadores,1568
2026-02-16,Novos espectadores,1360
2026-02-17,Novos espectadores,2161
2026-02-18,Novos espectadores,2387
2026-02-19,Novos espectadores,2059
2026-02-20,Novos espectadores,2948
2026-02-21,Novos espectadores,180494
2026-02-22,Novos espectadores,127606
2026-02-23,Novos espectadores,143648
2026-02-24,Novos espectadores,87290
2026-02-25,Novos espectadores,106390
2026-02-26,Novos espectadores,74345
2026-02-27,Novos espectadores,50807
2026-02-28,Novos espectadores,54182
2026-03-01,Novos espectadores,34357
2026-03-02,Novos espectadores,5564
2026-03-03,Novos espectadores,5058
2026-03-04,Novos espectadores,5006
2026-03-05,Novos espectadores,5500
2026-03-06,Novos espectadores,2917
2026-03-07,Novos espectadores,3149
2026-03-08,Novos espectadores,3510
2026-03-09,Novos espectadores,2885
2026-03-10,Novos espectadores,2100
2026-03-11,Novos espectadores,15660
2026-03-12,Novos espectadores,23855
2026-03-13,Novos espectadores,17562
2026-03-14,Novos espectadores,44831
2026-03-15,Novos espectadores,93124
2026-03-16,Novos espectadores,83562
2026-03-17,Novos espectadores,38308
2026-03-18,Novos espectadores,12554
2026-03-19,Novos espectadores,5579
2026-03-20,Novos espectadores,4914
2026-03-21,Novos espectadores,11211
2026-03-22,Novos espectadores,3166
2026-03-23,Novos espectadores,5058
2026-03-24,Novos espectadores,8276
2026-03-25,Novos espectadores,8920
2026-03-26,Novos espectadores,19936
2026-03-27,Novos espectadores,12844
2026-03-28,Novos espectadores,19712
2026-03-29,Novos espectadores,19191
2026-03-30,Novos espectadores,21743
2026-03-31,Novos espectadores,38521
2026-04-01,Novos espectadores,48887
2026-04-02,Novos espectadores,50183
2026-04-03,Novos espectadores,20948
2026-04-04,Novos espectadores,18977
2026-04-05,Novos espectadores,21817
2026-04-06,Novos espectadores,12937
2026-04-07,Novos espectadores,15368
2026-04-08,Novos espectadores,6600
2026-04-09,Novos espectadores,5057
2026-04-10,Novos espectadores,6017
2026-04-11,Novos espectadores,6721
2026-04-12,Novos espectadores,3603
2025-04-13,Espectadores recorrentes,172
2025-04-14,Espectadores recorrentes,29
2025-04-15,Espectadores recorrentes,105
2025-04-16,Espectadores recorrentes,1440
2025-04-17,Espectadores recorrentes,244
2025-04-18,Espectadores recorrentes,216
2025-04-19,Espectadores recorrentes,345
2025-04-20,Espectadores recorrentes,138
2025-04-21,Espectadores recorrentes,96
2025-04-22,Espectadores recorrentes,78
2025-04-23,Espectadores recorrentes,160
2025-04-24,Espectadores recorrentes,112
2025-04-25,Espectadores recorrentes,107
2025-04-26,Espectadores recorrentes,167
2025-04-27,Espectadores recorrentes,212
2025-04-28,Espectadores recorrentes,67
2025-04-29,Espectadores recorrentes,40
2025-04-30,Espectadores recorrentes,175
2025-05-01,Espectadores recorrentes,97
2025-05-02,Espectadores recorrentes,77
2025-05-03,Espectadores recorrentes,66
2025-05-04,Espectadores recorrentes,123
2025-05-05,Espectadores recorrentes,86
2025-05-06,Espectadores recorrentes,64
2025-05-07,Espectadores recorrentes,100
2025-05-08,Espectadores recorrentes,77
2025-05-09,Espectadores recorrentes,60
2025-05-10,Espectadores recorrentes,104
2025-05-11,Espectadores recorrentes,67
2025-05-12,Espectadores recorrentes,40
2025-05-13,Espectadores recorrentes,60
2025-05-14,Espectadores recorrentes,55
2025-05-15,Espectadores recorrentes,113
2025-05-16,Espectadores recorrentes,159
2025-05-17,Espectadores recorrentes,28
2025-05-18,Espectadores recorrentes,51
2025-05-19,Espectadores recorrentes,22
2025-05-20,Espectadores recorrentes,51
2025-05-21,Espectadores recorrentes,34
2025-05-22,Espectadores recorrentes,108
2025-05-23,Espectadores recorrentes,189
2025-05-24,Espectadores recorrentes,143
2025-05-25,Espectadores recorrentes,60
2025-05-26,Espectadores recorrentes,82
2025-05-27,Espectadores recorrentes,198
2025-05-28,Espectadores recorrentes,119
2025-05-29,Espectadores recorrentes,97
2025-05-30,Espectadores recorrentes,78
2025-05-31,Espectadores recorrentes,49
2025-06-01,Espectadores recorrentes,39
2025-06-02,Espectadores recorrentes,45
2025-06-03,Espectadores recorrentes,145
2025-06-04,Espectadores recorrentes,121
2025-06-05,Espectadores recorrentes,99
2025-06-06,Espectadores recorrentes,84
2025-06-07,Espectadores recorrentes,107
2025-06-08,Espectadores recorrentes,156
2025-06-09,Espectadores recorrentes,189
2025-06-10,Espectadores recorrentes,1168
2025-06-11,Espectadores recorrentes,398
2025-06-12,Espectadores recorrentes,156
2025-06-13,Espectadores recorrentes,141
2025-06-14,Espectadores recorrentes,274
2025-06-15,Espectadores recorrentes,115
2025-06-16,Espectadores recorrentes,204
2025-06-17,Espectadores recorrentes,137
2025-06-18,Espectadores recorrentes,95
2025-06-19,Espectadores recorrentes,110
2025-06-20,Espectadores recorrentes,183
2025-06-21,Espectadores recorrentes,108
2025-06-22,Espectadores recorrentes,166
2025-06-23,Espectadores recorrentes,135
2025-06-24,Espectadores recorrentes,163
2025-06-25,Espectadores recorrentes,231
2025-06-26,Espectadores recorrentes,164
2025-06-27,Espectadores recorrentes,153
2025-06-28,Espectadores recorrentes,116
2025-06-29,Espectadores recorrentes,69
2025-06-30,Espectadores recorrentes,199
2025-07-01,Espectadores recorrentes,114
2025-07-02,Espectadores recorrentes,71
2025-07-03,Espectadores recorrentes,40
2025-07-04,Espectadores recorrentes,43
2025-07-05,Espectadores recorrentes,55
2025-07-06,Espectadores recorrentes,79
2025-07-07,Espectadores recorrentes,62
