Data,Status da inscrição,Visualizações
2025-07-06,Inscrito,0
2025-07-07,Inscrito,9
2025-07-08,Inscrito,0
2025-07-09,Inscrito,1
2025-07-10,Inscrito,0
2025-07-11,Inscrito,9
2025-07-12,Inscrito,1
2025-07-13,Inscrito,2
2025-07-14,Inscrito,15
2025-07-15,Inscrito,41
2025-07-16,Inscrito,6
2025-07-17,Inscrito,56
2025-07-18,Inscrito,14
2025-07-19,Inscrito,12
2025-07-20,Inscrito,15
2025-07-21,Inscrito,14
2025-07-22,Inscrito,3
2025-07-23,Inscrito,3
2025-07-24,Inscrito,0
2025-07-25,Inscrito,2
2025-07-26,Inscrito,0
2025-07-27,Inscrito,0
2025-07-28,Inscrito,2
2025-07-29,Inscrito,0
2025-07-30,Inscrito,0
2025-07-31,Inscrito,19
2025-08-01,Inscrito,0
2025-08-02,Inscrito,2
2025-08-03,Inscrito,2
2025-08-04,Inscrito,1
2025-08-05,Inscrito,2
2025-08-06,Inscrito,1
2025-08-07,Inscrito,4
2025-08-08,Inscrito,1
2025-08-09,Inscrito,2
2025-08-10,Inscrito,1
2025-08-11,Inscrito,13
2025-08-12,Inscrito,0
2025-08-13,Inscrito,8
2025-08-14,Inscrito,4
2025-08-15,Inscrito,4
2025-08-16,Inscrito,98
2025-08-17,Inscrito,1
2025-08-18,Inscrito,3
2025-08-19,Inscrito,0
2025-08-20,Inscrito,8
2025-08-21,Inscrito,2
2025-08-22,Inscrito,2
2025-08-23,Inscrito,3
2025-08-24,Inscrito,2
2025-08-25,Inscrito,8
2025-08-26,Inscrito,22
2025-08-27,Inscrito,9
2025-08-28,Inscrito,6
2025-08-29,Inscrito,7
2025-08-30,Inscrito,4
2025-08-31,Inscrito,25
2025-09-01,Inscrito,39
2025-09-02,Inscrito,30
2025-09-03,Inscrito,0
2025-09-04,Inscrito,44
2025-09-05,Inscrito,25
2025-09-06,Inscrito,47
2025-09-07,Inscrito,7
2025-09-08,Inscrito,8
2025-09-09,Inscrito,29
2025-09-10,Inscrito,14
2025-09-11,Inscrito,7
2025-09-12,Inscrito,12
2025-09-13,Inscrito,35
2025-09-14,Inscrito,5
2025-09-15,Inscrito,12
2025-09-16,Inscrito,3
2025-09-17,Inscrito,20
2025-09-18,Inscrito,4
2025-09-19,Inscrito,6
2025-09-20,Inscrito,5
2025-09-21,Inscrito,6
2025-09-22,Inscrito,24
2025-09-23,Inscrito,65
2025-09-24,Inscrito,4
2025-09-25,Inscrito,30
2025-09-26,Inscrito,12
2025-09-27,Inscrito,10
2025-09-28,Inscrito,24
2025-09-29,Inscrito,1
2025-09-30,Inscrito,14
2025-10-01,Inscrito,13
2025-10-02,Inscrito,8
2025-10-03,Inscrito,4
2025-10-04,Inscrito,7
2025-10-05,Inscrito,12
2025-10-06,Inscrito,15
2025-10-07,Inscrito,10
2025-10-08,Inscrito,15
2025-10-09,Inscrito,5
2025-10-10,Inscrito,27
2025-10-11,Inscrito,4
2025-10-12,Inscrito,3
2025-10-13,Inscrito,4
2025-10-14,Inscrito,4
2025-10-15,Inscrito,8
2025-10-16,Inscrito,4
2025-10-17,Inscrito,12
2025-10-18,Inscrito,5
2025-10-19,Inscrito,12
2025-10-20,Inscrito,9
2025-10-21,Inscrito,5
2025-10-22,Inscrito,3
2025-10-23,Inscrito,9
2025-10-24,Inscrito,4
2025-10-25,Inscrito,2
2025-10-26,Inscrito,5
2025-10-27,Inscrito,10
2025-10-28,Inscrito,35
2025-10-29,Inscrito,17
2025-10-30,Inscrito,12
2025-10-31,Inscrito,31
2025-11-01,Inscrito,15
2025-11-02,Inscrito,7
2025-11-03,Inscrito,19
2025-11-04,Inscrito,5
2025-11-05,Inscrito,12
2025-11-06,Inscrito,18
2025-11-07,Inscrito,3
2025-11-08,Inscrito,2
2025-11-09,Inscrito,2
2025-11-10,Inscrito,2
2025-11-11,Inscrito,4
2025-11-12,Inscrito,20
2025-11-13,Inscrito,7
2025-11-14,Inscrito,7
2025-11-15,Inscrito,12
2025-11-16,Inscrito,15
2025-11-17,Inscrito,18
2025-11-18,Inscrito,60
2025-11-19,Inscrito,248
2025-11-20,Inscrito,266
2025-11-21,Inscrito,8
2025-11-22,Inscrito,0
2025-11-23,Inscrito,56
2025-11-24,Inscrito,29
2025-11-25,Inscrito,3
2025-11-26,Inscrito,4
2025-11-27,Inscrito,46
2025-11-28,Inscrito,3
2025-11-29,Inscrito,0
2025-11-30,Inscrito,1
2025-12-01,Inscrito,14
2025-12-02,Inscrito,7
2025-12-03,Inscrito,41
2025-12-04,Inscrito,3
2025-12-05,Inscrito,1
2025-12-06,Inscrito,6
2025-12-07,Inscrito,1
2025-12-08,Inscrito,3
2025-12-09,Inscrito,21
2025-12-10,Inscrito,5
2025-12-11,Inscrito,30
2025-12-12,Inscrito,20
2025-12-13,Inscrito,24
2025-12-14,Inscrito,9
2025-12-15,Inscrito,17
2025-12-16,Inscrito,19
2025-12-17,Inscrito,44
2025-12-18,Inscrito,17
2025-12-19,Inscrito,12
2025-12-20,Inscrito,15
2025-12-21,Inscrito,22
2025-12-22,Inscrito,10
2025-12-23,Inscrito,27
2025-12-24,Inscrito,9
2025-12-25,Inscrito,10
2025-12-26,Inscrito,66
2025-12-27,Inscrito,35
2025-12-28,Inscrito,25
2025-12-29,Inscrito,32
2025-12-30,Inscrito,10
2025-12-31,Inscrito,12
2026-01-01,Inscrito,1
2026-01-02,Inscrito,26
2026-01-03,Inscrito,37
2026-01-04,Inscrito,11
2026-01-05,Inscrito,43
2026-01-06,Inscrito,103
2026-01-07,Inscrito,18
2026-01-08,Inscrito,28
2026-01-09,Inscrito,16
2026-01-10,Inscrito,17
2026-01-11,Inscrito,10
2026-01-12,Inscrito,37
2026-01-13,Inscrito,14
2026-01-14,Inscrito,22
2026-01-15,Inscrito,55
2026-01-16,Inscrito,69
2026-01-17,Inscrito,35
2026-01-18,Inscrito,35
2026-01-19,Inscrito,13
2026-01-20,Inscrito,12
2026-01-21,Inscrito,256
2026-01-22,Inscrito,9
2026-01-23,Inscrito,20
2026-01-24,Inscrito,6
2026-01-25,Inscrito,3
2026-01-26,Inscrito,44
2026-01-27,Inscrito,37
2026-01-28,Inscrito,15
2026-01-29,Inscrito,2
2026-01-30,Inscrito,21
2026-01-31,Inscrito,38
2026-02-01,Inscrito,19
2026-02-02,Inscrito,20
2026-02-03,Inscrito,43
2026-02-04,Inscrito,21
2026-02-05,Inscrito,60
2026-02-06,Inscrito,32
2026-02-07,Inscrito,16
2026-02-08,Inscrito,12
2026-02-09,Inscrito,25
2026-02-10,Inscrito,8
2026-02-11,Inscrito,31
2026-02-12,Inscrito,21
2026-02-13,Inscrito,13
2026-02-14,Inscrito,19
2026-02-15,Inscrito,74
2026-02-16,Inscrito,53
2026-02-17,Inscrito,53
2026-02-18,Inscrito,73
2026-02-19,Inscrito,53
2026-02-20,Inscrito,34
2026-02-21,Inscrito,51
2026-02-22,Inscrito,54
2026-02-23,Inscrito,63
2026-02-24,Inscrito,73
2026-02-25,Inscrito,53
2026-02-26,Inscrito,27
2026-02-27,Inscrito,112
2026-02-28,Inscrito,178
2026-03-01,Inscrito,66
2026-03-02,Inscrito,56
2026-03-03,Inscrito,36
2026-03-04,Inscrito,8
2026-03-05,Inscrito,60
2026-03-06,Inscrito,122
2026-03-07,Inscrito,19
2026-03-08,Inscrito,12
2026-03-09,Inscrito,18
2026-03-10,Inscrito,70
2026-03-11,Inscrito,24
2026-03-12,Inscrito,42
2026-03-13,Inscrito,60
2026-03-14,Inscrito,66
2026-03-15,Inscrito,68
2026-03-16,Inscrito,90
2026-03-17,Inscrito,30
2026-03-18,Inscrito,38
2026-03-19,Inscrito,73
2026-03-20,Inscrito,34
2026-03-21,Inscrito,78
2026-03-22,Inscrito,9
2026-03-23,Inscrito,17
2026-03-24,Inscrito,31
2026-03-25,Inscrito,12
2026-03-26,Inscrito,76
2026-03-27,Inscrito,38
2026-03-28,Inscrito,29
2026-03-29,Inscrito,17
2026-03-30,Inscrito,10
2026-03-31,Inscrito,28
2026-04-01,Inscrito,53
2026-04-02,Inscrito,30
2026-04-03,Inscrito,28
2026-04-04,Inscrito,18
2026-04-05,Inscrito,25
2026-04-06,Inscrito,36
2026-04-07,Inscrito,7
2026-04-08,Inscrito,15
2026-04-09,Inscrito,13
2026-04-10,Inscrito,31
2026-04-11,Inscrito,28
2026-04-12,Inscrito,9
2025-04-13,Não inscrito,2761
2025-04-14,Não inscrito,305
2025-04-15,Não inscrito,1912
2025-04-16,Não inscrito,31145
2025-04-17,Não inscrito,2133
2025-04-18,Não inscrito,3683
2025-04-19,Não inscrito,3836
2025-04-20,Não inscrito,2406
2025-04-21,Não inscrito,1583
2025-04-22,Não inscrito,1065
2025-04-23,Não inscrito,1706
2025-04-24,Não inscrito,1210
2025-04-25,Não inscrito,2567
2025-04-26,Não inscrito,607
2025-04-27,Não inscrito,1626
2025-04-28,Não inscrito,596
2025-04-29,Não inscrito,325
2025-04-30,Não inscrito,1286
2025-05-01,Não inscrito,1414
2025-05-02,Não inscrito,332
2025-05-03,Não inscrito,360
2025-05-04,Não inscrito,2459
2025-05-05,Não inscrito,505
2025-05-06,Não inscrito,565
2025-05-07,Não inscrito,656
2025-05-08,Não inscrito,866
2025-05-09,Não inscrito,283
2025-05-10,Não inscrito,797
2025-05-11,Não inscrito,289
2025-05-12,Não inscrito,245
2025-05-13,Não inscrito,245
2025-05-14,Não inscrito,777
2025-05-15,Não inscrito,966
2025-05-16,Não inscrito,2075
2025-05-17,Não inscrito,188
2025-05-18,Não inscrito,199
2025-05-19,Não inscrito,194
2025-05-20,Não inscrito,510
2025-05-21,Não inscrito,396
2025-05-22,Não inscrito,1344
2025-05-23,Não inscrito,3709
2025-05-24,Não inscrito,1577
2025-05-25,Não inscrito,247
2025-05-26,Não inscrito,581
2025-05-27,Não inscrito,2868
2025-05-28,Não inscrito,783
2025-05-29,Não inscrito,400
2025-05-30,Não inscrito,1817
2025-05-31,Não inscrito,498
2025-06-01,Não inscrito,262
2025-06-02,Não inscrito,323
2025-06-03,Não inscrito,1181
2025-06-04,Não inscrito,1185
2025-06-05,Não inscrito,875
2025-06-06,Não inscrito,733
2025-06-07,Não inscrito,1008
2025-06-08,Não inscrito,345
2025-06-09,Não inscrito,1209
2025-06-10,Não inscrito,26659
2025-06-11,Não inscrito,8835
2025-06-12,Não inscrito,1492
2025-06-13,Não inscrito,1419
2025-06-14,Não inscrito,2121
2025-06-15,Não inscrito,1179
2025-06-16,Não inscrito,819
2025-06-17,Não inscrito,1175
2025-06-18,Não inscrito,517
2025-06-19,Não inscrito,926
2025-06-20,Não inscrito,1993
2025-06-21,Não inscrito,1224
2025-06-22,Não inscrito,361
2025-06-23,Não inscrito,317
2025-06-24,Não inscrito,1345
2025-06-25,Não inscrito,1086
2025-06-26,Não inscrito,493
2025-06-27,Não inscrito,1131
2025-06-28,Não inscrito,1057
2025-06-29,Não inscrito,319
2025-06-30,Não inscrito,1708
2025-07-01,Não inscrito,786
2025-07-02,Não inscrito,223
2025-07-03,Não inscrito,197
2025-07-04,Não inscrito,228
2025-07-05,Não inscrito,247
2025-07-06,Não inscrito,243
2025-07-07,Não inscrito,259
2025-07-08,Não inscrito,1131
2025-07-09,Não inscrito,372
2025-07-10,Não inscrito,203
2025-07-11,Não inscrito,497
2025-07-12,Não inscrito,311
2025-07-13,Não inscrito,264
2025-07-14,Não inscrito,544
2025-07-15,Não inscrito,820
2025-07-16,Não inscrito,622
2025-07-17,Não inscrito,1296
2025-07-18,Não inscrito,419
2025-07-19,Não inscrito,1228
2025-07-20,Não inscrito,295
2025-07-21,Não inscrito,491
2025-07-22,Não inscrito,272
2025-07-23,Não inscrito,1136
2025-07-24,Não inscrito,474
2025-07-25,Não inscrito,413
2025-07-26,Não inscrito,252
2025-07-27,Não inscrito,205
2025-07-28,Não inscrito,299
2025-07-29,Não inscrito,564
2025-07-30,Não inscrito,1243
2025-07-31,Não inscrito,325
2025-08-01,Não inscrito,229
2025-08-02,Não inscrito,1231
2025-08-03,Não inscrito,265
2025-08-04,Não inscrito,274
2025-08-05,Não inscrito,320
2025-08-06,Não inscrito,280
2025-08-07,Não inscrito,1656
2025-08-08,Não inscrito,602
2025-08-09,Não inscrito,307
2025-08-10,Não inscrito,317
2025-08-11,Não inscrito,230
2025-08-12,Não inscrito,310
2025-08-13,Não inscrito,4627
2025-08-14,Não inscrito,479
2025-08-15,Não inscrito,411
2025-08-16,Não inscrito,312
2025-08-17,Não inscrito,268
2025-08-18,Não inscrito,427
2025-08-19,Não inscrito,256
2025-08-20,Não inscrito,310
2025-08-21,Não inscrito,777
2025-08-22,Não inscrito,438
2025-08-23,Não inscrito,430
2025-08-24,Não inscrito,391
2025-08-25,Não inscrito,645
2025-08-26,Não inscrito,2491
2025-08-27,Não inscrito,819
2025-08-28,Não inscrito,409
2025-08-29,Não inscrito,635
2025-08-30,Não inscrito,314
2025-08-31,Não inscrito,2273
2025-09-01,Não inscrito,2050
2025-09-02,Não inscrito,746
2025-09-03,Não inscrito,1503
2025-09-04,Não inscrito,5837
2025-09-05,Não inscrito,4501
2025-09-06,Não inscrito,2208
2025-09-07,Não inscrito,1430
2025-09-08,Não inscrito,1468
2025-09-09,Não inscrito,6653
2025-09-10,Não inscrito,3966
2025-09-11,Não inscrito,1529
2025-09-12,Não inscrito,1426
2025-09-13,Não inscrito,1706
2025-09-14,Não inscrito,1445
2025-09-15,Não inscrito,1351
2025-09-16,Não inscrito,1167
2025-09-17,Não inscrito,1185
2025-09-18,Não inscrito,1072
2025-09-19,Não inscrito,1222
2025-09-20,Não inscrito,1995
2025-09-21,Não inscrito,2939
2025-09-22,Não inscrito,1200
2025-09-23,Não inscrito,1297
2025-09-24,Não inscrito,1022
2025-09-25,Não inscrito,1479
2025-09-26,Não inscrito,1012
2025-09-27,Não inscrito,1044
2025-09-28,Não inscrito,1516
2025-09-29,Não inscrito,817
2025-09-30,Não inscrito,1783
2025-10-01,Não inscrito,1335
2025-10-02,Não inscrito,757
2025-10-03,Não inscrito,781
2025-10-04,Não inscrito,764
2025-10-05,Não inscrito,861
2025-10-06,Não inscrito,2392
2025-10-07,Não inscrito,1228
2025-10-08,Não inscrito,1124
2025-10-09,Não inscrito,2881
2025-10-10,Não inscrito,1542
2025-10-11,Não inscrito,1003
2025-10-12,Não inscrito,841
2025-10-13,Não inscrito,760
2025-10-14,Não inscrito,1713
2025-10-15,Não inscrito,783
2025-10-16,Não inscrito,740
2025-10-17,Não inscrito,850
2025-10-18,Não inscrito,862
2025-10-19,Não inscrito,825
2025-10-20,Não inscrito,1244
2025-10-21,Não inscrito,1668
2025-10-22,Não inscrito,829
2025-10-23,Não inscrito,1306
2025-10-24,Não inscrito,882
2025-10-25,Não inscrito,887
2025-10-26,Não inscrito,821
2025-10-27,Não inscrito,947
2025-10-28,Não inscrito,863
2025-10-29,Não inscrito,2715
2025-10-30,Não inscrito,2090
2025-10-31,Não inscrito,1753
2025-11-01,Não inscrito,1059
2025-11-02,Não inscrito,1042
2025-11-03,Não inscrito,1084
2025-11-04,Não inscrito,1347
2025-11-05,Não inscrito,2067
2025-11-06,Não inscrito,1414
2025-11-07,Não inscrito,752
2025-11-08,Não inscrito,817
2025-11-09,Não inscrito,845
2025-11-10,Não inscrito,808
2025-11-11,Não inscrito,1953
2025-11-12,Não inscrito,1020
2025-11-13,Não inscrito,906
2025-11-14,Não inscrito,1006
2025-11-15,Não inscrito,1150
2025-11-16,Não inscrito,1081
2025-11-17,Não inscrito,851
2025-11-18,Não inscrito,1897
2025-11-19,Não inscrito,1413
2025-11-20,Não inscrito,996
2025-11-21,Não inscrito,1058
2025-11-22,Não inscrito,974
2025-11-23,Não inscrito,997
2025-11-24,Não inscrito,1025
2025-11-25,Não inscrito,864
2025-11-26,Não inscrito,920
2025-11-27,Não inscrito,878
2025-11-28,Não inscrito,898
2025-11-29,Não inscrito,908
2025-11-30,Não inscrito,907
2025-12-01,Não inscrito,861
2025-12-02,Não inscrito,1871
2025-12-03,Não inscrito,1609
2025-12-04,Não inscrito,809
2025-12-05,Não inscrito,992
2025-12-06,Não inscrito,886
2025-12-07,Não inscrito,884
2025-12-08,Não inscrito,987
2025-12-09,Não inscrito,1833
2025-12-10,Não inscrito,2340
2025-12-11,Não inscrito,2171
2025-12-12,Não inscrito,2879
2025-12-13,Não inscrito,1727
2025-12-14,Não inscrito,2276
2025-12-15,Não inscrito,3242
2025-12-16,Não inscrito,3117
2025-12-17,Não inscrito,2271
2025-12-18,Não inscrito,1007
2025-12-19,Não inscrito,2893
2025-12-20,Não inscrito,2637
2025-12-21,Não inscrito,1497
2025-12-22,Não inscrito,1301
2025-12-23,Não inscrito,2106
2025-12-24,Não inscrito,2029
2025-12-25,Não inscrito,826
2025-12-26,Não inscrito,1606
2025-12-27,Não inscrito,2031
2025-12-28,Não inscrito,3775
2025-12-29,Não inscrito,2277
2025-12-30,Não inscrito,1663
2025-12-31,Não inscrito,1825
2026-01-01,Não inscrito,816
2026-01-02,Não inscrito,950
2026-01-03,Não inscrito,2916
2026-01-04,Não inscrito,1806
2026-01-05,Não inscrito,2115
2026-01-06,Não inscrito,4763
2026-01-07,Não inscrito,1843
2026-01-08,Não inscrito,3253
2026-01-09,Não inscrito,1743
2026-01-10,Não inscrito,2026
2026-01-11,Não inscrito,1181
2026-01-12,Não inscrito,2678
2026-01-13,Não inscrito,1398
2026-01-14,Não inscrito,2664
2026-01-15,Não inscrito,2325
2026-01-16,Não inscrito,1145
2026-01-17,Não inscrito,3328
2026-01-18,Não inscrito,2163
2026-01-19,Não inscrito,819
2026-01-20,Não inscrito,1272
2026-01-21,Não inscrito,2330
2026-01-22,Não inscrito,815
2026-01-23,Não inscrito,2139
2026-01-24,Não inscrito,1098
2026-01-25,Não inscrito,863
2026-01-26,Não inscrito,1356
2026-01-27,Não inscrito,2043
2026-01-28,Não inscrito,1646
2026-01-29,Não inscrito,948
2026-01-30,Não inscrito,3193
2026-01-31,Não inscrito,2859
2026-02-01,Não inscrito,2186
2026-02-02,Não inscrito,1971
2026-02-03,Não inscrito,1026
2026-02-04,Não inscrito,1291
2026-02-05,Não inscrito,1879
2026-02-06,Não inscrito,2789
2026-02-07,Não inscrito,1149
2026-02-08,Não inscrito,964
2026-02-09,Não inscrito,1263
2026-02-10,Não inscrito,1310
2026-02-11,Não inscrito,1322
2026-02-12,Não inscrito,2302
2026-02-13,Não inscrito,1843
2026-02-14,Não inscrito,983
2026-02-15,Não inscrito,2187
2026-02-16,Não inscrito,1873
2026-02-17,Não inscrito,2695
2026-02-18,Não inscrito,2993
2026-02-19,Não inscrito,2649
2026-02-20,Não inscrito,3568
2026-02-21,Não inscrito,197351
2026-02-22,Não inscrito,139521
2026-02-23,Não inscrito,157032
2026-02-24,Não inscrito,95312
2026-02-25,Não inscrito,116934
2026-02-26,Não inscrito,80114
2026-02-27,Não inscrito,54608
2026-02-28,Não inscrito,59141
2026-03-01,Não inscrito,37539
2026-03-02,Não inscrito,6739
2026-03-03,Não inscrito,6427
2026-03-04,Não inscrito,5931
2026-03-05,Não inscrito,6695
2026-03-06,Não inscrito,3500
2026-03-07,Não inscrito,4047
2026-03-08,Não inscrito,4817
2026-03-09,Não inscrito,3970
2026-03-10,Não inscrito,2717
2026-03-11,Não inscrito,21934
2026-03-12,Não inscrito,34873
2026-03-13,Não inscrito,24299
2026-03-14,Não inscrito,63060
2026-03-15,Não inscrito,124864
2026-03-16,Não inscrito,108191
2026-03-17,Não inscrito,47940
2026-03-18,Não inscrito,15217
2026-03-19,Não inscrito,6874
2026-03-20,Não inscrito,5967
2026-03-21,Não inscrito,13321
2026-03-22,Não inscrito,4117
2026-03-23,Não inscrito,6691
2026-03-24,Não inscrito,10819
2026-03-25,Não inscrito,11462
2026-03-26,Não inscrito,25638
2026-03-27,Não inscrito,16710
2026-03-28,Não inscrito,26566
2026-03-29,Não inscrito,25857
2026-03-30,Não inscrito,29240
2026-03-31,Não inscrito,51541
2026-04-01,Não inscrito,62482
2026-04-02,Não inscrito,63384
2026-04-03,Não inscrito,26548
2026-04-04,Não inscrito,23517
2026-04-05,Não inscrito,27348
2026-04-06,Não inscrito,16000
2026-04-07,Não inscrito,18737
2026-04-08,Não inscrito,8088
2026-04-09,Não inscrito,6274
2026-04-10,Não inscrito,7493
2026-04-11,Não inscrito,8679
2026-04-12,Não inscrito,4843
