Conteúdo,Título do vídeo,Horário de publicação do vídeo,Duração,Visualizações,Tempo de exibição (horas),Inscritos,Impressões,Taxa de cliques de impressões (%)
9lN_Bc1dAos,Começou a Mega Cliente na Mega Eletrônicos,"Mar 1, 2026",48,343,0.3765,0,225,2.22
bBPVts4cm3o,✨ O celular perfeito para um arquiteto 📐,"Feb 17, 2026",56,330,1.1075,1,354,3.11
auowNwOCZs4,Unboxing Itel super 26 Ultra,"Mar 7, 2026",62,306,0.4673,0,176,1.7
PKaSiiCrhuE,Speakers Audisat simplesmente absurdos 🔊,"Jan 13, 2026",58,305,2.3675,6,1689,8.64
K8J7R8TScBU,🚗📱 Transforme seu carro em uma central multimídia inteligente,"Dec 13, 2025",56,282,1.7015,0,1513,6.41
cxOSZ7LAS5Y,A Campanha de Outono da Mega Eletrônicos já começou e está cheia de  preços incríveis,"Mar 16, 2026",22,269,0.2672,0,270,1.85
OxqB1bsQC9Q,5 de marzo de 2026,"Mar 5, 2026",77,268,0.7085,2,184,2.17
rySFzl2LRvs,Produtos milagrosos para pele opaca,"Jan 27, 2026",74,268,0.3006,0,247,0.4
9WADATIkDBQ,"🖥️ Procurando o monitor ideal para trabalhar, estudar ou jogar? A Xiaomi tem a opção certa pra você!","Jun 5, 2025",47,250,1.5054,0,1694,7.2
f-be0lV5QtI,Caixas de som da Aiwa? 😬🫣,"Jan 5, 2026",51,249,1.2393,0,2034,3.69
-8Ek0NiqAuA,Xiaomi Redmi note 15,"Jan 4, 2026",50,244,1.5487,2,1597,9.58
PIkBTckZbmI,🔥 Coisas que você não sabia que precisava… até agora 👀,"Jan 28, 2026",69,237,0.3796,1,298,1.68
Lliq2U2D7nU,✨ Quer ter uma pele de porcelana?Conquistar a pele das coreanas nunca foi tão fácil! 💁🏻‍♀️🇰🇷,"Aug 7, 2025",30,231,1.021,0,1816,3.25
rIbm7YcaqtQ,"Nunca mais perca seu marido, Localizador Audisat","Dec 17, 2025",34,218,1.2274,1,299,17.73
9aAvcncQE6U,🎶🔥 Três lançamentos imperdíveis da Audisat que vão elevar o som da sua festa,"Dec 31, 2025",60,206,1.5776,1,1300,7.15
tKGUmtktcNA,👉 Audisat Xvlog vs. Hollyland Lark M2,"Sep 12, 2025",44,184,1.4183,0,934,9.74
vSLom3Tz6nE,Neymar e Aiwa?,"Apr 24, 2025",23,176,0.376,0,882,5.56
FuSCLbP6gxU,20 de febrero de 2026,"Feb 20, 2026",61,175,0.2996,0,155,1.94
SMMJ8G351-U,🎮 Libere o gamer que existe em você com o novo GameSir X4 Aileron! 🚀,"Apr 26, 2025",49,166,0.7491,0,835,3.23
hPRh3fJY0e4,Moto x70 air,"Oct 14, 2025",40,162,1.1592,1,686,8.89
SWQoQjOE4s8,PAGUE COM PIX NA MEGA!,"Jan 27, 2023",24,155,0.8828,0,405,5.68
iuIN4oC-D0w,✨ Os perfumes árabes mais sedutores e desejados do momento estão aqui na Mega Eletrônicos!,"Jul 2, 2025",20,153,0.4177,1,794,7.43
NimorkKFKV0,Tablet Black Shark Pad 5 #shorts,"Jan 24, 2025",37,148,0.4226,0,1050,3.52
9T-imQYNr1E,Carregador portátil Aiwa,"Jun 19, 2025",29,129,0.4569,0,731,5.47
YSBZb2bQFAU,COMO CHEGAR NA MEGA | MEGA ELETRÔNICOS,"Jun 11, 2019",324,129,4.4087,1,684,5.41
BRewuGRp-II,Mega Folia: Último dia,"Feb 21, 2026",43,107,0.1971,0,173,3.47
vIAhXeUGTJo,Vlog: Dia do Tereré,"Feb 28, 2026",115,102,0.3412,0,189,1.59
mr26WgY5m-U,Quem mais já quebrou a primeira promessa de 2026?,"Jan 2, 2026",11,99,0.1198,1,189,0.53
33kpJFixSTs,🔥 Não compre nenhum tablet antes de ver esses lançamentos!,"Oct 9, 2025",49,94,0.4218,0,674,4.45
6thVBDR2Dj4,O MELHOR TABLET INFANTIL? Ideal para diversão e aprendizado!,"Apr 4, 2025",23,89,0.3164,0,518,4.83
zal8pDar2Mk,"✨ Ano novo, Iphone novo","Jan 6, 2026",59,89,0.4395,0,279,7.53
o5NXaLhENMU,Comparando preços do Brasil vs Paraguai,"Jan 28, 2025",35,84,0.4168,0,352,6.25
hIDrkALq3eg,Não compre nenhum fone de ouvido antes de ver este: Mibro Open-Ear Pro.,"Dec 16, 2025",36,81,0.4049,1,292,8.56
t-cuBydqh5M,Secador de cabelo Quanta campact look,"Jan 21, 2025",37,80,0.5086,0,393,8.91
isFlwZf3rAI,Primeiro... uma paradinha estratégica na Mega Eletrônicos 😅🛍️,"May 22, 2025",12,74,0.1181,0,542,2.03
5P4lTTA9fyQ,🏎️🔥 Um smartphone realmente rápido para os apaixonados por Fórmula 1!,"Sep 2, 2025",42,70,0.258,0,281,9.25
Idme8zAwRnk,"Caixa JBL ultimamente, para animar a sua festa 🔥🚀","Feb 13, 2025",33,64,0.133,0,300,4
KRoAPqP7_dQ,Gala y s26: lançamento e filtrações,"Feb 23, 2026",65,59,0.0912,0,7,0
HzLUWPqUHgI,🚗✨ Transforme seu carro em uma central multimídia completa com o Carplay Wireless Modelo X!,"Dec 8, 2025",46,56,0.3313,0,165,1.82
eYMGi7S_3xY,🚨 A SO UM DIA DA CRAZY WEEK NA MEGA ELETRÔNICOS! 🚨,"May 7, 2025",57,56,0.308,0,399,3.51
_VzfZoV4fn8,LOJAS MEGA FALSAS | MEGA ELETRÔNICOS,"Jun 19, 2019",148,53,0.6882,0,185,3.78
On0TBAwND60,26 de enero de 2026,"Jan 26, 2026",73,47,0.094,0,249,0.8
_1SKCL06RgY,TV box Xiaomi S,"May 6, 2025",43,46,0.1203,0,406,0.99
wCz0myJHlH0,🎤 O microfone sem fio mais viral do momento chegou no Mega!👉 Boya Boyamic 2-01 com conector USB-C,"Jul 21, 2025",34,45,0.2133,0,407,4.91
IZUsbKBKcjk,Cliente merece sempre mais 🤩✨,"Sep 18, 2025",40,43,0.2019,0,315,4.13
LlGULelLjwk,"VERÃO ON, OFERTAS ON! 🔥☀️","Jan 8, 2026",70,42,0.1492,0,347,1.44
L6KE-Rk2TPE,6 de enero de 2026,"Jan 6, 2026",50,42,0.1595,0,239,1.26
0-fZzrHbOd4,Recién pago e direto para a Mega Eletrônicos! 😍,"Apr 3, 2025",11,41,0.0739,0,327,1.22
5yN7-0o5L_A,✨ Dica rápida para escolher o produto certo para sua pele!,"Dec 2, 2025",31,37,0.1597,0,77,3.9
09YomFsCJGI,Qual vai ser o seu próximo console? 👀🎮,"Jan 3, 2026",32,36,0.1266,0,281,2.85
oEtOA0KXc3A,Alguém falou CELULAR BARATO? Cheguei correndo! 🏃‍♂️📱😂,"Apr 9, 2025",24,34,0.0973,1,213,2.35
pJTyguQn1CE,Começou o Mega Verão…e os descontos também 😍,"Jan 7, 2026",23,31,0.0431,0,235,0.43
47XB_ByylVQ,"🔒 Fechado, funciona como um celular tradicional, totalmente aberto, se transforma quase em um tablet","Dec 27, 2025",92,30,0.0843,0,208,2.4
5BtaI3TLubY,🛍️ Quer pagar barato em eletrônicos de marca?,"Apr 30, 2025",10,29,0.037,0,115,1.74
DO1eVF0TOrg,Fone de ouvido Black Shark T9 😱 #shorts,"Jan 22, 2025",32,29,0.1041,0,137,10.22
p8P5s7LzCJs,📚💻 Seu velho notebook já não aguenta mais?,"May 24, 2025",38,29,0.1093,0,306,2.29
zxp_AMrvGSs,Câmera Redmi Note 14 VS Redmi Note 14 Pro,"Jan 18, 2025",21,28,0.1072,0,66,4.55
3bacquvRub4,Dia 03 - Hack Friday 22/11,"Nov 24, 2025",41,27,0.0057,0,69,1.45
bsCMEzCy3XY,VT Mega Eletrônicos Atacado Paraguay | MEGA ELETRÔNICOS,"Jul 20, 2016",31,27,0.1497,0,319,7.21
842aeK1HS_E,Conheça o novo Realme GT3,"Jan 27, 2024",179,26,0.2917,0,551,3.99
v8-xfQyiT6c,Os celulares mais cobiçados do momento 🤩,"Feb 27, 2025",32,25,0.1153,0,144,3.47
i8IeqKMo7Cw,Dia 04 - Hack Friday 23/11,"Nov 24, 2025",47,24,0.0105,0,73,1.37
gRL9VbyrSBM,iPhones Brasil x Paraguai,"Oct 10, 2025",44,24,0.1182,0,231,3.46
0uqG8-50BiE,Poco X7 VS Poco X7 Pro #shorts,"Jan 23, 2025",72,23,0.2043,0,103,3.88
FGgonADmdSg,🎄✨ Presentes incríveis por menos de R$100? SIM!,"Dec 12, 2025",38,23,0.0377,0,126,0.79
d11w7I5qW1Y,🎅🎄 O Natal já chegou na Mega Eletrônicos!,"Dec 23, 2025",57,23,0.0424,0,121,0.83
w2BlnqdnN0M,Quer ganhar um iPhone 17 Pro Max?,"Nov 19, 2025",33,23,0.062,0,131,0
IjWsdXh5O9U,Día 02 - Hack Friday 21/11,"Nov 24, 2025",41,21,0.0036,0,67,0
GEHnAvSq6ag,⌚️Smartwatch bom e barato? A gente tem!,"May 28, 2025",23,21,0.0566,0,145,2.07
tul_NvWnnsk,Vocês viram isso? 🤯,"Dec 11, 2025",54,20,0.0613,0,101,2.97
5jfmQhDws1A,"Celular por menos de R$ 325,00","Dec 3, 2025",49,19,0.0362,0,72,2.78
1ufl0qZTeDA,"💥 Por apenas R$ 325,00! 😱","Nov 6, 2025",49,18,0.0919,1,134,4.48
X3i7QotTyrQ,😎 3 motivos pra trocar seu fone por esse óculos da Xiaomi — e o último vai te surpreender!,"Oct 7, 2025",43,17,0.0689,0,94,1.06
 -xweBsG1WTQ,Smartwatch menos de R$160,"Jan 19, 2025",29,17,0.0806,0,101,5.94
6Oai_T40tIo,👀 Vocês também têm um patrão maravilhoso assim? 🫶 Todo mundo ama o chefe quando ele é top!,"May 27, 2025",23,17,0.0372,0,81,2.47
3d1wHPKbPMI,"Kit Gamer Completo por menos de 3000,00 R$","Mar 27, 2025",20,16,0.0406,0,110,3.64
aoP5hR8V4XQ,Já imaginou ter a potência de um computador de mesa na palma da sua mão? 🤯,"Sep 30, 2025",28,16,0.046,0,205,0.49
5fV2xR_fbws,Resumo do nosso evento 22-03-2025 com nossos clientes que estão aproveitando o feriado prolongado,"Mar 22, 2025",40,16,0.0307,0,104,0
QQyoXALQPq4,É difícil ter tanto sucesso 😌,"Dec 13, 2025",17,16,0.0218,0,91,3.3
3JCnXAqn3n8,Conheça o Console Portátil ASUS ROG ALLY,"Jan 19, 2024",104,15,0.1549,0,506,1.58
xe3_Hqxle9M,"Oxente, mas claro que temos hahah 😳😂Esperamos você com aquele cafezinho mió de bão!","May 21, 2025",7,15,0.0147,0,60,0
NDQ9_N-EfPE,🔥 O novo Xiaomi 17 Pro Max — você está pronto pra conhecer? 🚀,"Oct 28, 2025",43,15,0.0689,0,120,3.33
S-Jm8VZ2j9w,11 de noviembre de 2025,"Nov 11, 2025",40,15,0.0605,0,74,2.7
ygXqM6YwZ9I,Nem todo celular é igual… e o Pixel 10 veio provar isso! 🚀,"Oct 6, 2025",49,14,0.0585,0,118,3.39
UAxe3HG_oRs,Ju Tessaro apresenta - Xiaomi 17 Pro Max,"Oct 30, 2025",73,14,0.1287,0,126,4.76
4LST2ZkXzLQ,"📱✨ Na Mega Eletrônicos, o custo x benefício é de outro nível! 💥","Nov 3, 2025",89,14,0.0569,0,100,0
mBl5q3Kwt-c,A maneira perfeita para ignorar a sogra 😂,"Apr 1, 2025",27,14,0.0236,0,184,1.09
wmcOi2KvrEE,3 dia da Crazy Week,"May 11, 2025",40,14,0.0483,0,136,4.41
UlSFOYRXhGk,🎄 O presente perfeito está na Mega! ✨,"Dec 11, 2025",73,13,0.0051,0,99,0
y1KghPsS5S8,🎉 Foi assim que vivemos este sábado na Mega Eletrônicos! 🛍️,"Jun 14, 2025",35,13,0.0141,0,142,0.7
VQeu6yB1CCE,"iPhone 6S, será q vale a pena ?","Feb 12, 2025",37,13,0.0819,0,62,1.61
8D0VhPcYZ0k,🎯 Verdade ou Mentira? Turista consegue comprar eletrônicos originais no Paraguai? 🤔📦,"Apr 29, 2025",52,13,0.0531,0,143,1.4
G35kknb409A,Tablet Xiaomi Pad 7 😍,"Apr 2, 2025",43,12,0.0284,0,110,0.91
N_IMM_Gk-nc,A CRAZY WEEK voltou 🤩🤩,"Apr 1, 2025",18,12,0.0171,0,104,1.92
hLR19UnRb6E,Novo estoque de iPhone 17 já chegou na mega eletrônicos 🤩,"Sep 23, 2025",28,11,0.0254,0,89,3.37
UK5STLCaMNY,Hoje viemos aqui com o coração apertado 💔,"Jun 4, 2025",47,11,0.0724,1,46,4.35
GosvqITPgFE,O Watch Xiaomi S4: A nova era dos relógios inteligentes ⌚️🤯,"Mar 10, 2025",34,10,0.0444,0,91,3.3
nizEth6viTs,"📱 Do primeiro iPhone até os modelos mais recentes, a evolução foi INCRÍVEL 🤯","Apr 16, 2025",29,10,0.0344,0,168,1.19
Xu1HbWg4zmg,O celular que todos estão comprando online! 😱,"Feb 21, 2025",26,10,0.0168,0,106,2.83
pVjEuaF5PK0,Día 01 - Hack Friday — 20/11,"Nov 21, 2025",49,10,0.0031,0,65,0
u8jE4NVpoK0,📱 Pt 1: Celulares mais procurados internacionalmente 🌍,"Jun 4, 2025",29,10,0.034,0,159,0.63
GLA07l-9rH0,F7 pro o celular que vai quebrar a concorrência,"Jun 3, 2025",25,10,0.0297,0,30,0
XGQx9q5_JYA,COTA NOVA NO PARAGUAY | MEGA ELETRÔNICOS,"Jan 10, 2020",356,9,0.153,0,218,3.67
CSkE3A5dhHs,30 de mayo de 2025,"May 30, 2025",14,9,0.0133,0,20,0
E80LwmYlhEQ,Começou a contagem regressiva,"Nov 15, 2025",47,9,0.0174,0,74,1.35
qDUCLHmXjQo,🔥 Novo lançamento na Mega Eletrônicos! 🔥,"Jun 17, 2025",39,8,0.0266,0,107,0
G6cRRzf3Ox8,Segundo día Crazy Week Mega Eletrônicos,"May 10, 2025",36,8,0.0115,0,101,0
nNVO9-tiCqU,🎥😂 Nós levamos as instruções ao pé da letra!,"Jun 27, 2025",40,8,0.0117,0,76,0
E7tTjdg09Wg,Quando teu chefe pergunta o porque você passa tanto tempo no banheiro😂,"Mar 22, 2025",12,8,0.0116,0,67,1.49
l0s9NSY0qd4,Xiaomi 15 ultra,"Jun 24, 2025",49,8,0.0402,0,36,2.78
4QMCTvMGTyY,Jbl Partybox,"Jun 25, 2025",37,8,0.0167,0,44,2.27
vxczzruocXs,UNBOXING E REVIEW POLAROID POP | MEGA ELETRÔNICOS,"Jul 31, 2019",747,8,0.5463,0,122,1.64
WcFuSF_yMEo,MEGA RESPONDE | MEGA ELETRÔNICOS,"Jul 26, 2019",507,7,0.27,0,214,2.34
Kip3Y0gWZEI,Mood dos hackers,"Nov 18, 2025",16,7,0.0053,0,66,0
 -BAcsjzgoMM,"O novo lançamento da Apple, o iPhone 17?","Sep 8, 2025",39,7,0.0209,0,55,0
C7trTHbyiAg,Infinix Hot 60i,"Nov 5, 2025",36,7,0.0071,0,60,0
TT5Hqowz6AE,📣 Ofertas todos os dias? Só na Mega Eletrônicos! 😍,"May 26, 2025",20,7,0.0112,0,156,0.64
eCKvZkjUsYQ,É assim que são os sábados na Mega Eletrônicos! 🥳,"May 24, 2025",39,7,0.0067,0,90,0
sJOa6KpTbSA,Winie - Xiaomi 17 Pro Max,"Oct 31, 2025",60,7,0.0286,0,56,3.57
Vu5B3LYMWwE,iPhone 17 Pro,"Sep 20, 2025",27,7,0.0197,0,61,3.28
HHVMO_GTyQI,🎉 SAVE THE DATE – Porque o trabalho em equipe também merece ser comemorado 🥳🎉,"May 23, 2025",8,7,0.0064,0,94,0
Ahoo6v9J4qc,Celulares por menos de R$1000,"Aug 31, 2025",32,6,0.0102,0,47,0
aXonY-SQ55w,⚡CHEGOU O MOMENTO MAIS ESPERADO ⚡,"Sep 26, 2025",27,6,0.013,0,119,0.84
blXlzzZH7G4,24 de septiembre de 2025,"Sep 24, 2025",20,6,0.0134,0,46,2.17
OZJemy6wM7w,Consumista vs Economista,"Mar 21, 2025",15,6,0.0089,0,109,1.83
llkKc6VX7Eo,🔥📱 Celulares por menos de 90 dólares! 😱,"Jun 26, 2025",19,6,0.0163,0,155,0
SzVar3kyRSM,🚗🔥 Procurando a melhor caixa de som pro seu carro?,"May 20, 2025",34,5,0.0196,1,37,0
_Y-47mBaHBo,🎧 Esse é o fone que tá fazendo MUITA gente esquecer os concorrentes famosos…,"Oct 14, 2025",35,5,0.0168,0,324,0.31
H9HZ2fiWUwA,Unboxing da PS5,"Mar 15, 2025",53,5,0.0142,0,81,2.47
Wlt1sNezrko,COMO ESTÁ SENDO O HACK FRIDAY 2019 | MEGA ELETRÔNICOS,"Nov 14, 2019",132,5,0.085,0,115,2.61
bUwlC9YT_xQ,"❄️🔥 Passar frio, mesmo dormindo sozinho, já não é uma opção com esses aquecedores! 🛏️","Jun 24, 2025",21,5,0.0203,0,63,3.17
5v1euaplQnI,O celular que todos estão comprando online! 😱 É mesmo tão bom assim?,"Feb 25, 2025",26,5,0.011,0,100,0
nn77A4Alv8o,Novo iPhone Air,"Sep 21, 2025",24,5,0.0133,0,48,0
IrFboyL6NII,Óleo de Limpeza Centella,"Aug 11, 2025",29,5,0.0184,0,60,0
SHEQg82rCQk,TESTAMOS A GOPRO HERO 6 NO MACUCO SAFARI | FÉRIAS EM FOZ,"Aug 8, 2019",1069,5,0.2139,0,109,0.92
Y6bohkz0Im0,Celular Xiaomi Poco X7 Pro #shorts,"Jan 17, 2025",47,5,0.0062,0,29,13.79
ZTR2YBcy_2U,🎉 Aproveite o Crazy Week para surpreender a sua mãe!,"May 5, 2025",35,4,0.0047,0,106,0.94
TrD55YP9OQE,💘 Hoje é dia de celebrar o amor verdadeiro!,"Jun 12, 2025",76,4,0.0215,0,30,3.33
hBn4D0hkfyM,Xiaomi Poco F6,"Jun 19, 2025",39,4,0.0142,0,34,2.94
LnnSAFJZO_c,"Essa é a tablet perfeita para estudar, trabalhar e se entreter onde estiver! 🤩📱","May 22, 2025",42,4,0.0104,0,30,3.33
bl1YXefTEsI,"🙃 Pelo visto, o estresse éramos nós","Apr 25, 2025",6,4,0.0029,0,27,0
wtJZKNJzByU,🏆 É tempo de Mundial!,"Jun 10, 2025",41,4,0.0021,0,85,0
eEJ7c5cmhpE,IMG 🔊 Potência que anima qualquer rolê!,"May 26, 2025",28,4,0.0012,0,55,0
-8nwo4L1VfY,Audisaturday 03-05-2025,"May 4, 2025",38,4,0.0033,0,101,0
p_MfRzD6DDM,Oque querem fazer com o marketing quando vai gravar 🤣 #brasil #viralvideos #trending,"Apr 16, 2025",18,4,0.0019,0,21,0
t3cJzX4UgU8,Cair de um avião x Sábado na Mega Eletrônicos,"Aug 16, 2025",41,4,0.0075,0,92,0
EZs7THTEwtw,O Smartphone com o Melhor Desempenho? 🤔,"Mar 20, 2025",38,4,0.0154,0,27,0
pNiTVv3tiP8,Fone de ouvido Redmi Buds 6 #shorts,"Jan 18, 2025",36,4,0.0191,0,37,2.7
mVP82s4MnaM,O Dia dos Namorados tá chegando e as orações tão ficando cada vez mais fortes 🙏💔,"Jun 11, 2025",21,4,0.0113,0,70,1.43
6U6rQ6Mb4rk,"Novos Apple Watch Series 11, Ultra 3 e SE 3","Sep 10, 2025",30,4,0.0033,0,65,0
MfvedOXF0Kk,🎥✨ Quer imagem nítida de verdade?,"May 27, 2025",27,4,0.0126,0,43,0
T8jTmcvqajc,🎮🔥 SEMANA GAMER na Mega Eletrônicos! 🔥🎮,"Aug 26, 2025",39,4,0.0014,0,107,0
JKJg2PBO6-U,"Um smartphone incrível por apenas R$ 369,00? Difícil de acreditar mas ele existe! 🤩🚀","Apr 9, 2025",34,4,0.0015,0,62,0
zSk0mB1Slsk,Era o meu sonho !!! 🥰🔥 #shorts,"Jan 21, 2025",10,4,0.0053,0,33,3.03
DfmU2o79tOQ,Celular Infinix Hot 50! #unboxing,"Jan 20, 2025",34,4,0.0179,0,16,0
