Data,Conteúdo,Título do vídeo,Horário de publicação do vídeo,Duração,Visualizações
2026-02-08,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,24
2026-02-09,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,30
2026-02-10,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,27
2026-02-11,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,14
2026-02-12,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,12
2026-02-13,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,12
2026-02-14,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,20
2026-02-15,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,24
2026-02-16,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,36
2026-02-17,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,25
2026-02-18,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,31
2026-02-19,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,46
2026-02-20,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,44
2026-02-21,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,37
2026-02-22,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,52
2026-02-23,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,23
2026-02-24,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,56
2026-02-25,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,32
2026-02-26,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,45
2026-02-27,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,25
2026-02-28,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,32
2026-03-01,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,28
2026-03-02,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,41
2026-03-03,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,38
2026-03-04,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,51
2026-03-05,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,43
2026-03-06,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,56
2026-03-07,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,61
2026-03-08,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,56
2026-03-09,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,29
2026-03-10,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,69
2026-03-11,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,63
2026-03-12,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,37
2026-03-13,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,33
2026-03-14,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,87
2026-03-15,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,43
2026-03-16,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,61
2026-03-17,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,37
2026-03-18,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,61
2026-03-19,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,44
2026-03-20,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,54
2026-03-21,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,63
2026-03-22,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,32
2026-03-23,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,54
2026-03-24,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,35
2026-03-25,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,49
2026-03-26,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,57
2026-03-27,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,30
2026-03-28,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,29
2026-03-29,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,28
2026-03-30,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,31
2026-03-31,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,32
2026-04-01,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,30
2026-04-02,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,43
2026-04-03,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,23
2026-04-04,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,26
2026-04-05,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,30
2026-04-06,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,37
2026-04-07,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,33
2026-04-08,8c1UKsqunzo,Lançamento Xiaomi Redmi A5,"Mar 28, 2025",36,42
2026-01-09,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-01-10,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-01-11,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-01-12,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-01-13,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-01-14,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-01-15,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-01-16,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-01-17,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-01-18,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-01-19,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-01-20,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-01-21,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-01-22,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-01-23,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-01-24,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-01-25,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-01-26,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-01-27,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-01-28,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-01-29,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-01-30,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-01-31,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-02-01,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-02-02,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-02-03,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-02-04,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-02-05,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-02-06,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-02-07,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-02-08,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-02-09,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-02-10,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-02-11,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-02-12,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-02-13,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-02-14,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-02-15,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-02-16,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-02-17,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-02-18,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,1290
2026-02-19,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,285
2026-02-20,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,1710
2026-02-21,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,211
2026-02-22,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,46
2026-02-23,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,88
2026-02-24,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,50
2026-02-25,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,33
2026-02-26,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,25
2026-02-27,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,5
2026-02-28,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,13
2026-03-01,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,2
2026-03-02,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,2
2026-03-03,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,3
2026-03-04,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-03-05,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-03-06,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-03-07,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,2
2026-03-08,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-03-09,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-03-10,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-03-11,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-03-12,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,5
2026-03-13,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-03-14,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-03-15,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-03-16,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-03-17,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-03-18,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-03-19,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-03-20,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-03-21,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-03-22,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,3
2026-03-23,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,1
2026-03-24,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,1
2026-03-25,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,1
2026-03-26,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-03-27,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-03-28,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-03-29,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-03-30,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-03-31,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-04-01,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-04-02,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-04-03,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-04-04,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,3
2026-04-05,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,2
2026-04-06,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-04-07,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-04-08,UVMoR77uaRM,O final KKKKKK 😭😂 Se vai errar… que pelo menos esteja cheirando bem 😌✨,"Feb 18, 2026",17,0
2026-01-09,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,0
2026-01-10,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,0
2026-01-11,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,0
2026-01-12,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,0
2026-01-13,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,0
2026-01-14,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,0
2026-01-15,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,0
2026-01-16,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,0
2026-01-17,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,1592
2026-01-18,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,62
2026-01-19,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,87
2026-01-20,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,950
2026-01-21,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,2638
2026-01-22,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,43
2026-01-23,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,4
2026-01-24,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,2
2026-01-25,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,0
2026-01-26,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,0
2026-01-27,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,0
2026-01-28,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,0
2026-01-29,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,6
2026-01-30,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,2
2026-01-31,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,4
2026-02-01,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,0
2026-02-02,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,2
2026-02-03,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,0
2026-02-04,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,1
2026-02-05,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,1
2026-02-06,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,1
2026-02-07,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,2
2026-02-08,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,1
2026-02-09,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,0
2026-02-10,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,2
2026-02-11,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,0
2026-02-12,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,2
2026-02-13,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,0
2026-02-14,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,0
2026-02-15,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,0
2026-02-16,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,1
2026-02-17,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,3
2026-02-18,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,0
2026-02-19,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,0
2026-02-20,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,0
2026-02-21,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,0
2026-02-22,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,1
2026-02-23,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,2
2026-02-24,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,0
2026-02-25,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,0
2026-02-26,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,0
2026-02-27,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,2
2026-02-28,ZlkeW7whfWg,Eu com meu iPhone 17 💅,"Jan 17, 2026",12,0
