Data,Sistema operacional,Visualizações
2025-09-30,Desconhecido,0
2025-10-01,Desconhecido,0
2025-10-02,Desconhecido,0
2025-10-03,Desconhecido,0
2025-10-04,Desconhecido,0
2025-10-05,Desconhecido,0
2025-10-06,Desconhecido,0
2025-10-07,Desconhecido,0
2025-10-08,Desconhecido,0
2025-10-09,Desconhecido,0
2025-10-10,Desconhecido,0
2025-10-11,Desconhecido,0
2025-10-12,Desconhecido,0
2025-10-13,Desconhecido,0
2025-10-14,Desconhecido,0
2025-10-15,Desconhecido,0
2025-10-16,Desconhecido,0
2025-10-17,Desconhecido,0
2025-10-18,Desconhecido,0
2025-10-19,Desconhecido,0
2025-10-20,Desconhecido,0
2025-10-21,Desconhecido,0
2025-10-22,Desconhecido,0
2025-10-23,Desconhecido,0
2025-10-24,Desconhecido,0
2025-10-25,Desconhecido,0
2025-10-26,Desconhecido,0
2025-10-27,Desconhecido,0
2025-10-28,Desconhecido,0
2025-10-29,Desconhecido,0
2025-10-30,Desconhecido,0
2025-10-31,Desconhecido,0
2025-11-01,Desconhecido,0
2025-11-02,Desconhecido,0
2025-11-03,Desconhecido,0
2025-11-04,Desconhecido,0
2025-11-05,Desconhecido,0
2025-11-06,Desconhecido,0
2025-11-07,Desconhecido,0
2025-11-08,Desconhecido,0
2025-11-09,Desconhecido,0
2025-11-10,Desconhecido,0
2025-11-11,Desconhecido,0
2025-11-12,Desconhecido,0
2025-11-13,Desconhecido,0
2025-11-14,Desconhecido,0
2025-11-15,Desconhecido,0
2025-11-16,Desconhecido,0
2025-11-17,Desconhecido,0
2025-11-18,Desconhecido,0
2025-11-19,Desconhecido,0
2025-11-20,Desconhecido,0
2025-11-21,Desconhecido,0
2025-11-22,Desconhecido,0
2025-11-23,Desconhecido,0
2025-11-24,Desconhecido,0
2025-11-25,Desconhecido,0
2025-11-26,Desconhecido,0
2025-11-27,Desconhecido,0
2025-11-28,Desconhecido,0
2025-11-29,Desconhecido,0
2025-11-30,Desconhecido,0
2025-12-01,Desconhecido,0
2025-12-02,Desconhecido,0
2025-12-03,Desconhecido,0
2025-12-04,Desconhecido,0
2025-12-05,Desconhecido,0
2025-12-06,Desconhecido,0
2025-12-07,Desconhecido,0
2025-12-08,Desconhecido,0
2025-12-09,Desconhecido,0
2025-12-10,Desconhecido,0
2025-12-11,Desconhecido,0
2025-12-12,Desconhecido,0
2025-12-13,Desconhecido,0
2025-12-14,Desconhecido,0
2025-12-15,Desconhecido,0
2025-12-16,Desconhecido,0
2025-12-17,Desconhecido,0
2025-12-18,Desconhecido,0
2025-12-19,Desconhecido,0
2025-12-20,Desconhecido,0
2025-12-21,Desconhecido,0
2025-12-22,Desconhecido,0
2025-12-23,Desconhecido,0
2025-12-24,Desconhecido,0
2025-12-25,Desconhecido,0
2025-12-26,Desconhecido,0
2025-12-27,Desconhecido,0
2025-12-28,Desconhecido,0
2025-12-29,Desconhecido,0
2025-12-30,Desconhecido,0
2025-12-31,Desconhecido,0
2026-01-01,Desconhecido,0
2026-01-02,Desconhecido,0
2026-01-03,Desconhecido,0
2026-01-04,Desconhecido,0
2026-01-05,Desconhecido,0
2026-01-06,Desconhecido,0
2026-01-07,Desconhecido,0
2026-01-08,Desconhecido,0
2026-01-09,Desconhecido,0
2026-01-10,Desconhecido,0
2026-01-11,Desconhecido,0
2026-01-12,Desconhecido,0
2026-01-13,Desconhecido,0
2026-01-14,Desconhecido,0
2026-01-15,Desconhecido,0
2026-01-16,Desconhecido,0
2026-01-17,Desconhecido,0
2026-01-18,Desconhecido,0
2026-01-19,Desconhecido,0
2026-01-20,Desconhecido,0
2026-01-21,Desconhecido,0
2026-01-22,Desconhecido,0
2026-01-23,Desconhecido,0
2026-01-24,Desconhecido,0
2026-01-25,Desconhecido,0
2026-01-26,Desconhecido,0
2026-01-27,Desconhecido,0
2026-01-28,Desconhecido,0
2026-01-29,Desconhecido,0
2026-01-30,Desconhecido,0
2026-01-31,Desconhecido,0
2026-02-01,Desconhecido,0
2026-02-02,Desconhecido,0
2026-02-03,Desconhecido,0
2026-02-04,Desconhecido,0
2026-02-05,Desconhecido,0
2026-02-06,Desconhecido,0
2026-02-07,Desconhecido,0
2026-02-08,Desconhecido,0
2026-02-09,Desconhecido,0
2026-02-10,Desconhecido,0
2026-02-11,Desconhecido,0
2026-02-12,Desconhecido,0
2026-02-13,Desconhecido,0
2026-02-14,Desconhecido,0
2026-02-15,Desconhecido,0
2026-02-16,Desconhecido,0
2026-02-17,Desconhecido,0
2026-02-18,Desconhecido,0
2026-02-19,Desconhecido,0
2026-02-20,Desconhecido,0
2026-02-21,Desconhecido,0
2026-02-22,Desconhecido,0
2026-02-23,Desconhecido,0
2026-02-24,Desconhecido,0
2026-02-25,Desconhecido,0
2026-02-26,Desconhecido,0
2026-02-27,Desconhecido,0
2026-02-28,Desconhecido,0
2026-03-01,Desconhecido,0
2026-03-02,Desconhecido,0
2026-03-03,Desconhecido,0
2026-03-04,Desconhecido,0
2026-03-05,Desconhecido,0
2026-03-06,Desconhecido,0
2026-03-07,Desconhecido,0
2026-03-08,Desconhecido,0
2026-03-09,Desconhecido,0
2026-03-10,Desconhecido,0
2026-03-11,Desconhecido,0
2026-03-12,Desconhecido,0
2026-03-13,Desconhecido,0
2026-03-14,Desconhecido,0
2026-03-15,Desconhecido,0
2026-03-16,Desconhecido,0
2026-03-17,Desconhecido,0
2026-03-18,Desconhecido,0
2026-03-19,Desconhecido,0
2026-03-20,Desconhecido,0
2026-03-21,Desconhecido,0
2026-03-22,Desconhecido,0
2026-03-23,Desconhecido,0
2026-03-24,Desconhecido,0
2026-03-25,Desconhecido,0
2026-03-26,Desconhecido,0
2026-03-27,Desconhecido,0
2026-03-28,Desconhecido,0
2026-03-29,Desconhecido,0
2026-03-30,Desconhecido,0
2026-03-31,Desconhecido,0
2026-04-01,Desconhecido,0
2026-04-02,Desconhecido,0
2026-04-03,Desconhecido,0
2026-04-04,Desconhecido,0
2026-04-05,Desconhecido,0
2026-04-06,Desconhecido,0
2026-04-07,Desconhecido,0
2026-04-08,Desconhecido,0
2026-04-09,Desconhecido,0
2026-04-10,Desconhecido,0
2026-04-11,Desconhecido,0
2026-04-12,Desconhecido,0
2025-04-13,Windows,107
2025-04-14,Windows,20
2025-04-15,Windows,37
2025-04-16,Windows,113
2025-04-17,Windows,12
2025-04-18,Windows,32
2025-04-19,Windows,55
2025-04-20,Windows,10
2025-04-21,Windows,19
2025-04-22,Windows,10
2025-04-23,Windows,72
2025-04-24,Windows,95
2025-04-25,Windows,76
2025-04-26,Windows,6
2025-04-27,Windows,32
2025-04-28,Windows,26
2025-04-29,Windows,8
2025-04-30,Windows,12
2025-05-01,Windows,29
2025-05-02,Windows,9
2025-05-03,Windows,11
2025-05-04,Windows,36
2025-05-05,Windows,14
2025-05-06,Windows,11
2025-05-07,Windows,12
2025-05-08,Windows,43
2025-05-09,Windows,13
2025-05-10,Windows,9
2025-05-11,Windows,8
2025-05-12,Windows,14
2025-05-13,Windows,6
2025-05-14,Windows,39
2025-05-15,Windows,42
2025-05-16,Windows,105
2025-05-17,Windows,4
2025-05-18,Windows,7
2025-05-19,Windows,5
2025-05-20,Windows,19
2025-05-21,Windows,18
2025-05-22,Windows,32
2025-05-23,Windows,57
2025-05-24,Windows,75
2025-05-25,Windows,7
2025-05-26,Windows,9
2025-05-27,Windows,78
2025-05-28,Windows,23
2025-05-29,Windows,16
2025-05-30,Windows,34
2025-05-31,Windows,11
2025-06-01,Windows,4
2025-06-02,Windows,14
2025-06-03,Windows,37
2025-06-04,Windows,26
2025-06-05,Windows,37
2025-06-06,Windows,27
2025-06-07,Windows,52
2025-06-08,Windows,5
2025-06-09,Windows,39
2025-06-10,Windows,481
2025-06-11,Windows,108
2025-06-12,Windows,30
2025-06-13,Windows,51
2025-06-14,Windows,68
2025-06-15,Windows,28
2025-06-16,Windows,14
2025-06-17,Windows,29
2025-06-18,Windows,8
2025-06-19,Windows,19
2025-06-20,Windows,21
2025-06-21,Windows,9
2025-06-22,Windows,4
2025-06-23,Windows,16
2025-06-24,Windows,25
2025-06-25,Windows,17
2025-06-26,Windows,17
2025-06-27,Windows,73
2025-06-28,Windows,14
2025-06-29,Windows,6
2025-06-30,Windows,26
2025-07-01,Windows,41
2025-07-02,Windows,10
2025-07-03,Windows,4
2025-07-04,Windows,10
2025-07-05,Windows,7
2025-07-06,Windows,3
2025-07-07,Windows,13
2025-07-08,Windows,33
2025-07-09,Windows,7
2025-07-10,Windows,10
2025-07-11,Windows,10
2025-07-12,Windows,6
2025-07-13,Windows,7
2025-07-14,Windows,26
2025-07-15,Windows,13
2025-07-16,Windows,23
2025-07-17,Windows,132
2025-07-18,Windows,18
2025-07-19,Windows,22
2025-07-20,Windows,7
2025-07-21,Windows,18
2025-07-22,Windows,15
2025-07-23,Windows,25
2025-07-24,Windows,8
2025-07-25,Windows,5
2025-07-26,Windows,10
2025-07-27,Windows,9
2025-07-28,Windows,11
2025-07-29,Windows,14
2025-07-30,Windows,37
2025-07-31,Windows,14
2025-08-01,Windows,9
2025-08-02,Windows,31
2025-08-03,Windows,17
2025-08-04,Windows,11
2025-08-05,Windows,12
2025-08-06,Windows,16
2025-08-07,Windows,31
2025-08-08,Windows,19
2025-08-09,Windows,19
2025-08-10,Windows,4
2025-08-11,Windows,17
2025-08-12,Windows,9
2025-08-13,Windows,79
2025-08-14,Windows,5
2025-08-15,Windows,8
2025-08-16,Windows,6
2025-08-17,Windows,7
2025-08-18,Windows,14
2025-08-19,Windows,18
2025-08-20,Windows,8
2025-08-21,Windows,39
2025-08-22,Windows,12
2025-08-23,Windows,11
2025-08-24,Windows,7
2025-08-25,Windows,23
2025-08-26,Windows,58
2025-08-27,Windows,29
2025-08-28,Windows,18
2025-08-29,Windows,21
2025-08-30,Windows,7
2025-08-31,Windows,29
2025-09-01,Windows,41
2025-09-02,Windows,15
2025-09-03,Windows,24
2025-09-04,Windows,95
2025-09-05,Windows,91
2025-09-06,Windows,37
2025-09-07,Windows,29
2025-09-08,Windows,22
2025-09-09,Windows,152
2025-09-10,Windows,89
2025-09-11,Windows,49
2025-09-12,Windows,22
2025-09-13,Windows,29
2025-09-14,Windows,24
2025-09-15,Windows,43
2025-09-16,Windows,20
2025-09-17,Windows,10
2025-09-18,Windows,9
2025-09-19,Windows,26
2025-09-20,Windows,48
2025-09-21,Windows,42
2025-09-22,Windows,23
2025-09-23,Windows,38
2025-09-24,Windows,31
2025-09-25,Windows,31
2025-09-26,Windows,31
2025-09-27,Windows,44
2025-09-28,Windows,32
2025-09-29,Windows,9
2025-09-30,Windows,29
2025-10-01,Windows,43
2025-10-02,Windows,18
2025-10-03,Windows,11
2025-10-04,Windows,5
2025-10-05,Windows,24
2025-10-06,Windows,34
2025-10-07,Windows,37
2025-10-08,Windows,34
2025-10-09,Windows,57
2025-10-10,Windows,92
2025-10-11,Windows,24
2025-10-12,Windows,18
2025-10-13,Windows,51
2025-10-14,Windows,20
2025-10-15,Windows,27
2025-10-16,Windows,20
2025-10-17,Windows,21
2025-10-18,Windows,12
2025-10-19,Windows,11
2025-10-20,Windows,17
2025-10-21,Windows,33
2025-10-22,Windows,22
2025-10-23,Windows,53
2025-10-24,Windows,18
2025-10-25,Windows,16
2025-10-26,Windows,16
2025-10-27,Windows,22
2025-10-28,Windows,27
2025-10-29,Windows,56
2025-10-30,Windows,51
2025-10-31,Windows,51
2025-11-01,Windows,38
2025-11-02,Windows,22
2025-11-03,Windows,40
2025-11-04,Windows,40
2025-11-05,Windows,42
2025-11-06,Windows,23
2025-11-07,Windows,13
2025-11-08,Windows,9
2025-11-09,Windows,8
2025-11-10,Windows,19
2025-11-11,Windows,36
2025-11-12,Windows,16
2025-11-13,Windows,33
2025-11-14,Windows,34
2025-11-15,Windows,29
2025-11-16,Windows,9
2025-11-17,Windows,14
2025-11-18,Windows,55
2025-11-19,Windows,39
2025-11-20,Windows,20
2025-11-21,Windows,21
2025-11-22,Windows,19
2025-11-23,Windows,17
2025-11-24,Windows,24
2025-11-25,Windows,37
2025-11-26,Windows,27
2025-11-27,Windows,29
2025-11-28,Windows,28
2025-11-29,Windows,31
2025-11-30,Windows,19
2025-12-01,Windows,34
2025-12-02,Windows,48
2025-12-03,Windows,53
2025-12-04,Windows,27
2025-12-05,Windows,39
2025-12-06,Windows,31
2025-12-07,Windows,26
2025-12-08,Windows,28
2025-12-09,Windows,61
2025-12-10,Windows,45
2025-12-11,Windows,71
2025-12-12,Windows,71
2025-12-13,Windows,41
2025-12-14,Windows,54
2025-12-15,Windows,96
2025-12-16,Windows,74
2025-12-17,Windows,75
2025-12-18,Windows,24
2025-12-19,Windows,58
2025-12-20,Windows,46
2025-12-21,Windows,37
2025-12-22,Windows,32
2025-12-23,Windows,34
2025-12-24,Windows,29
2025-12-25,Windows,10
2025-12-26,Windows,48
2025-12-27,Windows,49
2025-12-28,Windows,59
2025-12-29,Windows,37
2025-12-30,Windows,42
2025-12-31,Windows,12
2026-01-01,Windows,23
2026-01-02,Windows,31
2026-01-03,Windows,60
2026-01-04,Windows,38
2026-01-05,Windows,38
2026-01-06,Windows,49
2026-01-07,Windows,35
2026-01-08,Windows,47
2026-01-09,Windows,21
2026-01-10,Windows,36
2026-01-11,Windows,16
2026-01-12,Windows,35
2026-01-13,Windows,37
2026-01-14,Windows,45
2026-01-15,Windows,48
2026-01-16,Windows,28
2026-01-17,Windows,79
2026-01-18,Windows,11
2026-01-19,Windows,30
2026-01-20,Windows,28
2026-01-21,Windows,43
2026-01-22,Windows,29
2026-01-23,Windows,41
2026-01-24,Windows,28
2026-01-25,Windows,11
2026-01-26,Windows,40
2026-01-27,Windows,46
2026-01-28,Windows,39
2026-01-29,Windows,30
2026-01-30,Windows,72
2026-01-31,Windows,60
2026-02-01,Windows,37
2026-02-02,Windows,40
2026-02-03,Windows,37
2026-02-04,Windows,32
2026-02-05,Windows,39
2026-02-06,Windows,52
2026-02-07,Windows,19
2026-02-08,Windows,12
2026-02-09,Windows,42
2026-02-10,Windows,39
2026-02-11,Windows,29
2026-02-12,Windows,59
2026-02-13,Windows,30
2026-02-14,Windows,25
2026-02-15,Windows,42
2026-02-16,Windows,59
2026-02-17,Windows,79
2026-02-18,Windows,102
2026-02-19,Windows,44
2026-02-20,Windows,93
2026-02-21,Windows,5884
2026-02-22,Windows,5193
2026-02-23,Windows,8167
2026-02-24,Windows,4926
2026-02-25,Windows,5724
2026-02-26,Windows,2856
2026-02-27,Windows,1444
2026-02-28,Windows,1214
2026-03-01,Windows,607
2026-03-02,Windows,271
2026-03-03,Windows,355
2026-03-04,Windows,305
2026-03-05,Windows,344
2026-03-06,Windows,171
2026-03-07,Windows,285
2026-03-08,Windows,286
2026-03-09,Windows,254
2026-03-10,Windows,133
2026-03-11,Windows,1324
2026-03-12,Windows,2685
2026-03-13,Windows,1220
2026-03-14,Windows,2182
2026-03-15,Windows,3495
2026-03-16,Windows,3389
2026-03-17,Windows,1719
2026-03-18,Windows,849
2026-03-19,Windows,317
2026-03-20,Windows,264
2026-03-21,Windows,778
2026-03-22,Windows,248
2026-03-23,Windows,429
2026-03-24,Windows,786
2026-03-25,Windows,849
2026-03-26,Windows,1465
2026-03-27,Windows,539
2026-03-28,Windows,869
2026-03-29,Windows,732
2026-03-30,Windows,628
2026-03-31,Windows,857
2026-04-01,Windows,1029
2026-04-02,Windows,936
2026-04-03,Windows,372
2026-04-04,Windows,249
2026-04-05,Windows,540
2026-04-06,Windows,295
2026-04-07,Windows,237
2026-04-08,Windows,203
2026-04-09,Windows,194
2026-04-10,Windows,400
2026-04-11,Windows,493
2026-04-12,Windows,212
2025-04-13,Windows Mobile,0
2025-04-14,Windows Mobile,0
2025-04-15,Windows Mobile,0
2025-04-16,Windows Mobile,0
2025-04-17,Windows Mobile,0
2025-04-18,Windows Mobile,0
2025-04-19,Windows Mobile,0
2025-04-20,Windows Mobile,0
2025-04-21,Windows Mobile,0
2025-04-22,Windows Mobile,0
2025-04-23,Windows Mobile,0
2025-04-24,Windows Mobile,0
2025-04-25,Windows Mobile,0
2025-04-26,Windows Mobile,0
2025-04-27,Windows Mobile,0
2025-04-28,Windows Mobile,0
2025-04-29,Windows Mobile,0
2025-04-30,Windows Mobile,0
2025-05-01,Windows Mobile,0
2025-05-02,Windows Mobile,0
2025-05-03,Windows Mobile,0
2025-05-04,Windows Mobile,0
2025-05-05,Windows Mobile,0
2025-05-06,Windows Mobile,0
2025-05-07,Windows Mobile,0
2025-05-08,Windows Mobile,0
2025-05-09,Windows Mobile,0
2025-05-10,Windows Mobile,0
2025-05-11,Windows Mobile,0
2025-05-12,Windows Mobile,0
2025-05-13,Windows Mobile,0
2025-05-14,Windows Mobile,0
2025-05-15,Windows Mobile,0
2025-05-16,Windows Mobile,0
2025-05-17,Windows Mobile,0
2025-05-18,Windows Mobile,0
2025-05-19,Windows Mobile,0
2025-05-20,Windows Mobile,0
2025-05-21,Windows Mobile,0
2025-05-22,Windows Mobile,0
2025-05-23,Windows Mobile,0
2025-05-24,Windows Mobile,0
2025-05-25,Windows Mobile,0
2025-05-26,Windows Mobile,0
2025-05-27,Windows Mobile,0
2025-05-28,Windows Mobile,0
2025-05-29,Windows Mobile,0
2025-05-30,Windows Mobile,0
2025-05-31,Windows Mobile,0
2025-06-01,Windows Mobile,0
2025-06-02,Windows Mobile,0
2025-06-03,Windows Mobile,0
2025-06-04,Windows Mobile,0
2025-06-05,Windows Mobile,0
2025-06-06,Windows Mobile,0
2025-06-07,Windows Mobile,0
2025-06-08,Windows Mobile,0
2025-06-09,Windows Mobile,0
2025-06-10,Windows Mobile,0
2025-06-11,Windows Mobile,0
2025-06-12,Windows Mobile,0
2025-06-13,Windows Mobile,0
2025-06-14,Windows Mobile,0
2025-06-15,Windows Mobile,0
2025-06-16,Windows Mobile,0
2025-06-17,Windows Mobile,0
2025-06-18,Windows Mobile,0
2025-06-19,Windows Mobile,0
2025-06-20,Windows Mobile,0
2025-06-21,Windows Mobile,0
2025-06-22,Windows Mobile,0
2025-06-23,Windows Mobile,0
2025-06-24,Windows Mobile,0
2025-06-25,Windows Mobile,0
2025-06-26,Windows Mobile,0
2025-06-27,Windows Mobile,0
2025-06-28,Windows Mobile,0
2025-06-29,Windows Mobile,0
2025-06-30,Windows Mobile,0
2025-07-01,Windows Mobile,0
2025-07-02,Windows Mobile,0
2025-07-03,Windows Mobile,0
2025-07-04,Windows Mobile,0
2025-07-05,Windows Mobile,0
2025-07-06,Windows Mobile,0
2025-07-07,Windows Mobile,0
2025-07-08,Windows Mobile,0
2025-07-09,Windows Mobile,0
2025-07-10,Windows Mobile,0
2025-07-11,Windows Mobile,0
2025-07-12,Windows Mobile,0
2025-07-13,Windows Mobile,0
2025-07-14,Windows Mobile,0
2025-07-15,Windows Mobile,0
2025-07-16,Windows Mobile,0
2025-07-17,Windows Mobile,0
2025-07-18,Windows Mobile,0
2025-07-19,Windows Mobile,0
2025-07-20,Windows Mobile,0
2025-07-21,Windows Mobile,0
2025-07-22,Windows Mobile,0
2025-07-23,Windows Mobile,0
2025-07-24,Windows Mobile,0
2025-07-25,Windows Mobile,0
2025-07-26,Windows Mobile,0
2025-07-27,Windows Mobile,0
2025-07-28,Windows Mobile,0
2025-07-29,Windows Mobile,0
2025-07-30,Windows Mobile,0
2025-07-31,Windows Mobile,0
2025-08-01,Windows Mobile,0
2025-08-02,Windows Mobile,0
2025-08-03,Windows Mobile,0
2025-08-04,Windows Mobile,0
2025-08-05,Windows Mobile,0
2025-08-06,Windows Mobile,0
2025-08-07,Windows Mobile,0
2025-08-08,Windows Mobile,0
2025-08-09,Windows Mobile,0
2025-08-10,Windows Mobile,0
2025-08-11,Windows Mobile,0
2025-08-12,Windows Mobile,0
2025-08-13,Windows Mobile,0
2025-08-14,Windows Mobile,0
2025-08-15,Windows Mobile,0
2025-08-16,Windows Mobile,0
2025-08-17,Windows Mobile,0
2025-08-18,Windows Mobile,0
2025-08-19,Windows Mobile,0
2025-08-20,Windows Mobile,0
2025-08-21,Windows Mobile,0
2025-08-22,Windows Mobile,0
2025-08-23,Windows Mobile,0
2025-08-24,Windows Mobile,0
2025-08-25,Windows Mobile,0
2025-08-26,Windows Mobile,0
2025-08-27,Windows Mobile,0
2025-08-28,Windows Mobile,0
2025-08-29,Windows Mobile,0
2025-08-30,Windows Mobile,0
2025-08-31,Windows Mobile,0
2025-09-01,Windows Mobile,0
2025-09-02,Windows Mobile,0
2025-09-03,Windows Mobile,0
2025-09-04,Windows Mobile,0
2025-09-05,Windows Mobile,1
2025-09-06,Windows Mobile,0
2025-09-07,Windows Mobile,0
2025-09-08,Windows Mobile,0
2025-09-09,Windows Mobile,0
2025-09-10,Windows Mobile,0
2025-09-11,Windows Mobile,0
2025-09-12,Windows Mobile,0
2025-09-13,Windows Mobile,0
2025-09-14,Windows Mobile,0
2025-09-15,Windows Mobile,0
2025-09-16,Windows Mobile,0
2025-09-17,Windows Mobile,0
2025-09-18,Windows Mobile,0
2025-09-19,Windows Mobile,0
2025-09-20,Windows Mobile,0
2025-09-21,Windows Mobile,0
2025-09-22,Windows Mobile,0
2025-09-23,Windows Mobile,0
2025-09-24,Windows Mobile,0
2025-09-25,Windows Mobile,0
2025-09-26,Windows Mobile,0
2025-09-27,Windows Mobile,0
2025-09-28,Windows Mobile,0
2025-09-29,Windows Mobile,0
2025-09-30,Windows Mobile,0
2025-10-01,Windows Mobile,0
2025-10-02,Windows Mobile,0
2025-10-03,Windows Mobile,0
2025-10-04,Windows Mobile,0
2025-10-05,Windows Mobile,0
2025-10-06,Windows Mobile,0
2025-10-07,Windows Mobile,0
2025-10-08,Windows Mobile,0
2025-10-09,Windows Mobile,0
2025-10-10,Windows Mobile,0
2025-10-11,Windows Mobile,0
2025-10-12,Windows Mobile,0
2025-10-13,Windows Mobile,0
2025-10-14,Windows Mobile,0
2025-10-15,Windows Mobile,0
2025-10-16,Windows Mobile,0
2025-10-17,Windows Mobile,0
2025-10-18,Windows Mobile,0
2025-10-19,Windows Mobile,0
2025-10-20,Windows Mobile,0
2025-10-21,Windows Mobile,0
2025-10-22,Windows Mobile,0
2025-10-23,Windows Mobile,0
2025-10-24,Windows Mobile,0
2025-10-25,Windows Mobile,0
2025-10-26,Windows Mobile,0
