Data,Visualizações
2026-03-17,1826
2026-03-18,1801
2026-03-19,1153
2026-03-20,482
2026-03-21,1966
2026-03-22,1317
2026-03-23,902
2026-03-24,1156
2026-03-25,2181
2026-03-26,1452
2026-03-27,1715
2026-03-28,389
2026-03-29,303
2026-03-30,276
2026-03-31,256
2026-04-01,2623
2026-04-02,293
2026-04-03,350
2026-04-04,479
2026-04-05,375
2026-04-06,225
2026-04-07,213
2026-04-08,256
2026-04-09,458
2026-04-10,522
2026-04-11,319
2026-04-12,322
