Data,Tipo de conteúdo,Visualizações
2025-07-14,Shorts,137
2025-07-15,Shorts,174
2025-07-16,Shorts,142
2025-07-17,Shorts,170
2025-07-18,Shorts,126
2025-07-19,Shorts,148
2025-07-20,Shorts,135
2025-07-21,Shorts,283
2025-07-22,Shorts,131
2025-07-23,Shorts,703
2025-07-24,Shorts,139
2025-07-25,Shorts,94
2025-07-26,Shorts,80
2025-07-27,Shorts,135
2025-07-28,Shorts,124
2025-07-29,Shorts,191
2025-07-30,Shorts,103
2025-07-31,Shorts,126
2025-08-01,Shorts,1201
2025-08-02,Shorts,116
2025-08-03,Shorts,134
2025-08-04,Shorts,456
2025-08-05,Shorts,102
2025-08-06,Shorts,97
2025-08-07,Shorts,500
2025-08-08,Shorts,135
2025-08-09,Shorts,548
2025-08-10,Shorts,140
2025-08-11,Shorts,190
2025-08-12,Shorts,354
2025-08-13,Shorts,162
2025-08-14,Shorts,180
2025-08-15,Shorts,130
2025-08-16,Shorts,1458
2025-08-17,Shorts,177
2025-08-18,Shorts,227
2025-08-19,Shorts,161
2025-08-20,Shorts,474
2025-08-21,Shorts,916
2025-08-22,Shorts,554
2025-08-23,Shorts,1841
2025-08-24,Shorts,251
2025-08-25,Shorts,128
2025-08-26,Shorts,155
2025-08-27,Shorts,173
2025-08-28,Shorts,449
2025-08-29,Shorts,114
2025-08-30,Shorts,140
2025-08-31,Shorts,1986
2025-09-01,Shorts,100
2025-09-02,Shorts,1580
2025-09-03,Shorts,124
2025-09-04,Shorts,129
2025-09-05,Shorts,382
2025-09-06,Shorts,119
2025-09-07,Shorts,152
2025-09-08,Shorts,2038
2025-09-09,Shorts,915
2025-09-10,Shorts,192
2025-09-11,Shorts,155
2025-09-12,Shorts,1495
2025-09-13,Shorts,131
2025-09-14,Shorts,113
2025-09-15,Shorts,178
2025-09-16,Shorts,303
2025-09-17,Shorts,506
2025-09-18,Shorts,1922
2025-09-19,Shorts,178
2025-09-20,Shorts,478
2025-09-21,Shorts,2286
2025-09-22,Shorts,502
2025-09-23,Shorts,326
2025-09-24,Shorts,229
2025-09-25,Shorts,1264
2025-09-26,Shorts,240
2025-09-27,Shorts,439
2025-09-28,Shorts,232
2025-09-29,Shorts,154
2025-09-30,Shorts,1101
2025-10-01,Shorts,145
2025-10-02,Shorts,169
2025-10-03,Shorts,141
2025-10-04,Shorts,147
2025-10-05,Shorts,164
2025-10-06,Shorts,396
2025-10-07,Shorts,662
2025-10-08,Shorts,642
2025-10-09,Shorts,692
2025-10-10,Shorts,1344
2025-10-11,Shorts,395
2025-10-12,Shorts,214
2025-10-13,Shorts,235
2025-10-14,Shorts,1691
2025-10-15,Shorts,266
2025-10-16,Shorts,1065
2025-10-17,Shorts,166
2025-10-18,Shorts,172
2025-10-19,Shorts,151
2025-10-20,Shorts,172
2025-10-21,Shorts,166
2025-10-22,Shorts,149
2025-10-23,Shorts,113
2025-10-24,Shorts,112
2025-10-25,Shorts,133
2025-10-26,Shorts,157
2025-10-27,Shorts,196
2025-10-28,Shorts,210
2025-10-29,Shorts,160
2025-10-30,Shorts,939
2025-10-31,Shorts,1751
2025-11-01,Shorts,290
2025-11-02,Shorts,164
2025-11-03,Shorts,726
2025-11-04,Shorts,656
2025-11-05,Shorts,391
2025-11-06,Shorts,381
2025-11-07,Shorts,142
2025-11-08,Shorts,1470
2025-11-09,Shorts,290
2025-11-10,Shorts,184
2025-11-11,Shorts,218
2025-11-12,Shorts,441
2025-11-13,Shorts,333
2025-11-14,Shorts,257
2025-11-15,Shorts,1863
2025-11-16,Shorts,203
2025-11-17,Shorts,368
2025-11-18,Shorts,1533
2025-11-19,Shorts,1984
2025-11-20,Shorts,595
2025-11-21,Shorts,200
2025-11-22,Shorts,189
2025-11-23,Shorts,187
2025-11-24,Shorts,466
2025-11-25,Shorts,181
2025-11-26,Shorts,184
2025-11-27,Shorts,175
2025-11-28,Shorts,170
2025-11-29,Shorts,146
2025-11-30,Shorts,167
2025-12-01,Shorts,194
2025-12-02,Shorts,585
2025-12-03,Shorts,178
2025-12-04,Shorts,172
2025-12-05,Shorts,221
2025-12-06,Shorts,154
2025-12-07,Shorts,175
2025-12-08,Shorts,283
2025-12-09,Shorts,1456
2025-12-10,Shorts,367
2025-12-11,Shorts,1441
2025-12-12,Shorts,1523
2025-12-13,Shorts,419
2025-12-14,Shorts,988
2025-12-15,Shorts,1781
2025-12-16,Shorts,407
2025-12-17,Shorts,225
2025-12-18,Shorts,231
2025-12-19,Shorts,217
2025-12-20,Shorts,157
2025-12-21,Shorts,211
2025-12-22,Shorts,177
2025-12-23,Shorts,165
2025-12-24,Shorts,164
2025-12-25,Shorts,194
2025-12-26,Shorts,234
2025-12-27,Shorts,2400
2025-12-28,Shorts,153
2025-12-29,Shorts,185
2025-12-30,Shorts,203
2025-12-31,Shorts,362
2026-01-01,Shorts,172
2026-01-02,Shorts,7751
2026-01-03,Shorts,4681
2026-01-04,Shorts,5517
2026-01-05,Shorts,3552
2026-01-06,Shorts,5910
2026-01-07,Shorts,333
2026-01-08,Shorts,577
2026-01-09,Shorts,321
2026-01-10,Shorts,707
2026-01-11,Shorts,198
2026-01-12,Shorts,223
2026-01-13,Shorts,207
2026-01-14,Shorts,2238
2026-01-15,Shorts,239
2026-01-16,Shorts,1077
2026-01-17,Shorts,1785
2026-01-18,Shorts,1957
2026-01-19,Shorts,883
2026-01-20,Shorts,1548
2026-01-21,Shorts,4608
2026-01-22,Shorts,650
2026-01-23,Shorts,2400
2026-01-24,Shorts,246
2026-01-25,Shorts,1944
2026-01-26,Shorts,322
2026-01-27,Shorts,220
2026-01-28,Shorts,434
2026-01-29,Shorts,2024
2026-01-30,Shorts,1804
2026-01-31,Shorts,1056
2026-02-01,Shorts,674
2026-02-02,Shorts,448
2026-02-03,Shorts,361
2026-02-04,Shorts,396
2026-02-05,Shorts,2368
2026-02-06,Shorts,243
2026-02-07,Shorts,1201
2026-02-08,Shorts,358
2026-02-09,Shorts,238
2026-02-10,Shorts,238
2026-02-11,Shorts,196
2026-02-12,Shorts,1633
2026-02-13,Shorts,1516
2026-02-14,Shorts,1485
2026-02-15,Shorts,508
2026-02-16,Shorts,310
2026-02-17,Shorts,396
2026-02-18,Shorts,1588
2026-02-19,Shorts,695
2026-02-20,Shorts,2032
2026-02-21,Shorts,1002
2026-02-22,Shorts,1295
2026-02-23,Shorts,1186
2026-02-24,Shorts,1556
2026-02-25,Shorts,873
2026-02-26,Shorts,548
2026-02-27,Shorts,875
2026-02-28,Shorts,2051
2026-03-01,Shorts,708
2026-03-02,Shorts,349
2026-03-03,Shorts,394
2026-03-04,Shorts,1771
2026-03-05,Shorts,473
2026-03-06,Shorts,871
2026-03-07,Shorts,606
2026-03-08,Shorts,256
2026-03-09,Shorts,788
2026-03-10,Shorts,817
2026-03-11,Shorts,1963
2026-03-12,Shorts,1901
2026-03-13,Shorts,1195
2026-03-14,Shorts,374
2026-03-15,Shorts,279
2026-03-16,Shorts,531
2026-03-17,Shorts,1809
2026-03-18,Shorts,1790
2026-03-19,Shorts,1151
2026-03-20,Shorts,480
2026-03-21,Shorts,1957
2026-03-22,Shorts,1315
2026-03-23,Shorts,893
2026-03-24,Shorts,1152
2026-03-25,Shorts,2173
2026-03-26,Shorts,1445
2026-03-27,Shorts,1709
2026-03-28,Shorts,386
2026-03-29,Shorts,302
2026-03-30,Shorts,273
2026-03-31,Shorts,252
2026-04-01,Shorts,2619
2026-04-02,Shorts,284
2026-04-03,Shorts,345
2026-04-04,Shorts,474
2026-04-05,Shorts,365
2026-04-06,Shorts,223
2026-04-07,Shorts,205
2026-04-08,Shorts,250
2026-04-09,Shorts,453
2026-04-10,Shorts,515
2026-04-11,Shorts,309
2026-04-12,Shorts,316
2025-04-13,Vídeos,10
2025-04-14,Vídeos,2
2025-04-15,Vídeos,4
2025-04-16,Vídeos,6
2025-04-17,Vídeos,1
2025-04-18,Vídeos,1
2025-04-19,Vídeos,1
2025-04-20,Vídeos,5
2025-04-21,Vídeos,4
2025-04-22,Vídeos,9
2025-04-23,Vídeos,5
2025-04-24,Vídeos,3
2025-04-25,Vídeos,7
2025-04-26,Vídeos,2
2025-04-27,Vídeos,4
2025-04-28,Vídeos,2
2025-04-29,Vídeos,4
2025-04-30,Vídeos,7
2025-05-01,Vídeos,11
2025-05-02,Vídeos,7
2025-05-03,Vídeos,8
2025-05-04,Vídeos,7
2025-05-05,Vídeos,2
2025-05-06,Vídeos,9
2025-05-07,Vídeos,2
2025-05-08,Vídeos,6
2025-05-09,Vídeos,1
2025-05-10,Vídeos,1
2025-05-11,Vídeos,3
2025-05-12,Vídeos,2
2025-05-13,Vídeos,5
2025-05-14,Vídeos,9
2025-05-15,Vídeos,10
2025-05-16,Vídeos,4
2025-05-17,Vídeos,4
2025-05-18,Vídeos,6
2025-05-19,Vídeos,3
2025-05-20,Vídeos,6
2025-05-21,Vídeos,1
2025-05-22,Vídeos,5
2025-05-23,Vídeos,3
2025-05-24,Vídeos,4
2025-05-25,Vídeos,1
2025-05-26,Vídeos,6
2025-05-27,Vídeos,3
2025-05-28,Vídeos,3
2025-05-29,Vídeos,1
2025-05-30,Vídeos,6
2025-05-31,Vídeos,4
2025-06-01,Vídeos,1
2025-06-02,Vídeos,1
2025-06-03,Vídeos,4
2025-06-04,Vídeos,5
2025-06-05,Vídeos,1
2025-06-06,Vídeos,4
2025-06-07,Vídeos,5
2025-06-08,Vídeos,5
2025-06-09,Vídeos,9
2025-06-10,Vídeos,4
2025-06-11,Vídeos,6
2025-06-12,Vídeos,6
2025-06-13,Vídeos,2
2025-06-14,Vídeos,1
2025-06-15,Vídeos,5
2025-06-16,Vídeos,3
2025-06-17,Vídeos,7
2025-06-18,Vídeos,4
2025-06-19,Vídeos,7
2025-06-20,Vídeos,2
2025-06-21,Vídeos,6
2025-06-22,Vídeos,7
2025-06-23,Vídeos,9
2025-06-24,Vídeos,2
2025-06-25,Vídeos,6
2025-06-26,Vídeos,7
2025-06-27,Vídeos,5
2025-06-28,Vídeos,1
2025-06-29,Vídeos,6
2025-06-30,Vídeos,5
2025-07-01,Vídeos,1
2025-07-02,Vídeos,2
2025-07-03,Vídeos,3
2025-07-04,Vídeos,2
2025-07-05,Vídeos,7
2025-07-06,Vídeos,1
2025-07-07,Vídeos,8
2025-07-08,Vídeos,7
2025-07-09,Vídeos,4
2025-07-10,Vídeos,6
2025-07-11,Vídeos,1
2025-07-12,Vídeos,4
2025-07-13,Vídeos,4
2025-07-14,Vídeos,8
2025-07-15,Vídeos,8
2025-07-16,Vídeos,3
2025-07-17,Vídeos,7
2025-07-18,Vídeos,6
2025-07-19,Vídeos,6
2025-07-20,Vídeos,5
2025-07-21,Vídeos,8
2025-07-22,Vídeos,11
2025-07-23,Vídeos,4
2025-07-24,Vídeos,2
2025-07-25,Vídeos,12
2025-07-26,Vídeos,3
2025-07-27,Vídeos,8
2025-07-28,Vídeos,3
2025-07-29,Vídeos,12
2025-07-30,Vídeos,4
2025-07-31,Vídeos,10
2025-08-01,Vídeos,5
2025-08-02,Vídeos,6
2025-08-03,Vídeos,4
2025-08-04,Vídeos,6
2025-08-05,Vídeos,5
2025-08-06,Vídeos,2
2025-08-07,Vídeos,3
2025-08-08,Vídeos,8
2025-08-09,Vídeos,3
2025-08-10,Vídeos,3
2025-08-11,Vídeos,5
2025-08-12,Vídeos,2
2025-08-13,Vídeos,3
2025-08-14,Vídeos,6
2025-08-15,Vídeos,9
2025-08-16,Vídeos,7
2025-08-17,Vídeos,3
2025-08-18,Vídeos,7
2025-08-19,Vídeos,3
2025-08-20,Vídeos,2
2025-08-21,Vídeos,8
2025-08-22,Vídeos,3
2025-08-23,Vídeos,3
2025-08-24,Vídeos,4
2025-08-25,Vídeos,9
2025-08-26,Vídeos,1
2025-08-27,Vídeos,5
2025-08-28,Vídeos,3
2025-08-29,Vídeos,2
2025-08-30,Vídeos,3
2025-08-31,Vídeos,10
2025-09-01,Vídeos,3
2025-09-02,Vídeos,3
2025-09-03,Vídeos,3
2025-09-04,Vídeos,1
2025-09-05,Vídeos,1
2025-09-06,Vídeos,5
2025-09-07,Vídeos,2
2025-09-08,Vídeos,4
2025-09-09,Vídeos,6
2025-09-10,Vídeos,8
2025-09-11,Vídeos,7
2025-09-12,Vídeos,4
2025-09-13,Vídeos,4
2025-09-14,Vídeos,2
2025-09-15,Vídeos,7
2025-09-16,Vídeos,5
2025-09-17,Vídeos,7
2025-09-18,Vídeos,12
2025-09-19,Vídeos,5
2025-09-20,Vídeos,0
2025-09-21,Vídeos,4
2025-09-22,Vídeos,2
2025-09-23,Vídeos,3
2025-09-24,Vídeos,3
2025-09-25,Vídeos,0
2025-09-26,Vídeos,9
2025-09-27,Vídeos,5
2025-09-28,Vídeos,1
2025-09-29,Vídeos,3
2025-09-30,Vídeos,5
2025-10-01,Vídeos,7
2025-10-02,Vídeos,9
2025-10-03,Vídeos,5
2025-10-04,Vídeos,1
2025-10-05,Vídeos,4
2025-10-06,Vídeos,4
2025-10-07,Vídeos,2
2025-10-08,Vídeos,7
2025-10-09,Vídeos,4
2025-10-10,Vídeos,8
2025-10-11,Vídeos,2
2025-10-12,Vídeos,1
2025-10-13,Vídeos,3
2025-10-14,Vídeos,1
2025-10-15,Vídeos,4
2025-10-16,Vídeos,4
2025-10-17,Vídeos,2
2025-10-18,Vídeos,4
2025-10-19,Vídeos,4
2025-10-20,Vídeos,6
2025-10-21,Vídeos,1
2025-10-22,Vídeos,6
2025-10-23,Vídeos,7
2025-10-24,Vídeos,2
2025-10-25,Vídeos,9
2025-10-26,Vídeos,11
2025-10-27,Vídeos,8
2025-10-28,Vídeos,11
2025-10-29,Vídeos,6
2025-10-30,Vídeos,8
2025-10-31,Vídeos,16
2025-11-01,Vídeos,18
2025-11-02,Vídeos,8
2025-11-03,Vídeos,5
2025-11-04,Vídeos,12
2025-11-05,Vídeos,14
2025-11-06,Vídeos,24
2025-11-07,Vídeos,10
2025-11-08,Vídeos,15
2025-11-09,Vídeos,10
2025-11-10,Vídeos,5
2025-11-11,Vídeos,3
2025-11-12,Vídeos,7
2025-11-13,Vídeos,11
2025-11-14,Vídeos,3
2025-11-15,Vídeos,5
2025-11-16,Vídeos,10
2025-11-17,Vídeos,2
2025-11-18,Vídeos,19
2025-11-19,Vídeos,10
2025-11-20,Vídeos,11
2025-11-21,Vídeos,3
2025-11-22,Vídeos,3
2025-11-23,Vídeos,5
2025-11-24,Vídeos,3
2025-11-25,Vídeos,2
2025-11-26,Vídeos,7
2025-11-27,Vídeos,5
2025-11-28,Vídeos,10
2025-11-29,Vídeos,2
2025-11-30,Vídeos,2
2025-12-01,Vídeos,2
2025-12-02,Vídeos,6
2025-12-03,Vídeos,4
2025-12-04,Vídeos,4
2025-12-05,Vídeos,5
2025-12-06,Vídeos,7
2025-12-07,Vídeos,13
2025-12-08,Vídeos,5
2025-12-09,Vídeos,2
2025-12-10,Vídeos,1
2025-12-11,Vídeos,11
2025-12-12,Vídeos,4
2025-12-13,Vídeos,4
2025-12-14,Vídeos,5
2025-12-15,Vídeos,9
2025-12-16,Vídeos,7
2025-12-17,Vídeos,6
2025-12-18,Vídeos,7
2025-12-19,Vídeos,2
2025-12-20,Vídeos,2
2025-12-21,Vídeos,9
2025-12-22,Vídeos,5
2025-12-23,Vídeos,2
2025-12-24,Vídeos,2
2025-12-25,Vídeos,2
2025-12-26,Vídeos,4
2025-12-27,Vídeos,4
2025-12-28,Vídeos,2
2025-12-29,Vídeos,11
2025-12-30,Vídeos,2
2025-12-31,Vídeos,3
2026-01-01,Vídeos,3
2026-01-02,Vídeos,4
2026-01-03,Vídeos,7
2026-01-04,Vídeos,3
2026-01-05,Vídeos,8
2026-01-06,Vídeos,17
2026-01-07,Vídeos,4
2026-01-08,Vídeos,5
2026-01-09,Vídeos,6
2026-01-10,Vídeos,0
2026-01-11,Vídeos,7
2026-01-12,Vídeos,9
2026-01-13,Vídeos,8
2026-01-14,Vídeos,3
2026-01-15,Vídeos,1
2026-01-16,Vídeos,6
2026-01-17,Vídeos,7
2026-01-18,Vídeos,5
2026-01-19,Vídeos,8
2026-01-20,Vídeos,9
2026-01-21,Vídeos,8
2026-01-22,Vídeos,8
2026-01-23,Vídeos,5
2026-01-24,Vídeos,6
2026-01-25,Vídeos,8
2026-01-26,Vídeos,3
2026-01-27,Vídeos,9
2026-01-28,Vídeos,11
2026-01-29,Vídeos,4
2026-01-30,Vídeos,4
2026-01-31,Vídeos,5
2026-02-01,Vídeos,6
2026-02-02,Vídeos,7
2026-02-03,Vídeos,4
2026-02-04,Vídeos,3
2026-02-05,Vídeos,3
2026-02-06,Vídeos,9
2026-02-07,Vídeos,3
2026-02-08,Vídeos,1
2026-02-09,Vídeos,2
2026-02-10,Vídeos,7
2026-02-11,Vídeos,8
2026-02-12,Vídeos,4
2026-02-13,Vídeos,4
2026-02-14,Vídeos,2
2026-02-15,Vídeos,3
2026-02-16,Vídeos,7
2026-02-17,Vídeos,7
2026-02-18,Vídeos,1
2026-02-19,Vídeos,10
2026-02-20,Vídeos,6
2026-02-21,Vídeos,5
2026-02-22,Vídeos,4
2026-02-23,Vídeos,12
2026-02-24,Vídeos,2
2026-02-25,Vídeos,1
2026-02-26,Vídeos,9
2026-02-27,Vídeos,7
2026-02-28,Vídeos,4
2026-03-01,Vídeos,2
2026-03-02,Vídeos,6
2026-03-03,Vídeos,1
2026-03-04,Vídeos,5
2026-03-05,Vídeos,2
2026-03-06,Vídeos,3
2026-03-07,Vídeos,5
2026-03-08,Vídeos,3
2026-03-09,Vídeos,4
2026-03-10,Vídeos,2
2026-03-11,Vídeos,5
2026-03-12,Vídeos,7
2026-03-13,Vídeos,4
2026-03-14,Vídeos,4
2026-03-15,Vídeos,4
2026-03-16,Vídeos,4
2026-03-17,Vídeos,14
2026-03-18,Vídeos,6
2026-03-19,Vídeos,2
2026-03-20,Vídeos,2
2026-03-21,Vídeos,4
2026-03-22,Vídeos,0
2026-03-23,Vídeos,7
2026-03-24,Vídeos,4
2026-03-25,Vídeos,5
2026-03-26,Vídeos,7
2026-03-27,Vídeos,4
2026-03-28,Vídeos,3
2026-03-29,Vídeos,2
2026-03-30,Vídeos,3
2026-03-31,Vídeos,4
2026-04-01,Vídeos,4
2026-04-02,Vídeos,9
2026-04-03,Vídeos,5
2026-04-04,Vídeos,5
2026-04-05,Vídeos,10
2026-04-06,Vídeos,2
2026-04-07,Vídeos,8
2026-04-08,Vídeos,6
2026-04-09,Vídeos,5
2026-04-10,Vídeos,7
2026-04-11,Vídeos,10
2026-04-12,Vídeos,6
