Data,Tipo de dispositivo,Visualizações
2025-12-14,Computador,33
2025-12-15,Computador,34
2025-12-16,Computador,34
2025-12-17,Computador,15
2025-12-18,Computador,16
2025-12-19,Computador,11
2025-12-20,Computador,3
2025-12-21,Computador,15
2025-12-22,Computador,6
2025-12-23,Computador,9
2025-12-24,Computador,5
2025-12-25,Computador,11
2025-12-26,Computador,10
2025-12-27,Computador,71
2025-12-28,Computador,9
2025-12-29,Computador,5
2025-12-30,Computador,11
2025-12-31,Computador,14
2026-01-01,Computador,30
2026-01-02,Computador,99
2026-01-03,Computador,97
2026-01-04,Computador,64
2026-01-05,Computador,82
2026-01-06,Computador,76
2026-01-07,Computador,23
2026-01-08,Computador,40
2026-01-09,Computador,27
2026-01-10,Computador,18
2026-01-11,Computador,6
2026-01-12,Computador,37
2026-01-13,Computador,60
2026-01-14,Computador,80
2026-01-15,Computador,12
2026-01-16,Computador,20
2026-01-17,Computador,21
2026-01-18,Computador,24
2026-01-19,Computador,31
2026-01-20,Computador,22
2026-01-21,Computador,72
2026-01-22,Computador,19
2026-01-23,Computador,27
2026-01-24,Computador,11
2026-01-25,Computador,33
2026-01-26,Computador,13
2026-01-27,Computador,22
2026-01-28,Computador,13
2026-01-29,Computador,40
2026-01-30,Computador,53
2026-01-31,Computador,26
2026-02-01,Computador,21
2026-02-02,Computador,27
2026-02-03,Computador,28
2026-02-04,Computador,30
2026-02-05,Computador,32
2026-02-06,Computador,37
2026-02-07,Computador,10
2026-02-08,Computador,12
2026-02-09,Computador,21
2026-02-10,Computador,22
2026-02-11,Computador,19
2026-02-12,Computador,30
2026-02-13,Computador,12
2026-02-14,Computador,16
2026-02-15,Computador,4
2026-02-16,Computador,27
2026-02-17,Computador,19
2026-02-18,Computador,40
2026-02-19,Computador,27
2026-02-20,Computador,70
2026-02-21,Computador,32
2026-02-22,Computador,49
2026-02-23,Computador,63
2026-02-24,Computador,49
2026-02-25,Computador,32
2026-02-26,Computador,34
2026-02-27,Computador,34
2026-02-28,Computador,23
2026-03-01,Computador,17
2026-03-02,Computador,22
2026-03-03,Computador,29
2026-03-04,Computador,51
2026-03-05,Computador,29
2026-03-06,Computador,31
2026-03-07,Computador,20
2026-03-08,Computador,5
2026-03-09,Computador,25
2026-03-10,Computador,44
2026-03-11,Computador,40
2026-03-12,Computador,66
2026-03-13,Computador,33
2026-03-14,Computador,14
2026-03-15,Computador,14
2026-03-16,Computador,26
2026-03-17,Computador,45
2026-03-18,Computador,54
2026-03-19,Computador,45
2026-03-20,Computador,32
2026-03-21,Computador,29
2026-03-22,Computador,34
2026-03-23,Computador,30
2026-03-24,Computador,24
2026-03-25,Computador,50
2026-03-26,Computador,28
2026-03-27,Computador,34
2026-03-28,Computador,18
2026-03-29,Computador,42
2026-03-30,Computador,23
2026-03-31,Computador,22
2026-04-01,Computador,31
2026-04-02,Computador,14
2026-04-03,Computador,22
2026-04-04,Computador,10
2026-04-05,Computador,46
2026-04-06,Computador,12
2026-04-07,Computador,19
2026-04-08,Computador,14
2026-04-09,Computador,22
2026-04-10,Computador,24
2026-04-11,Computador,25
2026-04-12,Computador,18
2025-04-13,TV,118
2025-04-14,TV,10
2025-04-15,TV,212
2025-04-16,TV,4364
2025-04-17,TV,39
2025-04-18,TV,72
2025-04-19,TV,95
2025-04-20,TV,8
2025-04-21,TV,87
2025-04-22,TV,35
2025-04-23,TV,21
2025-04-24,TV,15
2025-04-25,TV,333
2025-04-26,TV,36
2025-04-27,TV,109
2025-04-28,TV,13
2025-04-29,TV,14
2025-04-30,TV,67
2025-05-01,TV,47
2025-05-02,TV,20
2025-05-03,TV,104
2025-05-04,TV,180
2025-05-05,TV,23
2025-05-06,TV,29
2025-05-07,TV,62
2025-05-08,TV,36
2025-05-09,TV,730
2025-05-10,TV,29
2025-05-11,TV,19
2025-05-12,TV,9
2025-05-13,TV,12
2025-05-14,TV,32
2025-05-15,TV,51
2025-05-16,TV,13
2025-05-17,TV,20
2025-05-18,TV,22
2025-05-19,TV,21
2025-05-20,TV,7
2025-05-21,TV,16
2025-05-22,TV,13
2025-05-23,TV,44
2025-05-24,TV,179
2025-05-25,TV,9
2025-05-26,TV,10
2025-05-27,TV,40
2025-05-28,TV,99
2025-05-29,TV,32
2025-05-30,TV,9
2025-05-31,TV,132
2025-06-01,TV,14
2025-06-02,TV,13
2025-06-03,TV,135
2025-06-04,TV,72
2025-06-05,TV,51
2025-06-06,TV,15
2025-06-07,TV,19
2025-06-08,TV,13
2025-06-09,TV,5
2025-06-10,TV,97
2025-06-11,TV,159
2025-06-12,TV,130
2025-06-13,TV,27
2025-06-14,TV,22
2025-06-15,TV,79
2025-06-16,TV,6
2025-06-17,TV,11
2025-06-18,TV,19
2025-06-19,TV,59
2025-06-20,TV,185
2025-06-21,TV,22
2025-06-22,TV,9
2025-06-23,TV,48
2025-06-24,TV,35
2025-06-25,TV,33
2025-06-26,TV,70
2025-06-27,TV,132
2025-06-28,TV,212
2025-06-29,TV,6
2025-06-30,TV,6
2025-07-01,TV,15
2025-07-02,TV,43
2025-07-03,TV,4
2025-07-04,TV,40
2025-07-05,TV,7
2025-07-06,TV,5
2025-07-07,TV,14
2025-07-08,TV,2
2025-07-09,TV,10
2025-07-10,TV,6
2025-07-11,TV,3
2025-07-12,TV,8
2025-07-13,TV,15
2025-07-14,TV,11
2025-07-15,TV,7
2025-07-16,TV,11
2025-07-17,TV,6
2025-07-18,TV,2
2025-07-19,TV,7
2025-07-20,TV,1
2025-07-21,TV,17
2025-07-22,TV,7
2025-07-23,TV,20
2025-07-24,TV,4
2025-07-25,TV,5
2025-07-26,TV,9
2025-07-27,TV,3
2025-07-28,TV,3
2025-07-29,TV,13
2025-07-30,TV,0
2025-07-31,TV,20
2025-08-01,TV,87
2025-08-02,TV,4
2025-08-03,TV,3
2025-08-04,TV,17
2025-08-05,TV,2
2025-08-06,TV,8
2025-08-07,TV,29
2025-08-08,TV,2
2025-08-09,TV,13
2025-08-10,TV,1
2025-08-11,TV,11
2025-08-12,TV,48
2025-08-13,TV,5
2025-08-14,TV,9
2025-08-15,TV,11
2025-08-16,TV,143
2025-08-17,TV,9
2025-08-18,TV,6
2025-08-19,TV,9
2025-08-20,TV,19
2025-08-21,TV,77
2025-08-22,TV,16
2025-08-23,TV,80
2025-08-24,TV,14
2025-08-25,TV,8
2025-08-26,TV,9
2025-08-27,TV,5
2025-08-28,TV,28
2025-08-29,TV,5
2025-08-30,TV,13
2025-08-31,TV,97
2025-09-01,TV,7
2025-09-02,TV,46
2025-09-03,TV,10
2025-09-04,TV,6
2025-09-05,TV,1
2025-09-06,TV,11
2025-09-07,TV,10
2025-09-08,TV,105
2025-09-09,TV,31
2025-09-10,TV,13
2025-09-11,TV,8
2025-09-12,TV,72
2025-09-13,TV,4
2025-09-14,TV,5
2025-09-15,TV,10
2025-09-16,TV,7
2025-09-17,TV,10
2025-09-18,TV,99
2025-09-19,TV,0
2025-09-20,TV,40
2025-09-21,TV,107
2025-09-22,TV,38
2025-09-23,TV,5
2025-09-24,TV,7
2025-09-25,TV,118
2025-09-26,TV,11
2025-09-27,TV,18
2025-09-28,TV,8
2025-09-29,TV,8
2025-09-30,TV,38
2025-10-01,TV,4
2025-10-02,TV,7
2025-10-03,TV,4
2025-10-04,TV,8
2025-10-05,TV,8
2025-10-06,TV,19
2025-10-07,TV,22
2025-10-08,TV,42
2025-10-09,TV,48
2025-10-10,TV,50
2025-10-11,TV,19
2025-10-12,TV,21
2025-10-13,TV,9
2025-10-14,TV,107
2025-10-15,TV,13
2025-10-16,TV,90
2025-10-17,TV,19
2025-10-18,TV,13
2025-10-19,TV,6
2025-10-20,TV,13
2025-10-21,TV,10
2025-10-22,TV,6
2025-10-23,TV,6
2025-10-24,TV,5
2025-10-25,TV,7
2025-10-26,TV,24
2025-10-27,TV,2
2025-10-28,TV,8
2025-10-29,TV,10
2025-10-30,TV,108
2025-10-31,TV,82
2025-11-01,TV,25
2025-11-02,TV,14
2025-11-03,TV,23
2025-11-04,TV,38
2025-11-05,TV,25
2025-11-06,TV,9
2025-11-07,TV,16
2025-11-08,TV,55
2025-11-09,TV,17
2025-11-10,TV,10
2025-11-11,TV,12
2025-11-12,TV,15
2025-11-13,TV,24
2025-11-14,TV,19
2025-11-15,TV,48
2025-11-16,TV,19
2025-11-17,TV,29
2025-11-18,TV,118
2025-11-19,TV,87
2025-11-20,TV,14
2025-11-21,TV,11
2025-11-22,TV,11
2025-11-23,TV,14
2025-11-24,TV,20
2025-11-25,TV,5
2025-11-26,TV,12
2025-11-27,TV,4
2025-11-28,TV,14
2025-11-29,TV,10
2025-11-30,TV,11
2025-12-01,TV,13
2025-12-02,TV,13
2025-12-03,TV,17
2025-12-04,TV,23
2025-12-05,TV,12
2025-12-06,TV,10
2025-12-07,TV,11
2025-12-08,TV,8
2025-12-09,TV,102
2025-12-10,TV,19
2025-12-11,TV,46
2025-12-12,TV,38
2025-12-13,TV,19
2025-12-14,TV,37
2025-12-15,TV,101
2025-12-16,TV,15
2025-12-17,TV,12
2025-12-18,TV,20
2025-12-19,TV,12
2025-12-20,TV,10
2025-12-21,TV,43
2025-12-22,TV,7
2025-12-23,TV,4
2025-12-24,TV,12
2025-12-25,TV,14
2025-12-26,TV,16
2025-12-27,TV,208
2025-12-28,TV,4
2025-12-29,TV,24
2025-12-30,TV,4
2025-12-31,TV,23
2026-01-01,TV,13
2026-01-02,TV,1366
2026-01-03,TV,566
2026-01-04,TV,427
2026-01-05,TV,214
2026-01-06,TV,712
2026-01-07,TV,28
2026-01-08,TV,18
2026-01-09,TV,23
2026-01-10,TV,45
2026-01-11,TV,14
2026-01-12,TV,24
2026-01-13,TV,20
2026-01-14,TV,182
2026-01-15,TV,14
2026-01-16,TV,99
2026-01-17,TV,279
2026-01-18,TV,363
2026-01-19,TV,273
2026-01-20,TV,632
2026-01-21,TV,1789
2026-01-22,TV,89
2026-01-23,TV,186
2026-01-24,TV,33
2026-01-25,TV,169
2026-01-26,TV,30
2026-01-27,TV,30
2026-01-28,TV,27
2026-01-29,TV,70
2026-01-30,TV,161
2026-01-31,TV,118
2026-02-01,TV,71
2026-02-02,TV,25
2026-02-03,TV,17
2026-02-04,TV,21
2026-02-05,TV,195
2026-02-06,TV,17
2026-02-07,TV,64
2026-02-08,TV,21
2026-02-09,TV,16
2026-02-10,TV,57
2026-02-11,TV,13
2026-02-12,TV,100
2026-02-13,TV,64
2026-02-14,TV,101
2026-02-15,TV,32
2026-02-16,TV,26
2026-02-17,TV,24
2026-02-18,TV,113
2026-02-19,TV,44
2026-02-20,TV,118
2026-02-21,TV,54
2026-02-22,TV,63
2026-02-23,TV,68
2026-02-24,TV,108
2026-02-25,TV,60
2026-02-26,TV,60
2026-02-27,TV,45
2026-02-28,TV,134
2026-03-01,TV,29
2026-03-02,TV,26
2026-03-03,TV,35
2026-03-04,TV,98
2026-03-05,TV,34
2026-03-06,TV,96
2026-03-07,TV,34
2026-03-08,TV,23
2026-03-09,TV,29
2026-03-10,TV,46
2026-03-11,TV,115
2026-03-12,TV,90
2026-03-13,TV,99
2026-03-14,TV,18
2026-03-15,TV,7
2026-03-16,TV,33
2026-03-17,TV,60
2026-03-18,TV,130
2026-03-19,TV,68
2026-03-20,TV,23
2026-03-21,TV,186
2026-03-22,TV,33
2026-03-23,TV,34
2026-03-24,TV,41
2026-03-25,TV,138
2026-03-26,TV,79
2026-03-27,TV,158
2026-03-28,TV,47
2026-03-29,TV,31
2026-03-30,TV,15
2026-03-31,TV,21
2026-04-01,TV,221
2026-04-02,TV,27
2026-04-03,TV,34
2026-04-04,TV,20
2026-04-05,TV,91
2026-04-06,TV,14
2026-04-07,TV,19
2026-04-08,TV,16
2026-04-09,TV,18
2026-04-10,TV,30
2026-04-11,TV,29
2026-04-12,TV,30
2025-04-13,Dispositivo móvel,2204
2025-04-14,Dispositivo móvel,235
2025-04-15,Dispositivo móvel,2449
2025-04-16,Dispositivo móvel,13254
2025-04-17,Dispositivo móvel,517
2025-04-18,Dispositivo móvel,617
2025-04-19,Dispositivo móvel,2492
2025-04-20,Dispositivo móvel,274
2025-04-21,Dispositivo móvel,1111
2025-04-22,Dispositivo móvel,792
2025-04-23,Dispositivo móvel,662
2025-04-24,Dispositivo móvel,277
2025-04-25,Dispositivo móvel,5925
2025-04-26,Dispositivo móvel,492
2025-04-27,Dispositivo móvel,1687
2025-04-28,Dispositivo móvel,516
2025-04-29,Dispositivo móvel,405
2025-04-30,Dispositivo móvel,779
2025-05-01,Dispositivo móvel,899
2025-05-02,Dispositivo móvel,376
2025-05-03,Dispositivo móvel,4525
2025-05-04,Dispositivo móvel,2170
2025-05-05,Dispositivo móvel,365
2025-05-06,Dispositivo móvel,583
2025-05-07,Dispositivo móvel,1075
2025-05-08,Dispositivo móvel,408
2025-05-09,Dispositivo móvel,11920
2025-05-10,Dispositivo móvel,1195
2025-05-11,Dispositivo móvel,344
2025-05-12,Dispositivo móvel,263
2025-05-13,Dispositivo móvel,291
2025-05-14,Dispositivo móvel,281
2025-05-15,Dispositivo móvel,476
2025-05-16,Dispositivo móvel,226
2025-05-17,Dispositivo móvel,253
2025-05-18,Dispositivo móvel,233
2025-05-19,Dispositivo móvel,403
2025-05-20,Dispositivo móvel,337
2025-05-21,Dispositivo móvel,307
2025-05-22,Dispositivo móvel,1403
2025-05-23,Dispositivo móvel,660
2025-05-24,Dispositivo móvel,3516
2025-05-25,Dispositivo móvel,180
2025-05-26,Dispositivo móvel,309
2025-05-27,Dispositivo móvel,1294
2025-05-28,Dispositivo móvel,1199
2025-05-29,Dispositivo móvel,510
2025-05-30,Dispositivo móvel,291
2025-05-31,Dispositivo móvel,1202
2025-06-01,Dispositivo móvel,473
2025-06-02,Dispositivo móvel,332
2025-06-03,Dispositivo móvel,1629
2025-06-04,Dispositivo móvel,1578
2025-06-05,Dispositivo móvel,1023
2025-06-06,Dispositivo móvel,251
2025-06-07,Dispositivo móvel,649
2025-06-08,Dispositivo móvel,185
2025-06-09,Dispositivo móvel,142
2025-06-10,Dispositivo móvel,1207
2025-06-11,Dispositivo móvel,5143
2025-06-12,Dispositivo móvel,2309
2025-06-13,Dispositivo móvel,487
2025-06-14,Dispositivo móvel,565
2025-06-15,Dispositivo móvel,1513
2025-06-16,Dispositivo móvel,92
2025-06-17,Dispositivo móvel,246
2025-06-18,Dispositivo móvel,651
2025-06-19,Dispositivo móvel,1161
2025-06-20,Dispositivo móvel,4359
2025-06-21,Dispositivo móvel,1062
2025-06-22,Dispositivo móvel,188
2025-06-23,Dispositivo móvel,1125
2025-06-24,Dispositivo móvel,1170
2025-06-25,Dispositivo móvel,945
2025-06-26,Dispositivo móvel,1343
2025-06-27,Dispositivo móvel,1053
2025-06-28,Dispositivo móvel,5713
2025-06-29,Dispositivo móvel,106
2025-06-30,Dispositivo móvel,115
2025-07-01,Dispositivo móvel,207
2025-07-02,Dispositivo móvel,694
2025-07-03,Dispositivo móvel,126
2025-07-04,Dispositivo móvel,610
2025-07-05,Dispositivo móvel,117
2025-07-06,Dispositivo móvel,137
2025-07-07,Dispositivo móvel,107
2025-07-08,Dispositivo móvel,87
2025-07-09,Dispositivo móvel,67
2025-07-10,Dispositivo móvel,84
2025-07-11,Dispositivo móvel,126
2025-07-12,Dispositivo móvel,103
2025-07-13,Dispositivo móvel,255
2025-07-14,Dispositivo móvel,110
2025-07-15,Dispositivo móvel,141
2025-07-16,Dispositivo móvel,129
2025-07-17,Dispositivo móvel,163
2025-07-18,Dispositivo móvel,121
2025-07-19,Dispositivo móvel,133
2025-07-20,Dispositivo móvel,136
2025-07-21,Dispositivo móvel,246
2025-07-22,Dispositivo móvel,117
2025-07-23,Dispositivo móvel,654
2025-07-24,Dispositivo móvel,126
2025-07-25,Dispositivo móvel,82
2025-07-26,Dispositivo móvel,73
2025-07-27,Dispositivo móvel,126
2025-07-28,Dispositivo móvel,112
2025-07-29,Dispositivo móvel,176
2025-07-30,Dispositivo móvel,83
2025-07-31,Dispositivo móvel,110
2025-08-01,Dispositivo móvel,1027
2025-08-02,Dispositivo móvel,105
2025-08-03,Dispositivo móvel,109
2025-08-04,Dispositivo móvel,425
2025-08-05,Dispositivo móvel,93
2025-08-06,Dispositivo móvel,81
2025-08-07,Dispositivo móvel,438
2025-08-08,Dispositivo móvel,124
2025-08-09,Dispositivo móvel,494
2025-08-10,Dispositivo móvel,135
2025-08-11,Dispositivo móvel,171
2025-08-12,Dispositivo móvel,292
2025-08-13,Dispositivo móvel,148
2025-08-14,Dispositivo móvel,146
2025-08-15,Dispositivo móvel,113
2025-08-16,Dispositivo móvel,1247
2025-08-17,Dispositivo móvel,159
2025-08-18,Dispositivo móvel,212
2025-08-19,Dispositivo móvel,137
2025-08-20,Dispositivo móvel,408
2025-08-21,Dispositivo móvel,804
2025-08-22,Dispositivo móvel,496
2025-08-23,Dispositivo móvel,1667
2025-08-24,Dispositivo móvel,228
2025-08-25,Dispositivo móvel,110
2025-08-26,Dispositivo móvel,141
2025-08-27,Dispositivo móvel,156
2025-08-28,Dispositivo móvel,394
2025-08-29,Dispositivo móvel,106
2025-08-30,Dispositivo móvel,123
2025-08-31,Dispositivo móvel,1791
2025-09-01,Dispositivo móvel,80
2025-09-02,Dispositivo móvel,1403
2025-09-03,Dispositivo móvel,105
2025-09-04,Dispositivo móvel,115
2025-09-05,Dispositivo móvel,349
2025-09-06,Dispositivo móvel,101
2025-09-07,Dispositivo móvel,134
2025-09-08,Dispositivo móvel,1779
2025-09-09,Dispositivo móvel,805
2025-09-10,Dispositivo móvel,157
2025-09-11,Dispositivo móvel,145
2025-09-12,Dispositivo móvel,1316
2025-09-13,Dispositivo móvel,124
2025-09-14,Dispositivo móvel,87
2025-09-15,Dispositivo móvel,162
2025-09-16,Dispositivo móvel,285
2025-09-17,Dispositivo móvel,470
2025-09-18,Dispositivo móvel,1665
2025-09-19,Dispositivo móvel,165
2025-09-20,Dispositivo móvel,415
2025-09-21,Dispositivo móvel,2039
2025-09-22,Dispositivo móvel,410
2025-09-23,Dispositivo móvel,300
2025-09-24,Dispositivo móvel,210
2025-09-25,Dispositivo móvel,1056
2025-09-26,Dispositivo móvel,213
2025-09-27,Dispositivo móvel,401
2025-09-28,Dispositivo móvel,177
2025-09-29,Dispositivo móvel,136
2025-09-30,Dispositivo móvel,962
2025-10-01,Dispositivo móvel,137
2025-10-02,Dispositivo móvel,166
2025-10-03,Dispositivo móvel,118
2025-10-04,Dispositivo móvel,134
2025-10-05,Dispositivo móvel,156
2025-10-06,Dispositivo móvel,332
2025-10-07,Dispositivo móvel,587
2025-10-08,Dispositivo móvel,546
2025-10-09,Dispositivo móvel,587
2025-10-10,Dispositivo móvel,1231
2025-10-11,Dispositivo móvel,348
2025-10-12,Dispositivo móvel,185
2025-10-13,Dispositivo móvel,202
2025-10-14,Dispositivo móvel,1462
2025-10-15,Dispositivo móvel,238
2025-10-16,Dispositivo móvel,890
2025-10-17,Dispositivo móvel,136
2025-10-18,Dispositivo móvel,154
2025-10-19,Dispositivo móvel,137
2025-10-20,Dispositivo móvel,131
2025-10-21,Dispositivo móvel,148
2025-10-22,Dispositivo móvel,134
2025-10-23,Dispositivo móvel,102
2025-10-24,Dispositivo móvel,105
2025-10-25,Dispositivo móvel,108
2025-10-26,Dispositivo móvel,121
2025-10-27,Dispositivo móvel,193
2025-10-28,Dispositivo móvel,193
2025-10-29,Dispositivo móvel,144
2025-10-30,Dispositivo móvel,775
2025-10-31,Dispositivo móvel,1576
2025-11-01,Dispositivo móvel,258
2025-11-02,Dispositivo móvel,144
2025-11-03,Dispositivo móvel,669
2025-11-04,Dispositivo móvel,603
2025-11-05,Dispositivo móvel,356
2025-11-06,Dispositivo móvel,358
2025-11-07,Dispositivo móvel,124
2025-11-08,Dispositivo móvel,1385
2025-11-09,Dispositivo móvel,272
2025-11-10,Dispositivo móvel,165
2025-11-11,Dispositivo móvel,197
2025-11-12,Dispositivo móvel,384
2025-11-13,Dispositivo móvel,297
2025-11-14,Dispositivo móvel,225
2025-11-15,Dispositivo móvel,1755
2025-11-16,Dispositivo móvel,179
2025-11-17,Dispositivo móvel,294
2025-11-18,Dispositivo móvel,1337
2025-11-19,Dispositivo móvel,1749
2025-11-20,Dispositivo móvel,550
2025-11-21,Dispositivo móvel,177
2025-11-22,Dispositivo móvel,156
2025-11-23,Dispositivo móvel,154
2025-11-24,Dispositivo móvel,409
2025-11-25,Dispositivo móvel,161
2025-11-26,Dispositivo móvel,170
2025-11-27,Dispositivo móvel,166
2025-11-28,Dispositivo móvel,151
2025-11-29,Dispositivo móvel,131
2025-11-30,Dispositivo móvel,142
2025-12-01,Dispositivo móvel,149
2025-12-02,Dispositivo móvel,537
2025-12-03,Dispositivo móvel,152
2025-12-04,Dispositivo móvel,136
2025-12-05,Dispositivo móvel,193
2025-12-06,Dispositivo móvel,138
2025-12-07,Dispositivo móvel,160
2025-12-08,Dispositivo móvel,252
2025-12-09,Dispositivo móvel,1287
2025-12-10,Dispositivo móvel,258
2025-12-11,Dispositivo móvel,1311
2025-12-12,Dispositivo móvel,1426
2025-12-13,Dispositivo móvel,376
2025-12-14,Dispositivo móvel,910
2025-12-15,Dispositivo móvel,1602
2025-12-16,Dispositivo móvel,356
2025-12-17,Dispositivo móvel,202
2025-12-18,Dispositivo móvel,165
2025-12-19,Dispositivo móvel,195
