"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,Comentários,Salvamentos
18060096047319154,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","🚨 Não compre ar-condicionado antes de ver isso
Você pode estar jogando dinheiro fora 🥵

#audisat #arcondicionado #verao #calor #climatizacao",43,"01/10/2026 08:59",https://www.instagram.com/reel/DTVnWkWDOUs/,"Reel do Instagram",,Total,93253,69256,594,264,506,209,59
18085196120116163,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","O verão chegou! E com ele, o momento perfeito para começar a cuidar de você e aproveitar ☀️🏖️
#paraguay #megaelectronicos #verão🌞",0,"01/09/2026 09:46",https://www.instagram.com/p/DTTIB9Hlrrz/,"Carrossel do Instagram",,Total,17736,8407,36,10,3,0,9
18013074083810636,17841401573017083,comprasparaguai,"Compras Paraguai","🎧🏃‍♂️ Quem corre sabe: o fone certo muda totalmente o treino.

Na @megaeletronicosoficialpy de Ciudad del Este encontramos o fone de ouvido ideal para corredores: leve, confortável, firme na orelha e com som potente para manter o ritmo do começo ao fim. 

Perfeito para treinos de rua, academia ou longões.

Essa é a dica que todo corredor precisa conhecer.

✅ O Compras Paraguai é um site comparador de preços das melhores lojas do Paraguai. Não vendemos nem enviamos qualquer produto para o Brasil.

✅ Para comprar com segurança recomendamos que você venha pessoalmente até as lojas de Ciudad del Este que indicamos em nossas plataformas

#FoneParaCorrida
#MegaEletrônicos
#TecnologiaNoParaguai
#CorridaComEstilo
#CiudadDelEste",77,"01/09/2026 02:25",https://www.instagram.com/reel/DTSVf-ykW_w/,"Reel do Instagram",,Total,43757,,369,210,,17,0
18339993289236489,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","VERÃO ON, OFERTAS ON! 🔥☀️
Tudo isso com preços imperdíveis pra você aproveitar o verão do jeito certo 🔥

📆 De 07 a 31 de janeiro
📍 Mega Eletrônicos – Ciudad del Este

👉 Vem garantir o seu e curtir o verão com a gente!

#megaverão #megaeletronicos #verão2026 #summervibes #praia",69,"01/08/2026 09:24",https://www.instagram.com/reel/DTQgl50EShL/,"Reel do Instagram",,Total,26498,19546,168,19,12,13,10
18373032067087365,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","O calor já está chegando… e os MELHORES DESCONTOS também 🔥☀️

Começou o MEGA VERÃO, a campanha que te acompanha nesta temporada com até 55% OFF em produtos selecionados 😎📱🎧

📆 De 07 a 31 de janeiro, você tem tudo para viver o verão como ele merece

🌴✨ MEGA VERÃO já chegou… e você não pode ficar de fora ✨🌴

#megaverano #megaeletronicos #verao2026 #ofertasdeverao #descontos",22,"01/07/2026 13:09",https://www.instagram.com/reel/DTOVmwjkYCl/,"Reel do Instagram",,Total,9699,7998,54,5,1,8,1
18107891911645118,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Mongaru 🤌🏻😂

#meme #paraguai #megaeletronicos #comprasparaguai",50,"01/06/2026 12:10",https://www.instagram.com/reel/DTLp_aokXE6/,"Reel do Instagram",,Total,93630,61968,3918,847,145,79,357
18141297898466820,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","✨ Ano novo, Iphone novo.
👉 Agora conta pra gente: qual iPhone combina mais com você?

#iphone #applenewyear #anonovocelularnovo #smartphone  #paraguay",59,"01/06/2026 06:01",https://www.instagram.com/reel/DTK_zB7kvAl/,"Reel do Instagram",,Total,154356,78744,356,62,86,355,42
18311934046266006,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","🚨 Chamaram a polícia… mas valeu totalmente a pena 😅🔊

Potência de verdade, graves que você sente no corpo e um volume que não passa despercebido 🔥
Se você é do tipo que leva música a sério, já sabe do que estamos falando…

📍 Encontre os speakers AIWA na
💚 Mega Eletrônicos PY, a loja que ama bons preços.

#aiwa #speaker #sonidopotente #gravepesado #musica",50,"01/05/2026 14:46",https://www.instagram.com/reel/DTJXCpOD4RP/,"Reel do Instagram",,Total,17252,13268,177,52,13,8,14
18037449566755720,17841407601225083,dicadawinie,"Winie Anand","Se você busca projetores de qualidade para ter um cinema em casa, a @megaeletronicosoficialpy tem vários modelos da marca Wanbo que tem ótimos preços e qualidade!",58,"01/05/2026 01:58",https://www.instagram.com/reel/DTH_JPoju26/,"Reel do Instagram",,Total,30484,,291,132,,11,0
18089657722993302,17841462447596208,explorandoafronteira,"Explorando a Fronteira por Nicolly Tavassi","Se você procura caixas de som com ótimo custo-benefício, olha essas aqui.

Tem opções a partir de $49 da Audisat na @megaeletronicosoficialpy .

Essas são ótimas escolhas pra quem gosta de qualidade e som potente!

Me conta o que achou!!

#paraguai #comprasparaguai",55,"01/04/2026 11:48",https://www.instagram.com/reel/DTGdciGAYNv/,"Reel do Instagram",,Total,14905,,121,30,,3,0
18037047071742857,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","🔥 A Xiaomi simplesmente resolveu brincar com o mercado…

Câmera de 200MP, desempenho absurdo, tela AMOLED gigante e velocidade 5G pra quem vive conectado.
É aquele celular que você pega e pensa: “ok… isso aqui é outro nível.”

E pra quem quer economizar, a linha Note 15 também entrega MUITO — qualidade, câmera incrível e preço que faz sentido.

📍 A partir de R$ 992 (valor sujeito a alteração) na Mega Eletrônicos 💙 A loja que ama os bons preços

Corre garantir o seu e conta pra gente nos comentários:
👉 Você iria de Pro ou do modelo normal? 😏📱

#xiaomi #lançamento #comprasparaguai #xiaomibrasil",50,"01/04/2026 06:05",https://www.instagram.com/reel/DTF2vKvEYbe/,"Reel do Instagram",,Total,215894,131582,1345,315,1073,242,182
18062055968278540,17841462447596208,explorandoafronteira,"Explorando a Fronteira por Nicolly Tavassi","Se tem um produto que realmente salva a pele, é a Aquaphor! 

Ela hidrata profundamente, ajuda na regeneração, acalma irritações e deixa a pele macia e protegida por muito mais tempo.

Perfeita para pele seca, rachada, áreas ressecadas, mãos, lábios e até para os pequenos.

Você encontra as pomadas Aquaphor na @megaeletronicosoficialpy!

#paraguai #comprasparaguai",54,"01/03/2026 07:59",https://www.instagram.com/reel/DTDe09GET96/,"Reel do Instagram",,Total,34514,,458,229,,2,0
18249989860288928,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Qual vai ser o seu próximo console? 👀🎮
 A batalha dos consoles portáteis começou!

👇 Comenta aqui e garante o seu!
#videogame #consoleportatil #retrogame #games #gamerlife #nostalgia #22miljogos #portatil #gamingbr #viral #fyp #paravoce #reelsbrasil #tiktokbr #geek #gamers #tecnologia",32,"01/03/2026 05:00",https://www.instagram.com/reel/DTDKayjFN_p/,"Reel do Instagram",,Total,26940,22155,110,23,3,46,19
18078134692994318,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","🚗✨ Transforme a experiência dentro do seu carro

Com o Audisat X CarPlay CA361-B4, o painel do seu carro vira uma extensão do seu celular.
Você espelha a tela para receber notificações, usar GPS, atender chamadas e acessar seus apps com muito mais praticidade e segurança.

E vai além do básico 👇
🎬 Netflix e YouTube
🎧 Spotify
📶 Funciona como roteador de internet no carro
📲 Tudo 100% sem fio, sem cabos e sem complicação

Toda vez que você entra no carro, ele conecta automaticamente.
Mais conforto, mais tecnologia e outra experiência ao dirigir.

💬 Comenta aí: você usaria um desses no seu carro? 🚀
.
#comprasparaguai #carplay #tecnologia #carrodossonhos #automotivos",44,"01/02/2026 13:07",https://www.instagram.com/reel/DTBc7N0jz4i/,"Reel do Instagram",,Total,29336,22334,142,143,9,5,64
17978070530832321,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Quem mais já quebrou a primeira promessa de 2026? 🙋‍♀️🙋‍♂️

#pov #anonovo #promessas #realidade #humor #trabalho #viral #paravoce #fyp #meme #identificacao",11,"01/02/2026 07:04",https://www.instagram.com/reel/DTAz2ppjqS9/,"Reel do Instagram",,Total,53735,30511,210,44,2,3,4
18061461920634523,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","✨Obrigada por fazer parte do nosso 2025

Hoje nos despedimos de um ano cheio de aprendizados, crescimento e momentos especiais 🤍
Obrigado a cada cliente que confiou, escolheu a Mega e caminhou com a gente ao longo desse ano.

Que 2026 chegue com saúde, novos começos, sonhos realizados e muitas conquistas ✨
Seguimos juntos, com a mesma dedicação e energia de sempre💙

🥂 Feliz Ano Novo!
Com carinho, Mega Eletrônicos PY 💙",0,"12/31/2025 19:05",https://www.instagram.com/p/DS88wKlk3qN/,"Imagem do Instagram",,Total,17290,7807,26,1,0,1,2
18115347877590102,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","✨ É por vocês. Sempre foi.

Hoje, enquanto encerramos mais um ciclo, olhamos para trás com o coração cheio e reconhecemos cada pessoa que fez parte dessa caminhada — clientes, colaboradores, parceiros e amigos. Vocês transformam propósito em história e rotina em motivo pra continuar.

Que 2026 chegue leve, com saúde, novas oportunidades, prosperidade e bons motivos para celebrar cada conquista.

🌟 Boas festas!
🎆 Feliz Réveillon e um próspero 2026! Que seja o ano mais incrível de todos — juntos.
📍Mega eletrônicos a loja que ama os bons preços

——

✨ Es por ustedes. Siempre lo fue.

Hoy, al cerrar un ciclo más, miramos hacia atrás con el corazón lleno y reconocemos a cada persona que formó parte de este camino: clientes, colaboradores, socios y amigos. Ustedes transforman propósito en historia y la rutina en motivo para continuar.

Gracias por cada visita, cada conversación y cada gesto de confianza. Gracias por creer en nuestro trabajo y por caminar a nuestro lado todos los días. 💙

Que el 2026 llegue ligero, con salud, nuevas oportunidades, prosperidad y muchos motivos para celebrar cada logro. Que sea un año de crecimiento, de sueños cumplidos y de puertas que se abren a lo mejor que está por venir.

🌟 ¡Felices fiestas!
🎆 ¡Feliz Año Nuevo y un próspero 2026!
🚀 Que sea el año más increíble de todos — juntos.
📍Mega Electrónicos, la tienda que ama los buenos precios
.
#anonovo #2026",75,"12/31/2025 16:05",https://www.instagram.com/reel/DS8oQTckUj2/,"Reel do Instagram",,Total,26208,19661,230,25,10,10,4
17850647757615077,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","🎶🔥 Três lançamentos imperdíveis da Audisat que vão elevar o som da sua festa
Se você busca potência, qualidade de áudio e conexão fácil, esses speakers são pra você 👇

🔊 Audisat X88 Boom – 160W PMPO
💥 Audisat X60 Power – 600W PMPO
🔥 Audisat X80 Plus – 800W PMPO

📍 Mega Eletrônicos PY, onde o som potente encontra os melhores preços.

#audisat #caixadesom #sompotente #audio #musica #tecnologia #gadgets #megaeletronicos #paraguai #ciudaddeleste #ofertas #festa #bluetooth #reels #tiktok #lançamentos #somdequalidade",59,"12/31/2025 08:40",https://www.instagram.com/reel/DS71PRjjvAq/,"Reel do Instagram",,Total,31522,24055,168,17,7,37,17
17919903378085387,17841401573017083,comprasparaguai,"Compras Paraguai","✨🧴 PELE TRATADA NO NÍVEL INTERNACIONAL! 🧴✨

Se o assunto é cuidado com a pele de verdade, a resposta é clara: The Ordinary 🇨🇦💙
Encontramos na @megaeletronicosoficialpy os produtos da marca canadense que virou referência mundial em tratamentos eficazes, fórmulas inteligentes e resultados reais 🔥

💧 Skincare direto ao ponto
🧪 Ativos concentrados e eficientes
💰 Preços do Paraguai que fazem toda a diferença

Se a sua pele merece o melhor, esse é o rolê certo!

✅ O Compras Paraguai é um site comparador de preços das melhores lojas do Paraguai. Não vendemos nem enviamos qualquer produto para o Brasil.

✅ Para comprar com segurança recomendamos que você venha pessoalmente até as lojas de Ciudad del Este que indicamos em nossas plataformas.

#TheOrdinary #SkincareNoParaguai #CuidadosComAPele #BelezaNoParaguai #MegaEletrônicos",48,"12/29/2025 13:15",https://www.instagram.com/reel/DS3LKxBEUxh/,"Reel do Instagram",,Total,32998,,251,116,,8,0
18089191553070930,17841407601225083,dicadawinie,"Winie Anand","Na @megaeletronicosoficialpy vocês vão encontrar os celulares da marca Infinix, eles tem@ótimo desempenho, um@ano de garantia e tem a partir de 67$!",0,"12/29/2025 01:56",https://www.instagram.com/reel/DS19UQfDpK0/,"Reel do Instagram",,Total,40784,,353,146,,25,0
18088098089027577,17841462447596208,explorandoafronteira,"Explorando a Fronteira por Nicolly Tavassi","Esse relógio tem 20 horas de bateria, resistência a água e um design lindo!!

O Mibro GS Explorer é perfeito pra quem ama aventuras e quer tecnologia cara pagando pouco.

Por isso, é um ótimo smartwatch custo benefício!

Você encontra o Mibro GS Explorer na @megaeletronicosoficialpy no Paraguai!

#paraguai #comprasparaguai #relógio #eletrônicos",44,"12/28/2025 13:46",https://www.instagram.com/reel/DS0pmD5jsik/,"Reel do Instagram",,Total,26919,,259,97,,5,0
18065403398535016,17841411892401375,fozcidadelinda,"Foz do Iguaçu Cidade Linda","ITEM ESSENCIAL PRO SEU CARRO 👀

Você pega muito trânsito ou é motorista de aplicativo? Esses produtos aqui da Audisat na @megaeletronicosoficialpy vão mudar sua experiência na hora de dirigir!

Essas são os Carplay da Audisat, um produto que pode transformar o multimidia do seu carro em uma segunda tela do seu celular, ou até mesmo permitir que você conecte notebooks e consoles através do HDMI. A opção mais completa já traz aplicativos embutidos, com Netflix, Spotify e até Youtube. 

São produtos que vão tornar sua experiência no trânsito em algo muito mais confortável. Vem pra Mega e garanta o seu 🇵🇾✨",0,"12/28/2025 07:16",https://www.instagram.com/reel/DSz9F1hEeqa/,"Reel do Instagram",,Total,32137,,318,352,,8,0
18093097511478886,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","🔒 Fechado, funciona como um celular tradicional, totalmente aberto, se transforma quase em um tablet.
A Samsung acaba de apresentar o Galaxy Z3 Fold, seu primeiro smartphone com dobramento triplo… e é simplesmente insano 🤯

🚨 Lançamento em breve

E agora me conta 👇
🤔 Você compraria?

#samsung #galaxyz3fold #foldable #tecnologia #smartphone #inovacao #samsunggalaxy #android #gadgets #technews #lancamento #futuro #mobiletech #viral",80,"12/27/2025 06:14",https://www.instagram.com/reel/DSxRQ2dCkLw/,"Reel do Instagram",,Total,19717,16478,118,53,3,3,15
18065338766549252,17841462447596208,explorandoafronteira,"Explorando a Fronteira por Nicolly Tavassi","Relógio que monitora o estresse, mede o Vo2 máx e tem modo de natação profissional!!

Esse é o Haylou Solar Ultra, um smartwatch perfeito pra quem leva ou quer levar uma vida mais saudável.

Ele tem tela touch, controle por voz, mais de 170 modos esporte, além de um design premium.

Você encontra o Haylou Solar Ultra na @megaeletronicosoficialpy em Ciudad del Este, Paraguai!

#paraguai #comprasparaguai #eletronicos #relógio",54,"12/26/2025 09:59",https://www.instagram.com/reel/DSvF9AFkbFA/,"Reel do Instagram",,Total,53832,,906,539,,30,0
18089828086982347,17841401696555467,aventurese.comigo,"Edilaine Correia | Foz do Iguaçu | Influencer","As melhores câmeras de segurança tem na @megaeletronicosoficialpy 

megaeletronicosoficialpy 

Onde? 📍Monseñor Rodríguez esquina, Paraguai. 
⏰Seg a sexta das 06h às 16h30| sábado até as 15h.",44,"12/26/2025 07:03",https://www.instagram.com/reel/DSuxbhFDYpK/,"Reel do Instagram",,Total,18163,,132,142,,3,0
17890587813261899,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Neste Natal, queremos agradecer por fazerem parte da família Mega Eletrônicos.
Desejamos a todos um Natal repleto de amor, saúde, paz e prosperidade. 💖✨

Obrigado pela confiança!
🎅🎁 Feliz Natal e Boas Festas.",0,"12/24/2025 19:15",https://www.instagram.com/p/DSq8VMRmL9b/,"Imagem do Instagram",,Total,16880,7092,36,0,0,2,0
18060225536302860,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","🎅✨ Papai Noel já passou na Mega antes da noite de Natal!
Aqui é onde ele garante os presentes de todo mundo antes de sair para entregar alegria 🎁🚀
Se o bom velhinho confia… já sabe, né? 👀💙

🌟 Boas festas! Saúde, paz, prosperidade e um Natal cheio de luz. Obrigado a cada cliente que está sempre com a gente — vocês são parte da nossa família! 🙏❤️

———
🎅✨ ¡Papá Noel ya pasó por Mega antes de la noche de Navidad!
Aquí es donde garantiza los regalos de todos antes de salir a entregar alegría 🎁🚀
Si el buen viejito confía… ya sabes, ¿no? 👀💙

🌟 ¡Felices fiestas! Salud, paz, prosperidad y una Navidad llena de luz. Gracias a cada cliente que siempre está con nosotros — ustedes son parte de nuestra familia. 🙏❤️
.
#natalnamega #ɴᴀᴛᴀʟ2025 #natalemfamília #boasfestas🎄 presentesdenatal",37,"12/24/2025 15:15",https://www.instagram.com/reel/DSqgkKuDzBR/,"Reel do Instagram",,Total,30410,21614,368,68,10,21,3
18078632702244882,17841462447596208,explorandoafronteira,"Explorando a Fronteira por Nicolly Tavassi","Parece um fidget spinner, mas é um fone de ouvido!!

O Rokas 3 é o fone de ouvido se fio mais diferente que você já viu!

Ele tem um design super legal, que o faz girar igual um spinner, além de ter led e fazer som enquanto roda.

Perfeito pra presentear ou comprar, já que não é só no design que ele entrega.

Ele é um fone de ouvido gamer, com alto-falantes dinâmicos, graves potentes, agudos cristalinos e muito mais!

Você encontra o Rokas 3 na @megaeletronicosoficialpy em Ciudad del Este no Paraguai!!

#paraguai #comprasparaguai #gamer #fone #eletronicos",59,"12/23/2025 13:14",https://www.instagram.com/reel/DSntyj_AVNo/,"Reel do Instagram",,Total,38588,,331,110,,11,0
17890666893263183,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","🎅🎄 O Natal já chegou na Mega Eletrônicos!
Se você ainda não escolheu o presente perfeito, aqui é o lugar certo 👀✨

Smart TVs para reunir a família, notebooks, monitores, tablets e até AirPods para surpreender de verdade.
Tudo com ofertas especiais de Natal e aquele preço que só a Mega tem. 💥🎁

🎄✨ Não deixa pra última hora: vem garantir o presente que vai fazer sucesso debaixo da árvore.

Mega Eletrônicos — Natal é aqui.

#meganatal #megaeletronicos #ofertasdenatal #presentesdenatal #natal2025 #tecnologia #smarttv #arcondicionado #notebook #tablet #airpods #ciudaddeleste #paraguai 🎅🎄✨",56,"12/23/2025 07:48",https://www.instagram.com/reel/DSnI8lKjc88/,"Reel do Instagram",,Total,9364,8133,63,6,5,6,2
17895516336366923,17841411892401375,fozcidadelinda,"Foz do Iguaçu Cidade Linda","PERFUME EM PROMOÇÃO 👀

No Mega Natal da @megaeletronicosoficialpy você consegue renovar o seu estoque de perfumes de marca pagando super barato. Se liga nessas promoções:
- Invictus da Paco Rabanne por U$46,90
- Lacoste Noir por U$39,90
- Benetton Man Black por U$11,90
- Kit Calvin Klein Eternity por U$48,90
- Dolce e Gabanna Light Blue por U$43,90

Se você tá precisando comprar perfume novo, essa é a hora! Essas promoções são válidas até dia 24 de dezembro, corre e vem pra Mega comprar seus presentes de Natal 🇵🇾✨",0,"12/22/2025 07:58",https://www.instagram.com/reel/DSklG-fkR30/,"Reel do Instagram",,Total,50414,,404,198,,5,0
17971538351822706,17841407601225083,dicadawinie,"Winie Anand","Na @megaeletronicosoficialpy chegou a linha de cuidados com os cabelos mais vendida no Japão, a linha Tsubaki!

O Kit Tsubaki Premium Moist & Repair traz shampoo e condicionador desenvolvidos para todos os tipos de cabelo. Enriquecido com flores de Tsubaki, ricas em ácido oleico e linoleico, nutre e repara profundamente, proporcionando maciez, brilho e vitalidade. Perfeito para quem busca um cuidado capilar de luxo japonês, com resultados visíveis desde a primeira aplicação.
 Kit Shampoo Tsubaki Premium EX Damage Care & Repair 
O Kit Tsubaki Premium EX Damage Care & Repair traz shampoo e condicionador desenvolvidos para cabelos danificados. Enriquecido com óleos de camélia, fornece nutrientes essenciais que fortalecem os fios e ajudam a reparar as pontas duplas, deixando o cabelo macio, brilhante e saudável. Um tratamento japonês de alta performance para restaurar a beleza natural dos seus cabelos.

Máscara Capilar Tsubaki Premium Repair
A Máscara Capilar Tsubaki Premium Repair oferece hidratação profunda e nutrição intensa para todos os tipos de cabelo. Enriquecida com óleo de semente de camélia, extrato de geleia real e ácido hialurônico, restaura a maciez, o brilho e o equilíbrio do pH dos fios. A combinação de dimeticona e aminopropil dimeticona melhora a textura e reduz o frizz, deixando o cabelo suave, forte e revitalizado.",40,"12/22/2025 01:56",https://www.instagram.com/reel/DSj7j-iDk5g/,"Reel do Instagram",,Total,59479,,939,596,,27,0
18122121442542136,17841429544554900,blogueiracamilar,"CAMILA G RAMOS","🚨 THE ORDINARY NO PARAGUAI 🚨

🧴 The Ordinary com preço excelente? TEM!
Na @megaeletronicosoficialpy você encontra skincare incrível, além de:
✔ eletrônicos
✔ produtos de beleza
✔ várias opções em um só lugar

✨ SALVA ESSE VÍDEO pra sua próxima viagem",29,"12/21/2025 13:29",https://www.instagram.com/reel/DSimKxSCeKK/,"Reel do Instagram",,Total,15854,,131,56,,11,0
18059004746305671,17841406652483983,guiadafronteira,"Manu do Guia da Fronteira em Foz do Iguaçu 🇧🇷🇦🇷🇵🇾","Procurando um presente de Natal perfeito? Esses modelos da Realme são opções incríveis pra quem quer desempenho, câmera boa, bateria que dura e preço que cabe no bolso e vocês encontram na @megaeletronicosoficialpy 🎄 

📍Onde fica? A Mega Eletrônicos está localizada na rua Monseñor Rodriguez no microcentro de Ciudad Del Este no Paraguay (do lado esquerdo).

⏰ Qual horário de atendimento? Segunda das 7h às 16h30 | terça à sexta das 6h30 às 16h30 | sábado das 6h às 15h | fechado aos domingos.

👋🏻 Se gostou já salva essa dica e marca aqui o @ que vai querer saber também.",35,"12/21/2025 08:40",https://www.instagram.com/reel/DSiBKXkDsx5/,"Reel do Instagram",,Total,18671,,168,47,,14,0
