Cidades,Nome da cidade,Visualizações,Tempo de exibição (horas),Duração média da visualização
0xb817b2995d6bf1:0xf69aa51e4ff904b1,"Vila Velha, ES, Brasil",127,0.2277,0:00:14
0x9990f48a8830e1:0x96e11303c14c3674,"São Gonçalo, RJ, Brasil",126,0.2255,0:00:13
0xa694c47adf61e9:0x5132472e55aea70c,"Contagem - Parque Industrial, Contagem - MG, Brasil",125,0.2142,0:00:13
0x94a4450c10bbbaef:0xae370c93616d5c9c,"Uberlândia, MG, Brasil",116,0.3015,0:00:17
0x94ce7c8d172d5a85:0x453b3d4d5bc111d7,"Itaquaquecetuba, SP, Brasil",115,0.3982,0:00:39
0x7737a8452b2d649:0xa0e71dc0c94e0aed,"Petrolina, PE, Brasil",112,0.3959,0:00:26
0x7aae28fb2057b8d:0x5ff50166f4ee58b1,"Jaboatão dos Guararapes, PE, Brasil",101,0.1853,0:00:13
0x92325b665998520b:0x75d0f25ad2c5198b,"Porto Velho, RO, Brasil",99,0.1391,0:00:15
0x94ce3fc6927dd0c3:0xcdcd0d550f9656cf,"São Bernardo do Campo, SP, Brasil",96,0.3076,0:00:24
0x989c43e1f85da1:0x6236b026b3a0a468,"Juiz de Fora, MG, Brasil",93,0.1865,0:00:19
0x94ecd6ee42618c1f:0xc356592828e03925,"Maringá, PR, Brasil",93,0.2645,0:00:23
0xb83d5d85374ee9:0x97595e7ea70ed809,"Vitória, ES, Brasil",88,0.1888,0:00:14
0x917f7bb68acc96f3:0x8ab88f1d7f1d9b3c,"Rio Branco, AC, Brasil",87,0.1581,0:00:14
0x94c8bcfd64c3182d:0x8e575af90f766b31,"Sumaré, SP, Brasil",86,0.1543,0:00:12
0x94c631c14f4c9d3b:0x270ec30013dc341c,"Piracicaba, SP, Brasil",86,0.1619,0:00:15
0x7ac1e5f43201c85:0xc9656aec3aa6af51,"Campina Grande, PB, Brasil",81,0.2239,0:00:18
0x92c55fa57838978f:0x9b2552d5a3c79685,"Imperatriz - Camaçari, Imperatriz - MA, Brasil",81,0.1994,0:00:16
0x94bf689c0ddaa221:0x251c368f6fa134a0,"Bauru, SP, Brasil",78,0.1401,0:00:15
0x94ceff085b9ef207:0xf21e27d4c824c4e,"Osasco, SP, Brasil",77,0.2013,0:00:19
0x94eb435a57af586d:0x23ac11a5c614f971,"Londrina, PR, Brasil",75,0.1717,0:00:18
0x935ea462bcef4687:0xcffa52b54537af5a,"Anápolis, GO, Brasil",68,0.141,0:00:15
0x7463b073025e405:0x78be45452bd92ae3,"Vitória da Conquista, BA, Brasil",68,0.1657,0:00:16
0xb81fa3965b36af:0x521cd91111dd2e08,"Serra, ES, Brasil",66,0.1448,0:00:17
0x94f39625c9aa06b9:0xaa4c447b0af0271b,"Toledo, PR, Brasil",65,0.1156,0:00:06
0x95104991ad796447:0x99bab4aec1bd644f,"Pelotas - Princesa, Pelotas - RS, Brasil",64,0.1043,0:00:13
0x935efbd4bcc9396d:0x138ecc5abca8e4e8,"Aparecida de Goiânia, GO, Brasil",61,0.171,0:00:20
0x94bdad614c2df789:0x8f2fb0f070642c09,"São José do Rio Preto, SP, Brasil",61,0.1474,0:00:15
0x1a51f4d050bef26d:0xb9cdde154de1285,"Belas, Angola",58,0.1904,0:00:19
0x94d8cc949bf3cf61:0xef02eadd26842207,"Itajaí - Volta de Cima, Itajaí - SC, Brasil",57,0.1376,0:00:18
0x94ce00420b733eab:0xf42377f671ac1314,"Guarujá, SP, Brasil",57,0.1297,0:00:16
0x38ae8b0cc379e9c3:0xa5a9323b4aa5cb98,"Toshkent, Uzbequistão",57,0.1474,0:00:17
0x94ce69549e48e43f:0xe210627a68fc88df,"Mauá, SP, Brasil",55,0.1351,0:00:14
0x94cf004a6c29542f:0x89d7d06ffc024cbf,"Carapicuíba - Vila Dirce, Carapicuíba - SP, Brasil",54,0.1396,0:00:16
0xbdd5d1be81b545:0xee97b136e7168ee1,"Campos dos Goytacazes, RJ, Brasil",53,0.1495,0:00:18
0x94ce1f9dd9bf50e5:0x83b44c5ff623bb51,"Praia Grande, SP, Brasil",53,0.1244,0:00:16
0x94cfa8da1b269d77:0xb03b39035ef04ea5,"Cotia - Caucaia do Alto, Cotia - SP, Brasil",53,0.0926,0:00:12
0x705d59f85ab6275:0x60b6f0374f7f3fba,"Arapiraca, AL, Brasil",51,0.1292,0:00:18
0xa6c24a5fb01f9b:0xdae51d9facff118f,"Betim, MG, Brasil",51,0.1266,0:00:16
0x9527394eb2c632d7:0x81bc550b6a04c746,"Florianópolis, SC, Brasil",50,0.1316,0:00:18
0x40b1f93abf3cad4f:0xac0632e37c9ca628,"Bucareste, Romênia",49,0.0559,0:00:10
0xab54b430dce6f5:0x231bf948b0041bbb,"Montes Claros, MG, Brasil",49,0.1249,0:00:18
0x8d61e5e06b4b1a37:0x56357df330df0f97,"Macapá, AP, Brasil",49,0.1377,0:00:19
0x7adb41082fa56fb:0x1d6fccb961a28124,"Guarabira, PB, Brasil",48,0.1216,0:00:15
0x7c0b56dfdbff18d:0xa8ded9006dd0d827,"Caucaia - Jurema, Caucaia - CE, Brasil",46,0.1146,0:00:18
0x9379c8415a99e261:0x68c26f5b554d755c,"Rondonópolis - Vila Operária, Rondonópolis - MT, Brasil",43,0.1186,0:00:17
0x7a1789b9e348137:0x6fac36329d98a8ea,"Juazeiro do Norte, CE, Brasil",43,0.1075,0:00:15
0x92d90dde5d8c4ffb:0x4a30e815e64dc4fc,"Araguaína, TO, Brasil",42,0.1179,0:00:20
0x92a45fe447932a59:0xf3812b35573454d3,"Ananindeua, PA, Brasil",41,0.0968,0:00:18
0x8d9305cacbaaa4db:0xb72e65c7a9d75f45,"Boa Vista, RR, Brasil",41,0.1079,0:00:18
0xa68d65ce6647bb:0xf6b57930a4c07785,"Ribeirão das Neves, MG, Brasil",41,0.1173,0:00:19
0x94cf24293cc00531:0xf686a1c1163c6bbb,"Jundiaí - Aglomeração Urbana de Jundiaí, Jundiaí - SP, Brasil",40,0.1214,0:00:22
0x94df1e408b5c3095:0xacfb8520bc1a7644,"Blumenau, SC, Brasil",40,0.1126,0:00:19
0x94e81ac65f102321:0xacb0f4e64629b2f1,"Ponta Grossa, PR, Brasil",40,0.1177,0:00:24
0x773718dc881547f:0xbcbb39e48d5134de,"Juazeiro, BA, Brasil",40,0.119,0:00:19
0x71669db54e018a1:0xda0908d77a4e28ad,"Camaçari, BA, Brasil",39,0.0923,0:00:14
0x94f690ebae530a43:0x21979473b4c4a952,"Foz do Iguaçu, PR, Brasil",39,0.0949,0:00:15
0x94bad03162627637:0x8e83d9edb0f8e15c,"Uberaba, MG, Brasil",37,0.0944,0:00:16
0x94b8f15fecb7508b:0xbdaebe35da49b086,"Araraquara, SP, Brasil",37,0.1077,0:00:24
0x94f3d41ec7f74d61:0xebac32ece05a5fbc,"Cascavel, PR, Brasil",36,0.0857,0:00:13
0x94b0a9b35dc60831:0x68b8558a69681462,"Franca, SP, Brasil",36,0.0985,0:00:20
0x7b2f876e5d327eb:0xff5050610bbf80db,"Parnamirim, RN, Brasil",36,0.1007,0:00:16
0x94ce445de3962263:0x9ca2ba904b9421db,"Diadema, SP, Brasil",35,0.0904,0:00:16
0x945da8076e69dbf5:0xaceb7a46bf1936c9,"Assunção, Paraguai",35,0.0714,0:00:14
0x99ba6b8f48073b:0x619771a80c4de585,"Guapimirim, RJ, -, Brasil",35,0.0906,0:00:16
0x92c3a11f6e9a3be7:0xd5164004425256e9,"Marabá, PA, Brasil",34,0.0886,0:00:18
0xa686b107f0f8eb:0xff4527c57ed28253,"Santa Luzia, MG, Brasil",34,0.0957,0:00:19
0x94cf03dd6a1db995:0x70548836d6e4a9a2,"Barueri, SP, Brasil",33,0.0878,0:00:19
0x94dcff648f31a1f9:0x419537d146fb414,"Fazenda Rio Grande, PR, Brasil",32,0.0991,0:00:20
0x94ce03423c3b1c3b:0x584dceedfc63644f,"Santos, SP, Brasil",31,0.0956,0:00:20
0x92dd50f92324d7b3:0x8abd8fc75566af72,"Parauapebas, PA, -, Brasil",31,0.0802,0:00:18
0x9361db7d2c321dc1:0xe7ac78da77d5dc69,"Rio Verde, GO, Brasil",31,0.0871,0:00:18
0x951ebcd16435f073:0xf514f707b5773bf4,"Caxias do Sul, RS, Brasil",30,0.0826,0:00:19
0x95197aa8021e5571:0xd0de460f7518f586,"Canoas, RS, Brasil",30,0.3588,0:01:25
0xb624fa1ad6fe2b:0x51fd1d6a62e6fde0,"Linhares, ES, Brasil",30,0.0984,0:00:22
0x94cdd851f596f5e1:0x6ccc8b4e43c28b9f,"Mogi das Cruzes - Brás Cubas, Mogi das Cruzes - SP, Brasil",30,0.1929,0:00:45
0x94cf4ca60d3490fd:0x22c4318b2dde5682,"Indaiatuba, SP, Brasil",29,0.0781,0:00:19
0x94cfab703a900551:0xe5b57c51bbd4fcad,"Embu das Artes - Jardim Branca Flor, Embu das Artes - SP, Brasil",29,0.0774,0:00:17
0x9489a825ba544f99:0xd96ef82be62edddc,"Dourados, MS, Brasil",29,0.0676,0:00:19
0x9630267844443b:0x9840d1e83fd0de59,"Macaé, RJ, Brasil",29,0.0879,0:00:17
0x9985c034c8b985:0x262ee793dfcc1775,"Niterói, RJ, Brasil",28,0.065,0:00:14
0x7070d200a110927:0x51f45fae994f83b3,"Garanhuns, PE, Brasil",28,0.0788,0:00:17
0x76d5720ed1473f7:0x3eda83c2d2d73d8a,"Sr. do Bonfim, BA, -, Brasil",27,0.0712,0:00:18
0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Chile",27,0.0461,0:00:14
0x47490c1f916c0b8b:0xbbc601c331f148b,"Cluj-Napoca, Romênia",27,0.0312,0:00:08
0x46b54afc73d4b0c9:0x3d44d6cc5757cf4c,"Moscou, Rússia",27,0.0911,0:00:25
0x94ce7176a5cf4309:0x7678f276a368e6e2,"Suzano - Palmeiras de São Paulo, Suzano - SP, Brasil",27,0.0805,0:00:23
0xb35ef27ad4b0a3:0x189343164098195a,"Teófilo Otoni, MG, Brasil",27,0.0869,0:00:19
0x9503ca434a8b9533:0x635dcc96e4d7a4d9,"Santa Maria, RS, Brasil",27,0.0821,0:00:24
0x951998a6d8f26441:0x15f42daa82b66d40,"Viamão, RS, Brasil",27,0.0648,0:00:17
0x94c8b95bfb508f39:0x1ce857c1058169b4,"Hortolândia, SP, Brasil",26,0.0732,0:00:18
0xa6bf368ae36c03:0x783091cfbc75d6fc,"Ibirité, MG, Brasil",26,0.0656,0:00:18
0x70135d59c588b69:0x7dbb4b887595602c,"Rio Largo, AL, -, Brasil",26,0.0809,0:00:24
0x7061f7c1004603d:0x9ad205a3c0339894,"Santana do Ipanema, AL, -, Brasil",26,0.0837,0:00:23
0x7ba06e074d5ce0b:0x46694ffe5df19ebe,"Mossoró, RN, Brasil",26,0.0787,0:00:18
0x94bfd72c62b64a63:0xa6490d177f5adcfa,"Marília, SP, Brasil",26,0.0853,0:00:29
0x7ec3adcd5926c75:0x45351f9daa75bb92,"Parnaíba, PI, Brasil",25,0.0557,0:00:15
0x94dcf649d28f7973:0xf51762bd3bc2d656,"São José dos Pinhais, PR, Brasil",25,0.0623,0:00:15
0xb1a7947c2e06c7:0x76454399f628aa6f,"Gov. Valadares, MG, Brasil",25,0.7311,0:04:22
0xb95d3d7ef7ecb9:0xa68aadb2a822a95,"Cachoeiro de Itapemirim, ES, Brasil",25,0.0749,0:00:20
0x996f6e2b493369:0xbb7fb4c04edcc270,"Belford Roxo, RJ, Brasil",25,0.0643,0:00:14
0x739ab1ec404e2fb:0xc99a7293581f2b67,"Itabuna, BA, Brasil",25,0.0692,0:00:19
0x7aaf07ec0088f1f:0x79afc0089b9afbdc,"Cabo de Santo Agostinho, PE, Brasil",24,0.0616,0:00:19
0x9359823fe2633e47:0x6705012ead5650af,"Novo Gama, GO, Brasil",24,0.0633,0:00:15
0x7aa24fd35ab44f5:0xd902825d05a2cec9,"Bezerros, PE, -, Brasil",24,0.0535,0:00:15
0x7ab158cdfd2af59:0x29d02a55f0b8b31e,"Paulista - Navarro, Paulista - PE, Brasil",23,0.0577,0:00:19
0x93a77fe80bc27573:0x1207800617733e83,"Sinop, MT, Brasil",23,0.062,0:00:21
0x94cf0605de97e6bd:0x5312706bb5ec989f,"Itapevi, SP, Brasil",23,0.0582,0:00:17
0x952181e2d391d045:0x5333d655f0ed7675,"Criciúma, SC, Brasil",23,0.0604,0:00:15
0x7a81bea87c5e28f:0x611a607959717bbb,"Arcoverde, PE, Brasil",23,0.068,0:00:20
0x99a1369b6ae9c7:0x38dca2bae1a65323,"Magé, RJ, Brasil",23,0.0573,0:00:20
0xa75645f4a34c39:0xecbc7e58d1b84cab,"Nova Serrana, MG, -, Brasil",22,0.0591,0:00:15
0xb9372b49d0fda1:0x68d48f4b3397bf08,"Marataízes, ES, Brasil",22,0.058,0:00:20
0x7c752fbf294fc0b:0x141b9e35d1f1f7bc,"Maracanaú, CE, Brasil",22,0.0639,0:00:18
0x95190ce6fc96447f:0x1fa4b4a901f40597,"Gravataí, RS, Brasil",21,0.0589,0:00:19
0x94ae6296b0810f37:0xde10e83104493c78,"Patos de Minas, MG, Brasil",21,0.0552,0:00:19
0x933b3439911f1257:0x93b8070d05c818f,"Palmas, TO, Brasil",21,0.0583,0:00:18
0x7b0f2592da58feb:0x78da3ff6e4016c42,"Açu, RN, -, Brasil",21,0.0544,0:00:15
0x7aa54a93d22ad87:0x813856d6816ceb4b,"Vitória de Santo Antão, PE, Brasil",21,0.0582,0:00:18
0x9493f45d3ca3d435:0x7db8d361d2635f6a,"Pres. Prudente, SP, Brasil",21,0.0607,0:00:19
0x92a5af3f73727753:0xfbb120300e172d46,"Castanhal, PA, Brasil",21,0.0593,0:00:17
0x92d5ef9625fb9fa5:0x697ed5cde68bbfe7,"Balsas, MA, -, Brasil",21,0.0603,0:00:21
0x94de94ec45c735ad:0xd528660baaf1e754,"Jaraguá do Sul, SC, Brasil",20,0.05,0:00:14
0x92a49b6cdf9c61df:0x79ccf2d2d6765980,"Barcarena, PA, -, Brasil",20,0.0598,0:00:19
0x7a978539db2b363:0xd97b90b63a53262d,"Toritama, PE, Brasil",20,0.056,0:00:19
0x97073d3c0566d5:0x5115f34a20c5ad67,"Cabo Frio, RJ, Brasil",20,0.0462,0:00:16
0x75f8aae10d4ae69:0x97810f362c2db8c5,"Barreiras, BA, Brasil",20,0.0508,0:00:17
0x94c5d85d684d6c69:0x9b69b0dd15b43d0a,"Tatuí, SP, Brasil",20,0.0573,0:00:18
0x94cbc760a7bfd6cf:0x4c8a471861feb268,"Pouso Alegre, MG, -, Brasil",20,0.0555,0:00:18
0x7954b6af4595227:0xe0ece6e4f3ec3d5b,"Sobral, CE, Brasil",19,0.0526,0:00:16
0x94cee6e07ae50819:0x96c402050d2dd76a,"Francisco Morato, SP, Brasil",19,0.0576,0:00:18
0x76ed4b095788d41:0xe89c8ac1ddaeedf9,"Irecê, BA, -, Brasil",19,0.0486,0:00:15
0x939dadb18cb64935:0xfbb74bb1fac6cf4c,"Várzea Grande, MT, Brasil",19,0.0543,0:00:18
0x94ccf8ea3cf365e7:0xe826950860bd7f50,"Taubaté - Quiririm, Taubaté - SP, Brasil",19,0.0591,0:00:17
0x7a58af5820e65df:0xbdb334b1986d14f1,"Patos, PB, Brasil",19,0.144,0:00:51
0xafffe7a9289aff:0x8f04aebcd0ce11f4,"Ipatinga, MG, Brasil",18,0.0461,0:00:16
0x7aa4820180cfe83:0xbb9e178bc01d927,"Gravatá, PE, Brasil",18,0.0454,0:00:14
0x7aa8cf9890f4efb:0x5fc87330ce0960a7,"Ipojuca, PE, Brasil",18,0.0503,0:00:18
0x7a7163a02243ecf:0x106b2cc6df8663f1,"Serra Talhada, PE, Brasil",18,0.0496,0:00:17
0x7ab6ace8ae386b3:0xe4bf3f7928d2800b,"Igarassu, PE, Brasil",17,0.0546,0:00:19
0x93b96a3d95d57afb:0xe7e64066c42d0702,"Vilhena, RO, Brasil",17,0.046,0:00:16
0x7593c0d45fc883d:0x2ba3aa82a523ba15,"Santa Maria da Vitória, BA, -, Brasil",16,0.0511,0:00:18
0x7163e1a53f73969:0xdd9b017baf4d24c2,"Lauro de Freitas, BA, Brasil",15,0.0469,0:00:16
0x94cee6a7cb6f61eb:0xa321d69e795bf8a6,"Franco da Rocha, SP, Brasil",14,0.0392,0:00:14
0x7ab17fa77c07f29:0x78d856ff05dd791,"Olinda, PE, Brasil",12,0.0315,0:00:10
0x94ccc43d2f182b09:0x4ff95ebd5d4a29a7,"Guaratinguetá, SP, Brasil",0,0,
0x998d9fc58eb9a7:0x853ea58d8bafb4f6,"Maricá, RJ, Brasil",0,0,
0x92e0080191b1e839:0x3d8f8a041b3c10dd,"Redenção, PA, Brasil",0,0,
0x94c9cbbab512b431:0x14f2aac65c4a4c81,"São João da Boa Vista, SP, Brasil",0,0,
0xa1f575a56f36c7:0x352b824be8a084e2,"Barbacena, MG, Brasil",0,0,
0x94bc6e5b44bfa651:0xe2b2858b52ac0295,"Olímpia, SP, -, Brasil",0,0,
0x94ce5c58617ee83b:0xc53b6605800244b2,"São Caetano do Sul, SP, Brasil",0,0,
0x94dcf30496279ff7:0xcc8477ab095d74dd,"Piraquara, PR, Brasil",0,0,
0x94c8cdaee7763fcf:0x382e43ff2cf3dd00,"Valinhos, SP, -, Brasil",0,0,
0x9288f9213cb04ad5:0x80be3f9dd767d647,"Santarém, PA, Brasil",0,0,
0x94e2bf7ecbc632df:0x8370fe5f60075c2b,"Passo Fundo, RS, Brasil",0,0,
0x7366c2f220a58f5:0x4aa5d564de993100,"Eunápolis, BA, Brasil",0,0,
