"Identificação da Página","Nome da Página","Comentário de dados",Data,"Engajamentos de usuário único","Feedbacks negativos gerais","Feedbacks negativos gerais: Ocultar tudo","Feedbacks negativos gerais: Ocultar","Feedbacks negativos gerais: Denunciar como spam","Feedbacks negativos gerais: Descurtir Página","Feedbacks negativos gerais: Clique no botão ""X""","Feedbacks negativos únicos dos usuários"
606604395858804,"Mega Eletrônicos Paraguai",,02/17/2026,55,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/18/2026,47,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/19/2026,46,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/20/2026,46,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/21/2026,54,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/22/2026,51,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/23/2026,68,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/24/2026,50,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/25/2026,70,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/26/2026,103,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/27/2026,91,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,02/28/2026,75,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/01/2026,75,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/02/2026,69,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/03/2026,53,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/04/2026,62,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/05/2026,68,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/06/2026,50,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/07/2026,63,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/08/2026,64,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/09/2026,45,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/10/2026,47,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/11/2026,41,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/12/2026,53,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/13/2026,65,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/14/2026,99,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/15/2026,100,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/16/2026,117,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/17/2026,106,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/18/2026,95,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/19/2026,72,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/20/2026,70,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/21/2026,112,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/22/2026,139,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/23/2026,179,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/24/2026,206,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/25/2026,291,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/26/2026,436,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/27/2026,299,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/28/2026,296,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/29/2026,348,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/30/2026,337,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,03/31/2026,406,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,04/01/2026,271,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,04/02/2026,148,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,04/03/2026,301,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,04/04/2026,291,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,04/05/2026,258,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,04/06/2026,219,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,04/07/2026,212,0,0,0,0,0,0,0
606604395858804,"Mega Eletrônicos Paraguai",,04/08/2026,188,0,0,0,0,0,0,0
