Data,Público por comportamento de visualização,Visualizações
2025-09-30,Desconhecido,0
2025-10-01,Desconhecido,0
2025-10-02,Desconhecido,0
2025-10-03,Desconhecido,0
2025-10-04,Desconhecido,0
2025-10-05,Desconhecido,0
2025-10-06,Desconhecido,0
2025-10-07,Desconhecido,0
2025-10-08,Desconhecido,0
2025-10-09,Desconhecido,0
2025-10-10,Desconhecido,0
2025-10-11,Desconhecido,0
2025-10-12,Desconhecido,0
2025-10-13,Desconhecido,0
2025-10-14,Desconhecido,0
2025-10-15,Desconhecido,0
2025-10-16,Desconhecido,0
2025-10-17,Desconhecido,0
2025-10-18,Desconhecido,0
2025-10-19,Desconhecido,0
2025-10-20,Desconhecido,0
2025-10-21,Desconhecido,0
2025-10-22,Desconhecido,0
2025-10-23,Desconhecido,0
2025-10-24,Desconhecido,0
2025-10-25,Desconhecido,0
2025-10-26,Desconhecido,0
2025-10-27,Desconhecido,0
2025-10-28,Desconhecido,0
2025-10-29,Desconhecido,0
2025-10-30,Desconhecido,0
2025-10-31,Desconhecido,0
2025-11-01,Desconhecido,0
2025-11-02,Desconhecido,0
2025-11-03,Desconhecido,0
2025-11-04,Desconhecido,0
2025-11-05,Desconhecido,0
2025-11-06,Desconhecido,0
2025-11-07,Desconhecido,0
2025-11-08,Desconhecido,0
2025-11-09,Desconhecido,0
2025-11-10,Desconhecido,0
2025-11-11,Desconhecido,0
2025-11-12,Desconhecido,0
2025-11-13,Desconhecido,0
2025-11-14,Desconhecido,0
2025-11-15,Desconhecido,0
2025-11-16,Desconhecido,0
2025-11-17,Desconhecido,0
2025-11-18,Desconhecido,0
2025-11-19,Desconhecido,0
2025-11-20,Desconhecido,0
2025-11-21,Desconhecido,0
2025-11-22,Desconhecido,0
2025-11-23,Desconhecido,0
2025-11-24,Desconhecido,0
2025-11-25,Desconhecido,0
2025-11-26,Desconhecido,0
2025-11-27,Desconhecido,0
2025-11-28,Desconhecido,0
2025-11-29,Desconhecido,0
2025-11-30,Desconhecido,0
2025-12-01,Desconhecido,0
2025-12-02,Desconhecido,0
2025-12-03,Desconhecido,0
2025-12-04,Desconhecido,0
2025-12-05,Desconhecido,0
2025-12-06,Desconhecido,0
2025-12-07,Desconhecido,0
2025-12-08,Desconhecido,0
2025-12-09,Desconhecido,0
2025-12-10,Desconhecido,0
2025-12-11,Desconhecido,0
2025-12-12,Desconhecido,0
2025-12-13,Desconhecido,0
2025-12-14,Desconhecido,0
2025-12-15,Desconhecido,0
2025-12-16,Desconhecido,0
2025-12-17,Desconhecido,0
2025-12-18,Desconhecido,0
2025-12-19,Desconhecido,0
2025-12-20,Desconhecido,0
2025-12-21,Desconhecido,0
2025-12-22,Desconhecido,0
2025-12-23,Desconhecido,0
2025-12-24,Desconhecido,0
2025-12-25,Desconhecido,0
2025-12-26,Desconhecido,0
2025-12-27,Desconhecido,0
2025-12-28,Desconhecido,0
2025-12-29,Desconhecido,0
2025-12-30,Desconhecido,0
2025-12-31,Desconhecido,0
2026-01-01,Desconhecido,0
2026-01-02,Desconhecido,0
2026-01-03,Desconhecido,0
2026-01-04,Desconhecido,0
2026-01-05,Desconhecido,0
2026-01-06,Desconhecido,0
2026-01-07,Desconhecido,0
2026-01-08,Desconhecido,0
2026-01-09,Desconhecido,0
2026-01-10,Desconhecido,0
2026-01-11,Desconhecido,0
2026-01-12,Desconhecido,0
2026-01-13,Desconhecido,0
2026-01-14,Desconhecido,0
2026-01-15,Desconhecido,0
2026-01-16,Desconhecido,0
2026-01-17,Desconhecido,0
2026-01-18,Desconhecido,0
2026-01-19,Desconhecido,0
2026-01-20,Desconhecido,0
2026-01-21,Desconhecido,0
2026-01-22,Desconhecido,0
2026-01-23,Desconhecido,0
2026-01-24,Desconhecido,0
2026-01-25,Desconhecido,0
2026-01-26,Desconhecido,0
2026-01-27,Desconhecido,0
2026-01-28,Desconhecido,0
2026-01-29,Desconhecido,0
2026-01-30,Desconhecido,0
2026-01-31,Desconhecido,0
2026-02-01,Desconhecido,0
2026-02-02,Desconhecido,0
2026-02-03,Desconhecido,0
2026-02-04,Desconhecido,0
2026-02-05,Desconhecido,0
2026-02-06,Desconhecido,0
2026-02-07,Desconhecido,0
2026-02-08,Desconhecido,0
2026-02-09,Desconhecido,0
2026-02-10,Desconhecido,0
2026-02-11,Desconhecido,0
2026-02-12,Desconhecido,0
2026-02-13,Desconhecido,0
2026-02-14,Desconhecido,0
2026-02-15,Desconhecido,0
2026-02-16,Desconhecido,0
2026-02-17,Desconhecido,0
2026-02-18,Desconhecido,0
2026-02-19,Desconhecido,0
2026-02-20,Desconhecido,0
2026-02-21,Desconhecido,0
2026-02-22,Desconhecido,0
2026-02-23,Desconhecido,0
2026-02-24,Desconhecido,0
2026-02-25,Desconhecido,0
2026-02-26,Desconhecido,0
2026-02-27,Desconhecido,0
2026-02-28,Desconhecido,0
2026-03-01,Desconhecido,0
2026-03-02,Desconhecido,0
2026-03-03,Desconhecido,0
2026-03-04,Desconhecido,0
2026-03-05,Desconhecido,0
2026-03-06,Desconhecido,0
2026-03-07,Desconhecido,0
2026-03-08,Desconhecido,0
2026-03-09,Desconhecido,0
2026-03-10,Desconhecido,0
2026-03-11,Desconhecido,0
2026-03-12,Desconhecido,0
2026-03-13,Desconhecido,0
2026-03-14,Desconhecido,0
2026-03-15,Desconhecido,0
2026-03-16,Desconhecido,0
2026-03-17,Desconhecido,1
2026-03-18,Desconhecido,0
2026-03-19,Desconhecido,0
2026-03-20,Desconhecido,0
2026-03-21,Desconhecido,0
2026-03-22,Desconhecido,0
2026-03-23,Desconhecido,0
2026-03-24,Desconhecido,0
2026-03-25,Desconhecido,0
2026-03-26,Desconhecido,0
2026-03-27,Desconhecido,0
2026-03-28,Desconhecido,0
2026-03-29,Desconhecido,0
2026-03-30,Desconhecido,0
2026-03-31,Desconhecido,0
2026-04-01,Desconhecido,0
2026-04-02,Desconhecido,0
2026-04-03,Desconhecido,0
2026-04-04,Desconhecido,0
2026-04-05,Desconhecido,0
2026-04-06,Desconhecido,0
2026-04-07,Desconhecido,0
2026-04-08,Desconhecido,0
2026-04-09,Desconhecido,0
2026-04-10,Desconhecido,0
2026-04-11,Desconhecido,0
2026-04-12,Desconhecido,0
2025-04-13,Novos espectadores,2847
2025-04-14,Novos espectadores,309
2025-04-15,Novos espectadores,1913
2025-04-16,Novos espectadores,31127
2025-04-17,Novos espectadores,2154
2025-04-18,Novos espectadores,3682
2025-04-19,Novos espectadores,3859
2025-04-20,Novos espectadores,2403
2025-04-21,Novos espectadores,1578
2025-04-22,Novos espectadores,1065
2025-04-23,Novos espectadores,1752
2025-04-24,Novos espectadores,1209
2025-04-25,Novos espectadores,2563
2025-04-26,Novos espectadores,617
2025-04-27,Novos espectadores,1657
2025-04-28,Novos espectadores,595
2025-04-29,Novos espectadores,322
2025-04-30,Novos espectadores,1291
2025-05-01,Novos espectadores,1413
2025-05-02,Novos espectadores,328
2025-05-03,Novos espectadores,362
2025-05-04,Novos espectadores,2457
2025-05-05,Novos espectadores,509
2025-05-06,Novos espectadores,563
2025-05-07,Novos espectadores,654
2025-05-08,Novos espectadores,862
2025-05-09,Novos espectadores,275
2025-05-10,Novos espectadores,801
2025-05-11,Novos espectadores,287
2025-05-12,Novos espectadores,244
2025-05-13,Novos espectadores,238
2025-05-14,Novos espectadores,771
2025-05-15,Novos espectadores,958
2025-05-16,Novos espectadores,2081
2025-05-17,Novos espectadores,191
2025-05-18,Novos espectadores,195
2025-05-19,Novos espectadores,191
2025-05-20,Novos espectadores,509
2025-05-21,Novos espectadores,395
2025-05-22,Novos espectadores,1347
2025-05-23,Novos espectadores,3702
2025-05-24,Novos espectadores,1575
2025-05-25,Novos espectadores,241
2025-05-26,Novos espectadores,575
2025-05-27,Novos espectadores,2860
2025-05-28,Novos espectadores,781
2025-05-29,Novos espectadores,405
2025-05-30,Novos espectadores,1805
2025-05-31,Novos espectadores,498
2025-06-01,Novos espectadores,258
2025-06-02,Novos espectadores,320
2025-06-03,Novos espectadores,1170
2025-06-04,Novos espectadores,1177
2025-06-05,Novos espectadores,868
2025-06-06,Novos espectadores,724
2025-06-07,Novos espectadores,995
2025-06-08,Novos espectadores,335
2025-06-09,Novos espectadores,1130
2025-06-10,Novos espectadores,26613
2025-06-11,Novos espectadores,8829
2025-06-12,Novos espectadores,1485
2025-06-13,Novos espectadores,1397
2025-06-14,Novos espectadores,2102
2025-06-15,Novos espectadores,1164
2025-06-16,Novos espectadores,851
2025-06-17,Novos espectadores,1151
2025-06-18,Novos espectadores,521
2025-06-19,Novos espectadores,921
2025-06-20,Novos espectadores,2002
2025-06-21,Novos espectadores,1215
2025-06-22,Novos espectadores,357
2025-06-23,Novos espectadores,307
2025-06-24,Novos espectadores,1334
2025-06-25,Novos espectadores,1074
2025-06-26,Novos espectadores,487
2025-06-27,Novos espectadores,1115
2025-06-28,Novos espectadores,1047
2025-06-29,Novos espectadores,321
2025-06-30,Novos espectadores,1692
2025-07-01,Novos espectadores,781
2025-07-02,Novos espectadores,196
2025-07-03,Novos espectadores,194
2025-07-04,Novos espectadores,231
2025-07-05,Novos espectadores,239
2025-07-06,Novos espectadores,227
2025-07-07,Novos espectadores,257
2025-07-08,Novos espectadores,1104
2025-07-09,Novos espectadores,358
2025-07-10,Novos espectadores,194
2025-07-11,Novos espectadores,496
2025-07-12,Novos espectadores,310
2025-07-13,Novos espectadores,257
2025-07-14,Novos espectadores,539
2025-07-15,Novos espectadores,821
2025-07-16,Novos espectadores,618
2025-07-17,Novos espectadores,1344
2025-07-18,Novos espectadores,406
2025-07-19,Novos espectadores,1226
2025-07-20,Novos espectadores,306
2025-07-21,Novos espectadores,482
2025-07-22,Novos espectadores,270
2025-07-23,Novos espectadores,1122
2025-07-24,Novos espectadores,457
2025-07-25,Novos espectadores,409
2025-07-26,Novos espectadores,244
2025-07-27,Novos espectadores,194
2025-07-28,Novos espectadores,281
2025-07-29,Novos espectadores,556
2025-07-30,Novos espectadores,1224
2025-07-31,Novos espectadores,335
2025-08-01,Novos espectadores,224
2025-08-02,Novos espectadores,1141
2025-08-03,Novos espectadores,255
2025-08-04,Novos espectadores,274
2025-08-05,Novos espectadores,319
2025-08-06,Novos espectadores,270
2025-08-07,Novos espectadores,1628
2025-08-08,Novos espectadores,587
2025-08-09,Novos espectadores,295
2025-08-10,Novos espectadores,304
2025-08-11,Novos espectadores,225
2025-08-12,Novos espectadores,299
2025-08-13,Novos espectadores,4602
2025-08-14,Novos espectadores,452
2025-08-15,Novos espectadores,403
2025-08-16,Novos espectadores,387
2025-08-17,Novos espectadores,261
2025-08-18,Novos espectadores,408
2025-08-19,Novos espectadores,250
2025-08-20,Novos espectadores,306
2025-08-21,Novos espectadores,754
2025-08-22,Novos espectadores,405
2025-08-23,Novos espectadores,394
2025-08-24,Novos espectadores,367
2025-08-25,Novos espectadores,609
2025-08-26,Novos espectadores,2452
2025-08-27,Novos espectadores,791
2025-08-28,Novos espectadores,384
2025-08-29,Novos espectadores,621
2025-08-30,Novos espectadores,304
2025-08-31,Novos espectadores,2272
2025-09-01,Novos espectadores,1951
2025-09-02,Novos espectadores,734
2025-09-03,Novos espectadores,1426
2025-09-04,Novos espectadores,5682
2025-09-05,Novos espectadores,4386
2025-09-06,Novos espectadores,2208
2025-09-07,Novos espectadores,1385
2025-09-08,Novos espectadores,1419
2025-09-09,Novos espectadores,6594
2025-09-10,Novos espectadores,3897
2025-09-11,Novos espectadores,1482
2025-09-12,Novos espectadores,1375
2025-09-13,Novos espectadores,1709
2025-09-14,Novos espectadores,1403
2025-09-15,Novos espectadores,1326
2025-09-16,Novos espectadores,1135
2025-09-17,Novos espectadores,1168
2025-09-18,Novos espectadores,1034
2025-09-19,Novos espectadores,1197
2025-09-20,Novos espectadores,1934
2025-09-21,Novos espectadores,2874
2025-09-22,Novos espectadores,1193
2025-09-23,Novos espectadores,1342
2025-09-24,Novos espectadores,979
2025-09-25,Novos espectadores,1454
2025-09-26,Novos espectadores,978
2025-09-27,Novos espectadores,1024
2025-09-28,Novos espectadores,1481
2025-09-29,Novos espectadores,789
2025-09-30,Novos espectadores,1759
2025-10-01,Novos espectadores,1314
2025-10-02,Novos espectadores,736
2025-10-03,Novos espectadores,736
2025-10-04,Novos espectadores,739
2025-10-05,Novos espectadores,832
2025-10-06,Novos espectadores,2328
2025-10-07,Novos espectadores,1187
2025-10-08,Novos espectadores,1064
2025-10-09,Novos espectadores,2779
2025-10-10,Novos espectadores,1500
2025-10-11,Novos espectadores,917
2025-10-12,Novos espectadores,793
2025-10-13,Novos espectadores,714
2025-10-14,Novos espectadores,1657
2025-10-15,Novos espectadores,730
2025-10-16,Novos espectadores,688
2025-10-17,Novos espectadores,773
2025-10-18,Novos espectadores,758
2025-10-19,Novos espectadores,750
2025-10-20,Novos espectadores,1196
2025-10-21,Novos espectadores,1624
2025-10-22,Novos espectadores,775
2025-10-23,Novos espectadores,1245
2025-10-24,Novos espectadores,826
2025-10-25,Novos espectadores,812
2025-10-26,Novos espectadores,740
2025-10-27,Novos espectadores,880
2025-10-28,Novos espectadores,804
2025-10-29,Novos espectadores,2630
2025-10-30,Novos espectadores,2009
2025-10-31,Novos espectadores,1675
2025-11-01,Novos espectadores,994
2025-11-02,Novos espectadores,973
2025-11-03,Novos espectadores,1012
2025-11-04,Novos espectadores,1286
2025-11-05,Novos espectadores,1972
2025-11-06,Novos espectadores,1388
2025-11-07,Novos espectadores,699
2025-11-08,Novos espectadores,749
2025-11-09,Novos espectadores,804
2025-11-10,Novos espectadores,756
2025-11-11,Novos espectadores,1891
2025-11-12,Novos espectadores,952
2025-11-13,Novos espectadores,826
2025-11-14,Novos espectadores,942
2025-11-15,Novos espectadores,1023
2025-11-16,Novos espectadores,1000
2025-11-17,Novos espectadores,794
2025-11-18,Novos espectadores,1848
2025-11-19,Novos espectadores,1544
2025-11-20,Novos espectadores,1164
2025-11-21,Novos espectadores,959
2025-11-22,Novos espectadores,898
2025-11-23,Novos espectadores,968
2025-11-24,Novos espectadores,964
2025-11-25,Novos espectadores,788
2025-11-26,Novos espectadores,844
2025-11-27,Novos espectadores,835
2025-11-28,Novos espectadores,827
2025-11-29,Novos espectadores,832
2025-11-30,Novos espectadores,828
2025-12-01,Novos espectadores,797
2025-12-02,Novos espectadores,1779
2025-12-03,Novos espectadores,1526
2025-12-04,Novos espectadores,732
2025-12-05,Novos espectadores,906
2025-12-06,Novos espectadores,802
2025-12-07,Novos espectadores,806
2025-12-08,Novos espectadores,915
2025-12-09,Novos espectadores,1781
2025-12-10,Novos espectadores,2262
2025-12-11,Novos espectadores,2070
2025-12-12,Novos espectadores,2737
2025-12-13,Novos espectadores,1665
2025-12-14,Novos espectadores,2205
2025-12-15,Novos espectadores,3151
2025-12-16,Novos espectadores,3048
2025-12-17,Novos espectadores,2211
2025-12-18,Novos espectadores,931
2025-12-19,Novos espectadores,2805
2025-12-20,Novos espectadores,2526
2025-12-21,Novos espectadores,1403
2025-12-22,Novos espectadores,1206
2025-12-23,Novos espectadores,2025
2025-12-24,Novos espectadores,1955
2025-12-25,Novos espectadores,746
2025-12-26,Novos espectadores,1603
2025-12-27,Novos espectadores,2003
2025-12-28,Novos espectadores,3714
2025-12-29,Novos espectadores,2213
2025-12-30,Novos espectadores,1585
2025-12-31,Novos espectadores,1717
2026-01-01,Novos espectadores,748
2026-01-02,Novos espectadores,895
2026-01-03,Novos espectadores,2873
2026-01-04,Novos espectadores,1738
2026-01-05,Novos espectadores,2030
2026-01-06,Novos espectadores,4692
2026-01-07,Novos espectadores,1782
2026-01-08,Novos espectadores,3170
2026-01-09,Novos espectadores,1367
2026-01-10,Novos espectadores,1669
2026-01-11,Novos espectadores,1127
2026-01-12,Novos espectadores,2556
2026-01-13,Novos espectadores,1345
2026-01-14,Novos espectadores,2589
2026-01-15,Novos espectadores,2234
2026-01-16,Novos espectadores,1090
2026-01-17,Novos espectadores,3256
2026-01-18,Novos espectadores,2077
2026-01-19,Novos espectadores,760
2026-01-20,Novos espectadores,1183
2026-01-21,Novos espectadores,2438
2026-01-22,Novos espectadores,760
2026-01-23,Novos espectadores,2075
2026-01-24,Novos espectadores,1008
2026-01-25,Novos espectadores,795
2026-01-26,Novos espectadores,1294
2026-01-27,Novos espectadores,1938
2026-01-28,Novos espectadores,1552
2026-01-29,Novos espectadores,748
2026-01-30,Novos espectadores,3045
2026-01-31,Novos espectadores,2732
2026-02-01,Novos espectadores,2077
2026-02-02,Novos espectadores,1889
2026-02-03,Novos espectadores,943
2026-02-04,Novos espectadores,1193
2026-02-05,Novos espectadores,1709
2026-02-06,Novos espectadores,2630
2026-02-07,Novos espectadores,1044
2026-02-08,Novos espectadores,879
2026-02-09,Novos espectadores,1209
2026-02-10,Novos espectadores,1094
2026-02-11,Novos espectadores,1222
2026-02-12,Novos espectadores,2200
2026-02-13,Novos espectadores,1686
2026-02-14,Novos espectadores,866
2026-02-15,Novos espectadores,1954
2026-02-16,Novos espectadores,1713
2026-02-17,Novos espectadores,2561
2026-02-18,Novos espectadores,2888
2026-02-19,Novos espectadores,2474
2026-02-20,Novos espectadores,3357
2026-02-21,Novos espectadores,195937
2026-02-22,Novos espectadores,138739
2026-02-23,Novos espectadores,156153
2026-02-24,Novos espectadores,94730
2026-02-25,Novos espectadores,116292
2026-02-26,Novos espectadores,79623
2026-02-27,Novos espectadores,54359
2026-02-28,Novos espectadores,58880
2026-03-01,Novos espectadores,37318
2026-03-02,Novos espectadores,6603
2026-03-03,Novos espectadores,6324
2026-03-04,Novos espectadores,5793
2026-03-05,Novos espectadores,6522
2026-03-06,Novos espectadores,3488
2026-03-07,Novos espectadores,3931
2026-03-08,Novos espectadores,4687
2026-03-09,Novos espectadores,3865
2026-03-10,Novos espectadores,2647
2026-03-11,Novos espectadores,21730
2026-03-12,Novos espectadores,34616
2026-03-13,Novos espectadores,24097
2026-03-14,Novos espectadores,62600
2026-03-15,Novos espectadores,124117
2026-03-16,Novos espectadores,107635
2026-03-17,Novos espectadores,47642
2026-03-18,Novos espectadores,15071
2026-03-19,Novos espectadores,6791
2026-03-20,Novos espectadores,5867
2026-03-21,Novos espectadores,12944
2026-03-22,Novos espectadores,3832
2026-03-23,Novos espectadores,6084
2026-03-24,Novos espectadores,9784
2026-03-25,Novos espectadores,10428
2026-03-26,Novos espectadores,23057
2026-03-27,Novos espectadores,14865
2026-03-28,Novos espectadores,23170
2026-03-29,Novos espectadores,22722
2026-03-30,Novos espectadores,25725
2026-03-31,Novos espectadores,45567
2026-04-01,Novos espectadores,56514
2026-04-02,Novos espectadores,57574
2026-04-03,Novos espectadores,24315
2026-04-04,Novos espectadores,21693
2026-04-05,Novos espectadores,25256
2026-04-06,Novos espectadores,14916
2026-04-07,Novos espectadores,17555
2026-04-08,Novos espectadores,7643
2026-04-09,Novos espectadores,5847
2026-04-10,Novos espectadores,7017
2026-04-11,Novos espectadores,7953
2026-04-12,Novos espectadores,4341
2025-04-13,Espectadores casuais,6
2025-04-14,Espectadores casuais,0
2025-04-15,Espectadores casuais,4
2025-04-16,Espectadores casuais,40
2025-04-17,Espectadores casuais,9
2025-04-18,Espectadores casuais,11
2025-04-19,Espectadores casuais,20
2025-04-20,Espectadores casuais,5
2025-04-21,Espectadores casuais,6
2025-04-22,Espectadores casuais,3
2025-04-23,Espectadores casuais,9
2025-04-24,Espectadores casuais,7
2025-04-25,Espectadores casuais,9
2025-04-26,Espectadores casuais,30
2025-04-27,Espectadores casuais,16
2025-04-28,Espectadores casuais,4
2025-04-29,Espectadores casuais,6
2025-04-30,Espectadores casuais,5
2025-05-01,Espectadores casuais,4
2025-05-02,Espectadores casuais,9
2025-05-03,Espectadores casuais,7
2025-05-04,Espectadores casuais,8
2025-05-05,Espectadores casuais,7
2025-05-06,Espectadores casuais,6
2025-05-07,Espectadores casuais,5
2025-05-08,Espectadores casuais,5
2025-05-09,Espectadores casuais,8
2025-05-10,Espectadores casuais,12
2025-05-11,Espectadores casuais,8
2025-05-12,Espectadores casuais,3
2025-05-13,Espectadores casuais,7
2025-05-14,Espectadores casuais,9
2025-05-15,Espectadores casuais,11
2025-05-16,Espectadores casuais,11
2025-05-17,Espectadores casuais,1
2025-05-18,Espectadores casuais,5
2025-05-19,Espectadores casuais,4
2025-05-20,Espectadores casuais,3
2025-05-21,Espectadores casuais,2
2025-05-22,Espectadores casuais,3
2025-05-23,Espectadores casuais,22
2025-05-24,Espectadores casuais,16
2025-05-25,Espectadores casuais,9
2025-05-26,Espectadores casuais,11
2025-05-27,Espectadores casuais,14
2025-05-28,Espectadores casuais,7
2025-05-29,Espectadores casuais,0
2025-05-30,Espectadores casuais,15
2025-05-31,Espectadores casuais,6
2025-06-01,Espectadores casuais,6
2025-06-02,Espectadores casuais,3
2025-06-03,Espectadores casuais,15
2025-06-04,Espectadores casuais,23
2025-06-05,Espectadores casuais,16
2025-06-06,Espectadores casuais,14
2025-06-07,Espectadores casuais,19
2025-06-08,Espectadores casuais,14
2025-06-09,Espectadores casuais,85
2025-06-10,Espectadores casuais,95
2025-06-11,Espectadores casuais,17
2025-06-12,Espectadores casuais,16
2025-06-13,Espectadores casuais,26
2025-06-14,Espectadores casuais,26
2025-06-15,Espectadores casuais,15
2025-06-16,Espectadores casuais,4
2025-06-17,Espectadores casuais,33
2025-06-18,Espectadores casuais,5
2025-06-19,Espectadores casuais,13
2025-06-20,Espectadores casuais,8
2025-06-21,Espectadores casuais,13
2025-06-22,Espectadores casuais,6
2025-06-23,Espectadores casuais,10
2025-06-24,Espectadores casuais,27
2025-06-25,Espectadores casuais,13
2025-06-26,Espectadores casuais,9
2025-06-27,Espectadores casuais,20
2025-06-28,Espectadores casuais,20
2025-06-29,Espectadores casuais,6
2025-06-30,Espectadores casuais,18
2025-07-01,Espectadores casuais,11
2025-07-02,Espectadores casuais,28
2025-07-03,Espectadores casuais,4
2025-07-04,Espectadores casuais,9
2025-07-05,Espectadores casuais,8
2025-07-06,Espectadores casuais,16
2025-07-07,Espectadores casuais,11
2025-07-08,Espectadores casuais,27
2025-07-09,Espectadores casuais,15
2025-07-10,Espectadores casuais,9
2025-07-11,Espectadores casuais,10
2025-07-12,Espectadores casuais,2
2025-07-13,Espectadores casuais,9
2025-07-14,Espectadores casuais,20
2025-07-15,Espectadores casuais,40
